Hour,Rejection Rate (kW),Extraction Rate (kW),Net Rate (kw), ,Timestep Hours,Average Load (kW),Average Load (kW/m), ,Timestep Hours,EFT (C)
1,0.0,0.0,0.0,,0.0,0.0,0.0,,199.197184,16.631841670938535
1,-0.0,0.0,0.0,,0.0,14.611626397021572,0.0012483960107910219,,201.0,15.100028499625894
2,-0.0,0.0,0.0,,199.197184,14.611626397021572,0.0012483960107910219,,734.851074,16.891916918014925
2,-0.0,0.0,0.0,,199.197184,135.49878256846776,0.011576818009800463,,738.0,18.807224532140967
3,-0.0,0.0,0.0,,201.0,135.49878256846776,0.011576818009800463,,744.0,17.559191898729928
3,-0.0,0.0,0.0,,201.0,5.336793200925632,0.00045596781367269795,,1039.260638,16.73396619246095
4,-0.0,0.0,0.0,,734.851074,5.336793200925632,0.00045596781367269795,,1041.0,15.130962578262768
4,-0.0,0.0,0.0,,734.851074,-115.72286721615522,-0.009887192696043446,,1405.02062,17.55678766555721
5,-0.0,0.0,0.0,,738.0,-115.72286721615522,-0.009887192696043446,,1410.0,20.785152094493874
5,-0.0,0.0,0.0,,738.0,-18.659441667050842,-0.0015942354333315257,,1416.0,18.91735064335777
6,-0.0,0.0,0.0,,744.0,-18.659441667050842,-0.0015942354333315257,,1950.914808,18.1129117117274
6,-0.0,0.0,0.0,,744.0,9.904846598904046,0.000846255621762225,,1952.0,17.50797829279852
7,-0.0,0.0,0.0,,1039.260638,9.904846598904046,0.000846255621762225,,2122.835669,18.61004536435831
7,-0.0,0.0,0.0,,1039.260638,138.6137067741601,0.011842952582820712,,2129.0,23.30956660455727
8,-0.0,0.0,0.0,,1041.0,138.6137067741601,0.011842952582820712,,2160.0,19.903885647410064
8,-0.0,0.0,0.0,,1041.0,-15.071089998191677,-0.0012876519095677218,,2286.999826,18.602786897278325
9,-0.0,0.0,0.0,,1405.02062,-15.071089998191677,-0.0012876519095677218,,2288.0,17.92518420929975
9,-0.0,0.0,0.0,,1405.02062,-193.52359207967638,-0.0165343729562825,,2555.253143,19.363555521615865
10,-0.0,0.0,0.0,,1410.0,-193.52359207967638,-0.0165343729562825,,2561.0,23.756700727355803
10,-0.0,0.0,0.0,,1410.0,-63.57186060438699,-0.005431486887267863,,2880.0,19.618433194128926
11,-0.0,0.0,0.0,,1416.0,-63.57186060438699,-0.005431486887267863,,3102.0,21.04265810007742
11,-0.0,0.0,0.0,,1416.0,-28.809412779730803,-0.002461434135407337,,3103.0,20.07817086495605
12,-0.0,0.0,0.0,,1950.914808,-28.809412779730803,-0.002461434135407337,,3586.653114,20.959872458738907
12,-0.0,0.0,0.0,,1950.914808,34.440840667781764,0.0029425751062668965,,3593.0,26.800919018239675
13,-0.0,0.0,0.0,,1952.0,34.440840667781764,0.0029425751062668965,,3624.0,23.17634412882851
13,-0.0,0.0,0.0,,1952.0,-43.57495949220417,-0.0037229808730626104,,4257.15753,22.98243491232061
14,-0.0,0.0,0.0,,2122.835669,-43.57495949220417,-0.0037229808730626104,,4265.0,28.74871751473282
14,-0.0,0.0,0.0,,2122.835669,-290.18854249562446,-0.02479328508581656,,4344.0,24.91799893939613
15,-0.0,0.0,0.0,,2129.0,-290.18854249562446,-0.02479328508581656,,4472.684439,22.734521244330512
15,-0.0,0.0,0.0,,2129.0,-88.37367380230619,-0.0075505175697781835,,4481.0,29.335999203798103
16,-0.0,0.0,0.0,,2160.0,-88.37367380230619,-0.0075505175697781835,,5088.0,24.553589615677367
16,-0.0,0.0,0.0,,2160.0,-39.37669979483912,-0.0033642876984599805,,5242.270579,24.953560535397887
17,-0.0,0.0,0.0,,2286.999826,-39.37669979483912,-0.0033642876984599805,,5249.0,30.521666578494735
17,-0.0,0.0,0.0,,2286.999826,35.33286542649609,0.0030187883983431836,,5832.0,25.72195879871872
18,-0.0,0.0,0.0,,2288.0,35.33286542649609,0.0030187883983431836,,5986.537144,23.870455877785904
18,-0.0,0.0,0.0,,2288.0,-61.57805747232298,-0.005261139260745005,,5993.0,30.269299248621707
19,-0.0,0.0,0.0,,2555.253143,-61.57805747232298,-0.005261139260745005,,6552.0,24.12896106870444
19,-0.0,0.0,0.0,,2555.253143,-295.90221358052787,-0.025281452795252343,,6779.093521,22.224064290856543
20,-0.0,0.0,0.0,,2561.0,-295.90221358052787,-0.025281452795252343,,6785.0,28.409822830595566
20,-0.0,0.0,0.0,,2561.0,-64.73615058255747,-0.005530962121896656,,7158.994802,22.730022563519984
21,-0.0,0.0,0.0,,2880.0,-64.73615058255747,-0.005530962121896656,,7160.0,21.795708517478705
21,-0.0,0.0,0.0,,2880.0,-106.25586454101466,-0.009078345819408104,,7296.0,21.286696957702222
22,-0.0,0.0,0.0,,3102.0,-106.25586454101466,-0.009078345819408104,,7331.510156,21.68493153413907
22,-0.0,0.0,0.0,,3102.0,0.2351624455341497,2.0091935758262735e-05,,7336.0,24.890521639357054
23,-0.0,0.0,0.0,,3103.0,0.2351624455341497,2.0091935758262735e-05,,7807.720557,21.263071547786726
23,-0.0,0.0,0.0,,3103.0,-94.10319939807134,-0.008040039865457484,,7809.0,20.08443979602691
24,-0.0,0.0,0.0,,3586.653114,-94.10319939807134,-0.008040039865457484,,8016.0,20.90277107567552
24,-0.0,0.0,0.0,,3586.653114,-398.62489688192454,-0.03405792877176329,,8291.018675,20.59373701651085
25,-0.0,0.0,0.0,,3593.0,-398.62489688192454,-0.03405792877176329,,8295.0,23.76880090962451
25,-0.0,0.0,0.0,,3593.0,-174.04797538672548,-0.01487040472122477,,8431.620615,21.072095923062165
26,-0.0,0.0,0.0,,3624.0,-174.04797538672548,-0.01487040472122477,,8433.0,19.56109151957182
26,-0.0,0.0,0.0,,3624.0,-139.78951020814065,-0.011943411510291983,,8760.0,20.380888113534777
27,-0.0,0.0,0.0,,4257.15753,-139.78951020814065,-0.011943411510291983,,,
27,-0.0,0.0,0.0,,4257.15753,-426.83215438341415,-0.03646791563998713,,,
28,-0.0,0.0,0.0,,4265.0,-426.83215438341415,-0.03646791563998713,,,
28,-0.0,0.0,0.0,,4265.0,-202.43079631305875,-0.017295391471957255,,,
29,-0.0,0.0,0.0,,4344.0,-202.43079631305875,-0.017295391471957255,,,
29,-0.0,0.0,0.0,,4344.0,-121.15940001032507,-0.010351682114836665,,,
30,-0.0,0.0,0.0,,4472.684439,-121.15940001032507,-0.010351682114836665,,,
30,-0.0,0.0,0.0,,4472.684439,-446.4216020307385,-0.03814160942547183,,,
31,-0.0,0.0,0.0,,4481.0,-446.4216020307385,-0.03814160942547183,,,
31,-0.0,0.0,0.0,,4481.0,-163.35172157514188,-0.013956532423510455,,,
