Hour,Rejection Rate (kW),Extraction Rate (kW),Net Rate (kw), ,Timestep Hours,Average Load (kW),Average Load (kW/m),EFT (C)
1,-0.0,0.0,0.0,,199.197184,14.611626397021572,0.0012483960107910219,16.631841670938535
2,-0.0,0.0,0.0,,201.0,135.49878256846776,0.011576818009800463,15.100028499625894
3,-0.0,0.0,0.0,,734.851074,5.336793200925632,0.00045596781367269795,16.891916918014925
4,-0.0,0.0,0.0,,738.0,-115.72286721615522,-0.009887192696043446,18.807224532140967
5,-0.0,0.0,0.0,,744.0,-18.659441667050842,-0.0015942354333315257,17.559191898729928
6,-0.0,0.0,0.0,,1039.260638,9.904846598904046,0.000846255621762225,16.73396619246095
7,-0.0,0.0,0.0,,1041.0,138.6137067741601,0.011842952582820712,15.130962578262768
8,-0.0,0.0,0.0,,1405.02062,-15.071089998191677,-0.0012876519095677218,17.55678766555721
9,-0.0,0.0,0.0,,1410.0,-193.52359207967638,-0.0165343729562825,20.785152094493874
10,-0.0,0.0,0.0,,1416.0,-63.57186060438699,-0.005431486887267863,18.91735064335777
11,-0.0,0.0,0.0,,1950.914808,-28.809412779730803,-0.002461434135407337,18.1129117117274
12,-0.0,0.0,0.0,,1952.0,34.440840667781764,0.0029425751062668965,17.50797829279852
13,-0.0,0.0,0.0,,2122.835669,-43.57495949220417,-0.0037229808730626104,18.61004536435831
14,-0.0,0.0,0.0,,2129.0,-290.18854249562446,-0.02479328508581656,23.30956660455727
15,-0.0,0.0,0.0,,2160.0,-88.37367380230619,-0.0075505175697781835,19.903885647410064
16,-0.0,0.0,0.0,,2286.999826,-39.37669979483912,-0.0033642876984599805,18.602786897278325
17,-0.0,0.0,0.0,,2288.0,35.33286542649609,0.0030187883983431836,17.92518420929975
18,-0.0,0.0,0.0,,2555.253143,-61.57805747232298,-0.005261139260745005,19.363555521615865
19,-0.0,0.0,0.0,,2561.0,-295.90221358052787,-0.025281452795252343,23.756700727355803
20,-0.0,0.0,0.0,,2880.0,-64.73615058255747,-0.005530962121896656,19.618433194128926
21,-0.0,0.0,0.0,,3102.0,-106.25586454101466,-0.009078345819408104,21.04265810007742
22,-0.0,0.0,0.0,,3103.0,0.2351624455341497,2.0091935758262735e-05,20.07817086495605
23,-0.0,0.0,0.0,,3586.653114,-94.10319939807134,-0.008040039865457484,20.959872458738907
24,-0.0,0.0,0.0,,3593.0,-398.62489688192454,-0.03405792877176329,26.800919018239675
25,-0.0,0.0,0.0,,3624.0,-174.04797538672548,-0.01487040472122477,23.17634412882851
