Hours,HPHtgLd_W,HPClgLd_W
1,16745.5,0
2,17978.4,0
3,16481.4,0
4,18477.8,0
5,16828.6,0
6,18802.8,0
7,17082.7,0
8,18998,0
9,16805,0
10,17879.5,0
11,15688.8,0
12,16846.7,0
13,14956.7,0
14,16557,0
15,15232.8,0
16,17435.5,0
17,16443.7,0
18,18694.8,0
19,17253.5,0
20,19546.2,0
21,18080.3,0
22,20302.7,0
23,18601.1,0
24,20769.1,0
25,18601.7,0
26,20688.5,0
27,18966.8,0
28,21322.4,0
29,19798.2,0
30,22162.4,0
31,11769.8,0
32,9569.2,0
33,3454.5,0
34,1609.5,0
35,1187.7,0
36,1053.5,0
37,1472.9,0
38,614.5,191
39,442.5,101.7
40,451.9,0
41,765,0
42,3188.2,0
43,4983.3,0
44,5765.2,0
45,6565.6,0
46,6978.7,0
47,16466.5,0
48,19224.4,0
49,18303.9,0
50,20465.4,0
51,18920.6,0
52,21003.7,0
53,19306.3,0
54,21265.9,0
55,10900.4,0
56,8705.6,0
57,3942.2,0
58,1998.6,0
59,1415.2,0
60,1330.6,0
61,1798.2,0
62,1122.2,0
63,1145.7,0
64,1319.2,0
65,1662.7,0
66,4166.2,0
67,5728.6,0
68,6224.2,0
69,6775,0
70,7100.6,0
71,15768.4,0
72,18723.8,0
73,17808.7,0
74,19873.2,0
75,18194.1,0
76,20301.4,0
77,18760.9,0
78,20894.4,0
79,11008.2,0
80,8875.4,0
81,4218.4,0
82,3175.8,0
83,2459.2,0
84,1862.4,0
85,2417.8,0
86,1519.8,0
87,1477.6,0
88,1581.1,0
89,1860.5,0
90,4354.1,0
91,5868.5,0
92,6301.4,0
93,6795.3,0
94,6984.5,0
95,14556.8,0
96,16854,0
97,15870.8,0
98,17967.9,0
99,16551.2,0
100,18568.8,0
101,16980.9,0
102,18837,0
103,9967.9,0
104,8073.1,0
105,3606.1,0
106,2411.9,0
107,1410.7,0
108,1013.7,0
109,1393.4,0
110,728.4,0
111,833,0
112,1077.8,0
113,1336.6,0
114,3796.3,0
115,5237.8,0
116,5670.8,0
117,6159.7,0
118,6383.4,0
119,14220,0
120,16384.5,0
121,15305.1,0
122,17319.8,0
123,15994.8,0
124,17912.1,0
125,16334.3,0
126,18030.5,0
127,9642.5,0
128,7832.5,0
129,3450.5,0
130,2324.2,0
131,1690.7,0
132,1266,0
133,1726.5,0
134,835.8,0
135,840.2,0
136,953.5,0
137,1168.5,0
138,3576.4,0
139,4906.4,0
140,5324,0
141,5806,0
142,6213.6,0
143,14102.9,0
144,17501.8,0
145,17776.4,0
146,20596.1,0
147,19616,0
148,22193.9,0
149,20714.2,0
150,23178.1,0
151,12052.1,0
152,10363.7,0
153,8063.7,0
154,6576.7,0
155,5485.3,0
156,4816.9,0
157,5260.9,0
158,4967.1,0
159,4739.1,0
160,5484.2,0
161,7324.8,0
162,9151.5,0
163,19973.1,0
164,23740.8,0
165,22898.7,0
166,25961,0
167,24710.1,0
168,27566.6,0
169,25929.4,0
170,28655.8,0
171,26813.5,0
172,29687.3,0
173,27884.3,0
174,30877.8,0
175,29010.6,0
176,31849.5,0
177,27317.9,0
178,26442.1,0
179,22588,0
180,23753.1,0
181,21306.9,0
182,22143.4,0
183,19977.9,0
184,22969.3,0
185,24552,0
186,29455.8,0
187,28331.5,0
188,31454,0
189,29660.4,0
190,32715.2,0
191,30789.9,0
192,33896.5,0
193,31295.1,0
194,34074.4,0
195,31783.2,0
196,34687.4,0
197,32351.7,0
198,35137.4,0
199,18874,0
200,15272.3,0
201,8281.4,0
202,4993,0
203,4109.1,0
204,4106.1,0
205,4550.2,0
206,3707.1,0
207,3849.9,0
208,4559,0
209,5131.2,0
210,8228.5,0
211,9960.6,0
212,10453.3,0
213,10996.9,0
214,11238.3,0
215,22804.4,0
216,26514.3,0
217,25040.8,0
218,27601.5,0
219,25288.3,0
220,27777.6,0
221,25254.2,0
222,27502.6,0
223,15058.3,0
224,12268.7,0
225,6888.6,0
226,5586,0
227,4789.9,0
228,4057.7,0
229,4304.1,0
230,3210.2,0
231,3421.9,0
232,3254.9,0
233,3317.5,0
234,5895.9,0
235,7378.9,0
236,7647,0
237,7962.7,0
238,7988.4,0
239,15039.9,0
240,17845.5,0
241,16978.8,0
242,18530.6,0
243,16749.4,0
244,18659.7,0
245,17841.1,0
246,21395.6,0
247,12420.4,0
248,10609.7,0
249,5945.9,0
250,4906.9,0
251,4331.3,0
252,4415.4,0
253,4921.2,0
254,3723.1,0
255,3762.4,0
256,3873.5,0
257,4278.2,0
258,7121.1,0
259,8841.9,0
260,9378.6,0
261,9966.9,0
262,10291.3,0
263,21684.9,0
264,25514.2,0
265,24438,0
266,27551.5,0
267,25876.8,0
268,28696.4,0
269,26892.5,0
270,29605.5,0
271,15707.2,0
272,12688.3,0
273,5826.5,0
274,3234.8,0
275,2658.3,0
276,2498.3,0
277,2985.7,0
278,2319,0
279,2466.2,0
280,3151.9,0
281,3480.9,0
282,6030.9,0
283,7586.6,0
284,7976.2,0
285,8411.4,0
286,8528.3,0
287,16570.1,0
288,18902.5,0
289,17552.1,0
290,19692,0
291,17894.2,0
292,19801.3,0
293,17770.1,0
294,19374.1,0
295,10740.5,0
296,8626.4,0
297,3907.9,0
298,2427.6,0
299,1270.3,0
300,894.2,0
301,1134,0
302,273.6,0
303,129.2,0
304,110.5,0
305,277.3,0
306,2299.2,0
307,3884.8,0
308,4757.4,0
309,5671.9,0
310,6202.2,0
311,14123.6,0
312,17061.1,0
313,17087.1,0
314,19721.1,0
315,18678.4,0
316,20983.2,0
317,19315.5,0
318,21388.1,0
319,10735,0
320,9039,0
321,7098.7,0
322,5726.4,0
323,5602.8,0
324,5088.4,0
325,6114.5,0
326,6179.3,0
327,6224.3,0
328,6469.6,0
329,6920.7,0
330,7825.9,0
331,15039.7,0
332,17185.3,0
333,15858.1,0
334,17681.7,0
335,15927.7,0
336,17637.2,0
337,15820.5,0
338,17600.4,0
339,15812.3,0
340,17655,0
341,15940.1,0
342,17850.6,0
343,16047.7,0
344,17739.6,0
345,15360.1,0
346,15947.7,0
347,13255.6,0
348,14007.8,0
349,12840.3,0
350,13964.3,0
351,12912.6,0
352,14659.3,0
353,13251.1,0
354,15287.2,0
355,13779,0
356,15288.2,0
357,14262,0
358,15848.8,0
359,13788,0
360,15233.7,0
361,14184.9,0
362,15245.8,0
363,13827.9,0
364,15452.9,0
365,13915.8,0
366,15564,0
367,13737.9,0
368,15296.3,0
369,13256,0
370,13910.6,0
371,11679.5,0
372,12336.6,0
373,11485.3,0
374,12542.7,0
375,11958.6,0
376,13109.9,0
377,12428.6,0
378,14688.7,0
379,13533.1,0
380,15217.8,0
381,13811.9,0
382,15444.9,0
383,13927.3,0
384,15527.4,0
385,14269.2,0
386,15303.4,0
387,13764,0
388,15455.7,0
389,14045.9,0
390,15659.3,0
391,8192.1,0
392,6522.4,0
393,2268.8,0
394,988.3,0
395,396,0
396,267.1,0
397,544.8,0
398,4.3,0
399,0.8,0
400,28.8,0
401,94.3,0
402,2447.7,0
403,3719.2,0
404,4150.6,0
405,4632.5,0
406,4879.7,0
407,11765.9,0
408,14341.8,0
409,14327.8,0
410,16010.6,0
411,14059,0
412,15656.3,0
413,14338.3,0
414,15962.7,0
415,8222.4,0
416,6527.5,0
417,2031.3,0
418,875.5,0
419,351.4,0
420,111.7,0
421,477.4,0
422,0,0
423,0,0
424,0,0
425,78.7,0
426,2220.2,0
427,3836.2,0
428,4450.7,0
429,5040.8,0
430,5334.8,0
431,13403.6,0
432,15291.8,0
433,14312.9,0
434,16110,0
435,14884.6,0
436,16914.6,0
437,15981.7,0
438,18191.5,0
439,9446.7,0
440,7668,0
441,3010.6,0
442,1157,0
443,647,0
444,426.9,0
445,773.1,8.6
446,187.5,483.1
447,107.7,380.1
448,78.4,10.1
449,196.2,0
450,2008.9,0
451,3552.6,0
452,4309.3,0
453,5103.6,0
454,5618.7,0
455,14184.2,0
456,17175.4,0
457,16731.5,0
458,18987.2,0
459,17826.1,0
460,19972.8,0
461,18490.7,0
462,20436.7,0
463,10343.5,0
464,8233.1,0
465,3273.4,0
466,1474,0
467,845.9,0
468,579.4,0
469,951.2,185.8
470,306.5,1009.2
471,226.6,847.1
472,194.3,20.6
473,361.6,0
474,2258.9,0
475,3831.2,0
476,4485.3,0
477,5121.7,0
478,5460.1,0
