Hours,HPHtgLd_W
1,12970.6
2,12989.3
3,12989.5
4,12988.6
5,12977.5
6,12977.8
7,12978
8,12985.5
9,17240.4
10,21478.1
11,25725.4
12,25728.7
13,25725
14,25727.9
15,25726.7
16,25725.4
17,25730
18,21475.8
19,12983.7
20,12989.4
21,12989.6
22,12981.9
23,12977.6
24,12978
25,13001.3
26,13011.5
27,13011.6
28,13011.8
29,13009.4
30,13000
31,13000.2
32,22084.2
33,26939.6
34,30628.3
35,36156.6
36,37997.8
37,32932
38,37999.6
39,36155
40,34313.8
41,29241.7
42,19102.6
43,15743.2
44,15725.6
45,15732.1
46,13321.2
47,13011.3
48,13011.5
49,13032.2
50,13033.7
51,13022.8
52,13022.2
53,13022.4
54,13026.6
55,13033.5
56,22120.4
57,26985.5
58,30675.9
59,36216.4
60,38068
61,32981.1
62,38070.3
63,36216.2
64,34370.8
65,29291.4
66,19129.4
67,15769
68,15769.7
69,15752.4
70,13349.1
71,13033.3
72,13033.2
73,13042.2
74,13043.7
75,13044
76,13047.9
77,13054.6
78,13054.5
79,13054.8
80,22154
81,27024.1
82,30725.8
83,36275.9
84,38129.3
85,33038
86,38127.6
87,36279.1
88,34423.3
89,29345.8
90,19165.4
91,15784.2
92,15796.3
93,15790.4
94,13371
95,13051.2
96,13043.5
97,13063.4
98,13065
99,13070.6
100,13075
101,13075.4
102,13075.4
103,13072.1
104,22186.1
105,27069.4
106,30776.7
107,36334.4
108,38188.6
109,33094.7
110,38187.2
111,36338
112,34481.1
113,29390.6
114,19198.8
115,15805.1
116,15821.9
117,15819.4
118,13392.2
119,13067.8
120,13064.5
121,13083.9
122,13085.5
123,13093.7
124,13095.2
125,13095.6
126,13095.6
127,13090.6
128,22220.8
129,27112
130,30824.9
131,36391.2
132,38248.7
133,33146
134,38247.7
135,36394.9
136,34533.7
137,29438.4
138,19226.2
139,15834
140,15846.2
141,15839.3
142,13412.8
143,13094.2
144,13084.8
145,13103.7
146,13105.2
147,13106.8
148,13114.8
