Hours,HPHtgLd_W,HPClgLd_W
1,141057,0
2,154431.6,0
3,150235.2,0
4,160730.9,0
5,150243.9,0
6,157698.2,0
7,146967.7,0
8,135463.5,0
9,97722.4,0
10,75596,0
11,60506.8,0
12,56577.5,0
13,44859.3,0
14,39714.6,0
15,33366.9,0
16,33130.9,0
17,32492.4,0
18,42150.4,0
19,56074.7,0
20,83875.2,0
21,92576.1,0
22,135440.1,0
23,141837.2,0
24,165844.5,0
25,167685.5,0
26,182738.2,0
27,182892.6,0
28,200098.4,0
29,202976.6,0
30,213453.6,0
31,156186,0
32,72249.5,0
33,3148.9,0
34,351.7,0
35,4.9,0
36,90.7,3140.4
37,11.9,4089.1
38,0,409.4
39,0,1520.9
40,66.3,1552.5
41,487.5,0
42,3881.6,0
43,6536.4,0
44,9455,0
45,11556.3,0
46,97625.1,0
47,124879.1,0
48,127755.4,0
49,140958.4,0
50,134308.5,0
51,142796.9,0
52,135039.6,0
53,143018,0
54,134645.9,0
55,88483.8,0
56,35510,0
57,903.5,0
58,647.2,0
59,349.8,102.1
60,116.3,5009.5
61,2,6321.7
62,0,6009.1
63,0,14973.3
64,0,17595.9
65,0,370.1
66,37.2,0
67,192,0
68,770.6,0
69,1928.6,0
70,56689.2,0
71,80070.3,0
72,85616.4,0
73,106382.2,0
74,105668.2,0
75,125467.9,0
76,128413.6,0
77,150376.8,0
78,151747,0
79,104620.6,0
80,52966.7,0
81,963.2,0
82,52.5,119.6
83,0,11295.1
84,0,32183.6
85,0,42272.6
86,0,43863.7
87,0,45562.3
88,385,40112.6
89,905.9,4125.4
90,2714.7,0
91,5748.4,0
92,10523.8,0
93,16283.5,0
94,120013.8,0
95,162195.7,0
96,175694.7,0
97,195680.5,0
98,205686.2,0
99,219770,0
100,227197,0
101,240273.8,0
102,250932.9,0
103,151030.1,0
104,88769.7,0
105,7664.6,0
106,2681.1,0
107,270.4,4448.5
108,0,26448
109,0,38297.2
110,0,38222.4
111,0,41954.2
112,562.4,38245.9
113,998.1,3283.1
114,2920.3,0
115,6066.3,0
116,11158,0
117,16213.5,0
118,117122.1,0
119,156629.9,0
120,167587.1,0
121,191355.2,0
122,208870.2,0
123,231110.8,0
124,246778.1,0
125,260525.2,0
126,287362.8,0
127,172174.7,0
128,105009.3,0
129,11123.1,0
130,4550.2,19.9
131,730,11591.3
132,35.4,35900.3
133,0,50158.7
134,0,55381.9
135,0,59336.3
136,0,53746.5
137,46,19137
138,442.9,0
139,1623.8,0
140,3246.6,0
141,6367.2,0
142,93165.4,0
143,127129,0
144,138971,0
145,159983,0
146,163552.3,0
147,181738.9,0
148,183820.1,0
149,194009.9,0
150,192166.4,0
151,199254.1,0
152,171908.3,0
153,168525.4,0
154,145054.9,0
155,136466.2,0
156,111571.9,0
157,110036.4,0
158,95984.7,0
159,100022.9,0
160,91810.7,0
161,102456.5,0
162,98914.1,0
163,112691,0
164,110109.7,0
165,122598.5,0
166,130515.9,0
167,142590.3,0
168,137510.6,0
169,147876.2,0
170,141258.2,0
171,151114,0
172,143399.4,0
173,151494.8,0
174,144547.7,0
175,153009.8,0
