Hours,HPHtgLd_W
1,369.3
2,362.7
3,373.6
4,364.5
5,371.8
6,489.2
7,373.8
8,366.3
9,361.7
10,375
11,363.5
12,456.2
13,447.5
14,581.6
15,451.7
16,373.2
17,362.5
18,374.7
19,364.2
20,371.5
21,366
22,495.4
23,368.1
24,368.1
25,411
26,403.9
27,418.4
28,404.5
29,417.7
30,532
31,499.3
32,995.5
33,1674.3
34,1808.8
35,1851.9
36,2192.1
37,2610
38,2491.7
39,1655.9
40,1597
41,2063.4
42,1309.5
43,1099.1
44,840.3
45,918.7
46,538.7
47,419.6
48,405.9
49,416.1
50,406.9
51,416
52,407.5
53,415.4
54,531.5
55,501.7
56,997.4
57,1676.8
58,1812
59,1855.5
60,2191.6
61,2615.6
62,2496.3
63,1657.3
64,1604.1
65,2064.3
66,1315.9
67,1092.9
68,840.2
69,922.2
70,547.6
71,416.9
72,408.3
73,414.9
74,409.3
75,410.4
76,413.2
77,406.5
78,542
79,501.4
80,999.2
81,1678.8
82,1816
83,1858.8
84,2192.5
85,2620.9
86,2501.4
87,1661.8
88,1607.1
89,2066.2
90,1319.8
91,1094
92,842.1
93,921
94,549.7
95,409.9
96,415.3
97,405.3
98,419.3
99,405.9
100,418.9
101,406.4
102,542.7
103,499.7
104,1001.5
105,1678.9
106,1820.3
107,1863.2
108,2195.5
109,2625.1
110,2507.2
111,1664.6
112,1609.7
113,2066.5
114,1325.3
115,1095.8
116,843.5
117,922.3
118,550.7
119,407.3
120,418.7
121,406.5
122,419.4
123,407.1
124,418.4
125,407.6
126,542.8
127,493.8
128,1008.6
129,1680.6
130,1825.5
131,1866
132,2198.9
133,2629.5
134,2511.4
135,1667.3
136,1612.3
137,2068.8
138,1328.6
139,1097.5
140,844.6
141,923.6
142,551.1
143,407.9
144,419
145,407.1
146,419.1
147,407.7
148,418.5
149,408.2
150,543.3
151,493.6
152,669.8
153,839
154,1091.9
155,1020.7
156,1179.7
157,1055.4
158,1011.4
159,844.5
160,758.6
161,798.8
162,507
163,492.8
164,503.4
165,492.8
166,586.4
167,419.6
168,409.7
169,373.5
170,369.5
171,364.4
172,377.4
173,366.1
174,501.1
175,368.2
176,375.2
177,367.8
178,372.9
179,369.5
180,454
181,456.7
182,584.8
183,454.2
184,375.1
185,368.2
186,371.9
187,370.3
188,364.4
189,376.5
190,490.7
191,378.5
192,366.1
193,417.6
194,409.8
195,417.7
196,410.3
197,417.1
198,535.6
199,504.5
200,1006.2
201,1692.9
202,1829.6
203,1873.5
204,2214.5
205,2642.2
206,2521.8
207,1674.6
208,1615.8
209,2087.5
210,1324.2
211,1111.7
212,847.9
213,927.9
214,542.4
215,422
216,407.8
217,419.9
218,408.7
219,419.3
220,409.2
221,419.4
222,534.7
223,506.2
224,1007.4
225,1695.5
226,1832.2
227,1876
228,2220.8
