Hours,HPHtgLd_W,HPClgLd_W
1,19638,0
2,18991.3,0
3,20681.2,0
4,21482.5,0
5,21221.6,0
6,20178.7,0
7,18311.9,0
8,17271.6,0
9,16408.2,0
10,15507.2,0
11,13704,55.8
12,12290.8,376.2
13,10760.6,677.1
14,9355.8,820.4
15,8530.8,841.7
16,8470.5,714.7
17,9309.5,467.2
18,9722.9,334.3
19,9792.8,336.2
20,10875.4,221.4
21,12504,87.1
22,14408,0
23,17158.1,0
24,20445.8,0
25,22701.3,0
26,23910.1,0
27,25445.9,0
28,27291,0
29,28313,0
30,27480.3,0
31,26161.1,0
32,25589.6,0
33,23241.4,0
34,21647.2,0
35,22385,0
36,22165.4,0
37,20760.8,0
38,19833.3,0
39,19503.9,0
40,19660.8,0
41,18772.1,0
42,16763,0
43,15794,0
44,17069.2,0
45,17612.4,0
46,17775.5,0
47,19346.6,0
48,21446.8,0
49,22657.1,0
50,22527.7,0
51,22347.6,0
52,22303.4,0
53,22058.3,0
54,20892.7,0
55,18965.2,0
56,17968.6,0
57,18367.8,0
58,18389.5,0
59,17474.2,0
60,16678.3,0
61,15876.9,0
62,14329.6,0
63,13472.7,0
64,13403.4,0
65,12367.2,0
66,10660.6,0
67,9610,0
68,10043.1,0
69,11067.2,0
70,12204.7,0
71,14009,0
72,16693.9,0
73,19392.3,0
74,20732.9,0
75,22148.8,0
76,23926,0
77,25099.3,0
78,25396.2,0
79,24646.3,0
80,24552.6,0
81,23921.3,0
82,22482.2,0
83,20462.8,0
84,18996.9,0
85,17838.2,0
86,16849.2,0
87,16375.9,0
88,16296.8,0
89,17450.1,0
90,17960.3,0
91,17963,0
92,19491.7,0
93,21242,0
94,23354,0
95,26404.5,0
96,29330.6,0
97,31865,0
98,33672.9,0
99,34906,0
100,36082.2,0
101,37220.5,0
102,37069.2,0
103,35739.6,0
104,34705.3,0
105,31830,0
106,29212.1,0
107,26163.6,0
108,22817.4,0
109,21058.3,0
110,19769.4,0
111,18577.2,0
112,18054.1,0
113,18955,0
114,19439.3,0
115,19197,0
116,20165.8,0
117,21237.5,0
118,22999.2,0
119,25736.1,0
120,28574.2,0
121,31909.9,0
122,35018.2,0
123,37225.6,0
124,38564.8,0
125,39651.3,0
126,40415.3,0
127,39739.2,0
128,38271.9,0
129,33345.7,0
130,28848.4,0
131,23614,0
132,20261.2,0
133,17385.2,0
134,14861.8,49.3
135,13070.5,173.9
136,12559.6,154
137,13091.5,33.4
138,13697.3,0
139,13554.7,0
140,14886.4,0
141,16449.8,0
142,18104.4,0
143,20829.9,0
144,23928.4,0
145,26320.7,0
146,27512.2,0
147,29102.6,0
148,29713.2,0
149,29563.7,0
150,28784.1,0
151,27114.9,0
152,25660.8,0
153,25988.9,0
154,24342.9,0
155,23273.3,0
156,22378.6,0
157,21950.2,0
158,21436.5,0
159,20875.3,0
160,20307.4,0
161,18533.7,0
162,16000.1,0
163,14416.3,0
164,14523.8,0
165,14805.7,0
166,15257.4,0
167,16886.8,0
168,19079.1,0
169,20949.9,0
170,21685.3,0
171,22266.8,0
172,22348,0
173,22161.8,0
174,21351,0
175,19692.8,0
176,19218.1,0
177,20484.6,0
178,20724.5,0
179,20509.5,0
180,20243.4,0
181,19910.4,0
182,18780.4,0
183,19153.3,0
184,20377.6,0
185,21005.6,0
186,20820.8,0
187,20524.1,0
188,22209.8,0
189,23930.1,0
190,25671.2,0
191,28813.2,0
192,32060,0
193,34952,0
194,36930.3,0
195,38661.4,0
196,40604.7,0
197,41666.3,0
198,41518,0
199,40427.5,0
200,39910,0
201,38768.6,0
202,37038.5,0
203,32740,0
204,29025.4,0
205,26041.8,0
206,23488.6,0
207,21975.7,0
208,21561.9,0
209,22259.7,0
210,22903.6,0
211,22835,0
212,23806.1,0
213,25386.1,0
214,27235.3,0
215,29866.2,0
216,33062.2,0
217,36511.8,0
218,38379,0
219,39499.8,0
220,40359.5,0
221,40335.3,0
222,40088,0
223,38186.6,0
224,36853.2,0
225,32995.6,0
226,28844.4,0
227,25227.8,0
228,21828.3,0
229,19167.7,0
230,17103.6,0
231,15747.2,0
232,14978.8,0
233,15430.2,0
234,15747.6,0
235,15412.9,0
236,16088.8,0
237,17025.3,0
238,18633.9,0
239,21261.5,0
240,24062.7,0
241,26451.3,0
242,27588.9,0
243,28410.8,0
244,28946.2,0
245,29178.8,0
246,28118.7,0
247,26277.4,0
248,25627.7,0
249,25715.6,0
250,25164.1,0
251,23346.1,0
252,21829,0
253,20394.4,0
254,20251.8,0
255,20158.1,0
256,20560.7,0
257,19341.5,0
258,17573.2,0
259,16259.2,0
260,16117.6,0
261,16609.9,0
262,17643.7,0
263,19734,0
264,23680.2,0
265,26325.3,0
266,27707.1,0
267,28972.7,0
268,29065.7,0
269,27289.2,0
270,25062.6,0
271,23072.8,0
272,22383.6,0
273,21697.7,0
274,19209.9,0
275,16718.4,0
276,15013.3,0
277,13572.2,0
278,12123.5,1.6
279,11222.3,61.6
280,10737,70.5
281,10851.5,6.9
282,11376.5,0
283,11806.7,0
284,13775.6,0
285,15620.8,0
286,17405.9,0
287,20177,0
288,23209.9,0
289,25228.7,0
290,26893.8,0
291,28556.6,0
292,30074.7,0
293,30146.1,0
294,28881.9,0
295,27469.4,0
296,27339.5,0
297,25804,0
298,21751,0
299,18442.8,0
300,15009,0
301,12753.7,0
302,11783.3,0
303,11817.5,0
304,11400.3,0
305,11192.3,0
306,9678.7,0
307,8551,0
308,8682.4,0
309,7986.8,0
310,6871.8,0
311,6385.2,0
312,6752.2,0
313,8311.2,0
314,9175.3,0
315,9170.7,0
316,11438.6,0
317,13467.2,0
318,13355.3,0
319,12714.9,0
320,12203.9,0
321,10844.8,0
322,9209.6,0
323,7702.7,0
324,6812.7,0
325,6269,0
326,5494,13.2
327,5114.1,86.5
328,4921.4,60.8
329,5118.8,35.7
330,5875.8,0
331,6410.2,0
332,7670,0
333,9647.4,0
334,11092.8,0
335,13517.8,0
336,16769.5,0
337,19638.8,0
338,22331.9,0
339,24001.2,0
340,25294.9,0
341,25699.1,0
342,25047.3,0
343,24080.9,0
344,22789.3,0
345,20257.8,0
346,17509.7,0
347,15283.5,0
348,13525.8,0
349,11986.4,31.2
350,10560.3,148.1
351,10785.6,20.3
352,11963.7,0
353,11762.8,0
354,11094.5,0
355,11749.3,0
356,13243,0
357,13781.8,0
358,14612.4,0
359,16499.6,0
360,18707.5,0
361,21217.2,0
362,22619.2,0
363,23714,0
364,24244.2,0
365,24053.6,0
366,22928.2,0
367,21018.1,0
368,19914.7,0
369,20617.3,0
370,19675.8,0
371,17835.9,0
372,16489.8,0
373,14561.8,0
374,12817.4,0
375,10255.9,0
376,9355.2,0
377,9560.2,0
378,9711.7,0
379,9354.3,0
380,10384.9,0
381,11339.4,0
382,12908.2,0
383,15248.5,0
384,16461.7,0
385,17130.3,0
386,18556.2,0
387,20503.6,0
388,21988.4,0
389,23206.5,0
390,23773.8,0
391,23287.6,0
392,23140.5,0
393,22375,0
394,21292.8,0
395,19742.2,0
396,19409.8,0
397,20211.5,0
398,20133.8,0
399,20605.4,0
400,22900.2,0
401,22378.4,0
402,21771.1,0
403,21386.5,0
404,22533.7,0
405,23801.1,0
406,25882.7,0
407,29261.3,0
408,32444.5,0
409,35669.1,0
410,37936.4,0
411,39854.4,0
412,41634.7,0
413,42906.2,0
414,43209.6,0
415,42247.2,0
416,40816.7,0
417,37687.3,0
418,34790.9,0
419,31976.8,0
420,29506.4,0
421,27090.5,0
422,24914.7,0
423,23715.2,0
424,22841.8,0
425,22653.1,0
426,23963.1,0
427,24192.4,0
428,26192.9,0
429,28365.3,0
430,31212.5,0
431,33707.3,0
432,37288.7,0
433,41843.8,0
434,44141.9,0
435,45133.2,0
436,47042.2,0
437,48826.1,0
438,48378.5,0
439,47194.3,0
440,45868,0
441,39752,0
442,34098.6,0
443,29935.9,0
444,26051.9,0
445,22690,0
446,19314.1,0
447,16995.9,0
448,15904.5,0
449,16059.1,0
450,17546.6,0
451,18372.9,0
452,19667.7,0
453,21249.7,0
454,24090.9,0
455,27261.5,0
456,29645.7,0
457,30891.8,0
458,31110,0
459,31502.1,0
460,32067.2,0
461,32737,0
462,31230.5,0
463,28450.7,0
464,27338.1,0
465,27925.3,0
466,28061.7,0
467,27531.1,0
468,25845,0
469,24702.8,0
470,24485.4,0
471,23903.9,0
472,23109.8,0
473,22159.9,0
474,21377.1,0
475,20462.9,0
476,21388.7,0
477,22700,0
478,23152.6,0
479,24806.2,0
480,27398,0
481,29439.5,0
482,30163.6,0
483,30682.5,0
484,31060.8,0
485,30536,0
486,29564.3,0
487,27624.7,0
488,26681.9,0
489,27208.1,0
490,26557,0
491,24924,0
492,23287.7,0
493,22054.4,0
494,20768.7,0
495,20688.7,0
496,20229.5,0
497,18944.9,0
498,17497.6,0
499,16274.6,0
500,17061.5,0
501,18289,0
502,19516.9,0
503,22577.7,0
504,25978.8,0
505,28107.2,0
506,28930.2,0
507,29795.8,0
508,30888.4,0
509,31523.7,0
510,30903.5,0
511,29440.8,0
512,28356.2,0
513,26503.6,0
514,24113.7,0
515,22801.8,0
516,20401.4,0
517,18884.6,0
518,17568.8,0
519,17244.4,0
520,17677.6,0
521,19364.2,0
522,19758.4,0
523,19596.5,0
524,20728.4,0
525,22186.6,0
526,24539.2,0
527,27852.7,0
528,30952.3,0
529,34135.7,0
530,36645.1,0
531,38306.6,0
532,39836.2,0
533,41733.1,0
534,41948.5,0
535,40339.5,0
536,39222.6,0
537,35165.5,0
538,32058.5,0
539,30771.5,0
540,30759.4,0
541,29447.5,0
542,28625.1,0
543,27830.5,0
544,25107.4,0
545,23991.6,0
546,24800.1,0
547,24446.9,0
548,24462.5,0
549,24552.9,0
550,26385.2,0
551,29680.6,0
552,32312.4,0
553,35075.3,0
554,35989.3,0
555,35680.5,0
556,35265.8,0
557,34585.3,0
558,33359.3,0
559,31039.8,0
560,29400.4,0
561,27914.2,0
562,23798.5,0
563,19864.6,0
564,16588.9,0
565,13798.9,0
566,11830.4,0
567,10131.9,46.1
568,8926.7,73.9
569,8591,11.1
570,8718.5,0
571,8836.5,0
572,9962.5,0
573,11251.1,0
574,12397.8,0
575,14532.7,0
576,17807,0
577,21286.8,0
578,23332.4,0
579,24661.3,0
580,25359.9,0
581,26340.1,0
582,26785.1,0
583,25379,0
584,24183.1,0
585,23443.4,0
586,21937.6,0
587,20055,0
588,19916.2,0
589,19804.8,0
590,19241.6,0
591,19228.7,0
592,18697,0
593,17166.7,0
594,14658.4,0
595,13201.5,0
596,13257.7,0
597,13503.6,0
598,14111.3,0
599,15763.4,0
600,17919.6,0
601,19554.8,0
602,20138.1,0
603,20331.2,0
604,20425.3,0
605,19834,0
606,18308,0
607,16350.6,0
608,15058.6,0
609,15392.4,0
610,14631.7,0
611,13144.4,0
612,11333,0
613,9395.7,0
614,6906.1,0
615,5110.8,0
616,4129.1,0
617,2787.4,0
618,1597.3,0
619,903.2,0
620,1068.7,0
621,1273.3,0
622,1424.6,0
623,2082.8,0
624,3004.5,0
625,3924.1,0
626,3954.5,0
627,3892.7,0
628,4209.2,0
629,4266.2,0
630,3885.5,0
631,3505,0
632,3309.7,0
633,4613.9,0
634,5723.9,0
635,6120.3,0
636,6969.5,0
637,7733.6,0
638,8323,0
639,9305.5,0
640,9864.9,0
641,9502,0
642,8038.9,0
643,7397.8,0
644,8139.4,0
645,9304.6,0
646,10537.8,0
647,12914.9,0
648,15273.9,0
649,17513.4,0
650,18739.3,0
651,19380.9,0
652,19922.8,0
653,20901.6,0
654,21295.1,0
655,21012.5,0
656,21107.2,0
657,20627.6,0
658,18522.1,0
659,16185.3,0
660,14969.3,0
661,13678.5,0
662,12204.3,0
663,11650.5,0
664,11226,0
665,11308.3,0
666,11848.1,0
667,11928.3,0
668,13344.3,0
669,14024.4,0
670,14463.3,0
671,15739,0
672,17643,0
673,19388.4,0
674,19984.3,0
675,20413.5,0
676,20794.5,0
677,20793.8,0
678,20094.9,0
679,19202.7,0
680,18898.8,0
681,16322.3,0
682,13109.6,0
683,9782.9,0
684,7162,0
685,5740.4,0
686,5801.1,0
687,5209.3,0
688,4998.8,0
689,5064.5,0
690,5265,0
691,5796.2,0
692,7244.7,0
693,8341.2,0
694,8807.1,0
695,11032.8,0
696,13749.8,0
697,15995,0
698,17807.8,0
699,19111.5,0
700,20086.7,0
701,20755.2,0
702,20380.7,0
703,19441.6,0
704,19413.2,0
705,19824.4,0
706,19952.3,0
707,19268,0
708,18241.6,0
709,16719.9,0
710,16279.4,0
711,16523,0
712,16657.2,0
713,16099.7,0
714,14346.7,0
715,13493.8,0
716,14470.6,0
717,15339.7,0
718,15985,0
719,18023.4,0
720,20077.4,0
721,21964.5,0
722,22745.7,0
723,23309.7,0
724,24097,0
725,24295.4,0
726,23518,0
727,21844.2,0
728,21210.4,0
729,22173.7,0
730,21878.3,0
731,20560.9,0
732,19198.1,0
733,18247.1,0
734,17591.2,0
735,16827.2,0
736,16167.7,0
737,15058.2,0
738,13317,0
739,12511.4,0
740,13527.8,0
741,14431.7,0
742,14371.5,0
743,14691.6,0
744,15032.4,0
745,15180.8,0
746,14213.9,0
747,12745.6,0
748,10984.8,0
749,9186.1,0
750,7615.8,0
751,6134.2,0
752,5311.8,0
753,5177.5,0
754,4658.6,0
755,3289.4,0
756,2078.8,0
757,713.5,0
758,74.9,121.2
759,0,373.8
760,0,372.5
761,0,360.4
762,0,0
763,0,3.2
764,0,41.3
765,0,81.9
766,0,83.9
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,26.7
777,0,0.4
778,0,10
779,0,61.1
780,0,166.1
781,0,140.6
782,0,318.1
783,0,331
784,0,321.7
785,10.2,323.4
786,162,137.4
787,336.6,216
788,927.3,163.3
789,1596.8,114.7
790,2809.4,40.7
791,5117.5,0
792,7457.8,0
793,9746,0
794,11407.2,0
795,12558.3,0
796,13457.1,0
797,14108.6,0
798,14048.7,0
799,13558.4,0
800,13338.3,0
801,13698.6,0
802,14029.4,0
803,13760.8,0
804,13062.2,0
805,12630.4,0
806,12531.8,0
807,12554,0
808,12671.4,0
809,12222.8,0
810,10952.9,0
811,10227.6,0
812,10604.2,0
813,11128.7,0
814,11612.1,0
815,13076.7,0
816,14876.1,0
817,16665.7,0
818,17551.7,0
819,18122.2,0
820,18304.8,0
821,18263.9,0
822,17218.4,0
823,15260,0
824,14486.2,0
825,15685.1,0
826,15442.5,0
827,13768.7,0
828,13121.2,0
829,11352.7,0
830,10956.4,0
831,12115.9,0
832,12924.9,0
833,12990.2,0
834,12452.1,0
835,12221.8,0
836,13505,0
837,14774.7,0
838,16397.7,0
839,19035.1,0
840,21454.5,0
841,23812.1,0
842,25579.9,0
843,27000.6,0
844,28171.5,0
845,29373.5,0
846,29400.6,0
847,28281.6,0
848,27438.2,0
849,25119.4,0
850,22227.4,0
851,21143.9,0
852,21333.6,0
853,20704.1,0
854,19323.4,0
855,19085.9,0
856,18561.1,0
857,17211.9,0
858,17023.8,0
859,16962.1,0
860,17850.8,0
861,19711.8,0
862,21851.5,0
863,24861.1,0
864,28487.1,0
865,32200.7,0
866,34961.5,0
867,37012.6,0
868,38881.5,0
869,40118.8,0
870,39873.3,0
871,39324.6,0
872,37819.2,0
873,35056.9,0
874,32879.2,0
875,30151.5,0
876,27517.9,0
877,25461.8,0
878,23451.5,0
879,21924.1,0
880,20724.7,0
881,20015.7,0
882,20547.9,0
883,21046.9,0
884,22932.5,0
885,24984.4,0
886,27465.1,0
887,31070.8,0
888,34463.7,0
889,37778.9,0
890,40010.6,0
891,41703.5,0
892,43128.6,0
893,44156.4,0
894,44135.8,0
895,42974.9,0
896,41417.2,0
897,36750.1,0
898,32781.5,0
899,29189.9,0
900,26043,0
901,22797.3,0
902,20043.8,0
903,18343,0
904,17915.6,0
905,18425.6,0
906,18049,0
907,17722.3,0
908,19501.3,0
909,21654.6,0
910,23243.2,0
911,25068.4,0
912,26138.8,0
913,27509.2,0
914,27811.7,0
915,28094.7,0
916,29063.6,0
917,30366.9,0
918,30650.6,0
