Time,building1_htg_clg:EFT [C],building1_htg_clg:ExFT [C],building1_htg_clg:Q_htg [W],building1_htg_clg:Q_clg [W],building1_htg_clg:Q_net [W],building1_htg_clg:M_flow [kg/s],building1_htg_clg:P_hp_htg [W],building1_htg_clg:P_hp_clg [W],building1_htg_clg:P_hp_tot [W],building1_htg_clg:P_pump [W],building1_htg_clg:Q_src_clg [W],building1_htg_clg:Q_src_htg [W],building1_htg_clg:Q_src_het [W],building2_htg_clg:EFT [C],building2_htg_clg:ExFT [C],building2_htg_clg:Q_htg [W],building2_htg_clg:Q_clg [W],building2_htg_clg:Q_net [W],building2_htg_clg:M_flow [kg/s],building2_htg_clg:P_hp_htg [W],building2_htg_clg:P_hp_clg [W],building2_htg_clg:P_hp_tot [W],building2_htg_clg:P_pump [W],building2_htg_clg:Q_src_clg [W],building2_htg_clg:Q_src_htg [W],building2_htg_clg:Q_src_het [W],ghe1:EFT [C],ghe1:ExFT [C],ghe1:MFT [C],ghe1:Q [W/m],ghe1:Q_tot [W],hp_pir1:EFT [C],hp_pir1:ExFT [C],hp_pir1:MFT [C],hp_pir1:Q [W/m],hp_pir1:M_flow [kg/s],hp_pir2:EFT [C],hp_pir2:ExFT [C],hp_pir2:MFT [C],hp_pir2:Q [W/m],hp_pir2:M_flow [kg/s],hp_pir7:EFT [C],hp_pir7:ExFT [C],hp_pir7:MFT [C],hp_pir7:Q [W/m],hp_pir7:M_flow [kg/s],hp_por1:EFT [C],hp_por1:ExFT [C],hp_por1:MFT [C],hp_por1:Q [W/m],hp_por1:M_flow [kg/s],hp_por2:EFT [C],hp_por2:ExFT [C],hp_por2:MFT [C],hp_por2:Q [W/m],hp_por2:M_flow [kg/s],hp_por7:EFT [C],hp_por7:ExFT [C],hp_por7:MFT [C],hp_por7:Q [W/m],hp_por7:M_flow [kg/s],Network:M_flow [kg/s],Network:P_pump [W],Network:Q_net_bldg [W],Network:Q_net_ghe [W]
1.0000,15.3451,11.7841,86966.0000,4051.1000,82914.9000,-4.7153,17466.8001,691.6595,18158.4596,230.2888,4742.7595,69499.1999,64756.4404,15.5330,11.7639,66470.3000,0.0000,66470.3000,-3.6527,13376.5635,0.0000,13376.5635,178.3920,0.0000,53093.7365,53093.7365,11.7529,15.9640,13.8585,-2.0136,-135915.9869,15.5330,12.6200,14.0765,29.9826,-0.3542,15.9640,15.5330,15.7485,50.1603,-4.0069,15.9640,15.5664,15.7652,50.3619,4.3611,11.7841,11.6443,11.7142,1.4748,0.3542,11.7533,11.7377,11.7455,1.8523,4.0069,11.7841,11.7669,11.7755,2.2146,-4.3611,0.1000,7.8141,149385.2000,-135915.9869
2.0000,15.5559,11.9574,87715.2000,3735.3000,83979.9000,-4.7394,17559.2859,641.0561,18200.3421,227.1770,4376.3561,70155.9141,65779.5579,15.6336,11.8636,70954.0000,0.0000,70954.0000,-3.8991,14257.8775,0.0000,14257.8775,186.2615,0.0000,56696.1225,56696.1225,11.8947,15.6218,13.7582,-1.8397,-124182.1289,15.6336,14.3052,14.9694,10.8359,-0.2801,15.6218,15.6336,15.6277,-1.3977,-4.1792,15.6218,15.6344,15.6281,-1.5946,4.4593,11.9574,11.7486,11.8530,1.7347,0.2801,11.8559,11.8453,11.8506,1.3288,4.1792,11.9574,11.9410,11.9492,2.1558,-4.4593,0.1000,7.8141,154933.9000,-124182.1289
3.0000,15.5252,11.8813,90227.9000,3372.7000,86855.2000,-4.8529,18070.9389,578.3888,18649.3277,231.7251,3951.0888,72156.9611,68205.8723,15.5582,11.7893,67845.6000,0.0000,67845.6000,-3.7283,13648.2896,0.0000,13648.2896,177.7840,0.0000,54197.3104,54197.3104,11.8459,15.5510,13.6985,-1.8168,-122632.1855,15.5582,15.1368,15.3475,4.6228,-0.3749,15.5510,15.5582,15.5546,-0.8218,-4.1032,15.5510,15.5577,15.5544,-0.8298,4.4781,11.8813,11.8597,11.8705,0.2719,0.3749,11.7957,11.8008,11.7983,-0.5712,4.1032,11.8813,11.8871,11.8842,-0.7237,-4.4781,0.1000,7.8141,154700.8000,-122632.1855
4.0000,15.4821,11.8022,91910.5000,3056.8000,88853.7000,-4.9255,18420.3329,523.6584,18943.9913,235.2931,3580.4584,73490.1671,69909.7087,15.4890,11.7211,75829.6000,0.0000,75829.6000,-4.1670,15269.8848,0.0000,15269.8848,198.9714,0.0000,60559.7152,60559.7152,11.7731,15.4827,13.6279,-1.9274,-130096.7426,15.4890,15.3596,15.4243,0.9872,-0.2528,15.4827,15.4890,15.4859,-0.7693,-4.4199,15.4827,15.4887,15.4857,-0.7682,4.6727,11.8022,11.8622,11.8322,-0.4025,0.2528,11.7291,11.7352,11.7322,-0.7379,4.4199,11.8022,11.8090,11.8056,-0.8885,-4.6727,0.1000,7.8141,164683.3000,-130096.7426
5.0000,15.4384,11.8386,91984.3000,3886.8000,88097.5000,-4.9686,18447.7311,665.1295,19112.8606,237.5882,4551.9295,73536.5689,68984.6394,15.4396,11.6723,70193.3000,0.0000,70193.3000,-3.8573,14145.1634,0.0000,14145.1634,184.4086,0.0000,56048.1366,56048.1366,11.7661,15.4350,13.6006,-1.8503,-124895.6232,15.4396,15.4273,15.4334,0.1701,-0.3704,15.4350,15.4396,15.4373,-0.5261,-4.2277,15.4350,15.4392,15.4371,-0.5262,4.5982,11.8386,11.8326,11.8356,0.1020,0.3704,11.6864,11.6905,11.6884,-0.4675,4.2277,11.8386,11.8356,11.8371,0.4406,-4.5982,0.1000,7.8141,158290.8000,-124895.6232
6.0000,15.3925,11.7936,93034.3000,3932.6000,89101.7000,-5.0254,18671.7058,672.2096,19343.9154,240.4889,4604.8096,74362.5942,69757.7846,15.3908,11.6242,76208.7000,0.0000,76208.7000,-4.1878,15368.3971,0.0000,15368.3971,200.3880,0.0000,60840.3029,60840.3029,11.7216,15.3865,13.5540,-1.9294,-130233.8061,15.3908,15.4256,15.4082,-0.2442,-0.2792,15.3865,15.3908,15.3887,-0.5270,-4.4670,15.3865,15.3906,15.3885,-0.5263,4.7462,11.7936,11.8279,11.8107,-0.2403,0.2792,11.6370,11.6414,11.6392,-0.5343,4.4670,11.7936,11.7971,11.7953,-0.4440,-4.7462,0.1000,7.8141,165310.4000,-130233.8061
7.0000,15.1594,12.1845,121863.8000,14356.8000,107507.0000,-7.0177,24547.5401,2440.0684,26987.6085,336.6702,16796.8684,97316.2599,80519.3915,15.1497,11.3865,69679.6000,0.0000,69679.6000,-3.8291,14101.9531,0.0000,14101.9531,183.3790,0.0000,55577.6469,55577.6469,11.8801,15.1287,13.5044,-2.0134,-135906.5923,15.1497,15.2337,15.1917,-2.5528,-1.0629,15.1287,15.1497,15.1392,-2.9504,-4.8919,15.1287,15.1461,15.1374,-2.9708,5.9548,12.1845,12.0616,12.1231,3.8294,1.0629,11.5332,11.5417,11.5374,-1.1677,4.8919,12.1845,12.1582,12.1714,4.5977,-5.9548,0.1000,7.8141,177186.6000,-135906.5923
8.0000,15.0173,12.8507,91537.4000,21265.9000,70271.5000,-5.7667,18480.2139,3601.8364,22082.0503,278.1750,24867.7364,73057.1861,48189.4497,15.0090,11.2478,71003.9000,0.0000,71003.9000,-3.9018,14400.1454,0.0000,14400.1454,187.6693,0.0000,56603.7546,56603.7546,12.1570,14.9966,13.5768,-1.5688,-105892.6086,15.0090,15.0996,15.0543,-1.5981,-0.6216,14.9966,15.0090,15.0028,-1.5861,-4.5234,14.9966,15.0074,15.0020,-1.5737,5.1451,12.8507,12.4850,12.6679,6.6347,0.6216,11.4178,11.4281,11.4230,-1.3212,4.5234,12.8507,12.7978,12.8243,7.9395,-5.1451,0.1000,7.8141,141275.4000,-105892.6086
9.0000,14.9876,12.9060,86930.6000,21350.9000,65579.7000,-5.5311,17558.4387,3613.6155,21172.0542,267.3886,24964.5155,69372.1613,44407.6458,14.9837,11.2229,43653.6000,0.0000,43653.6000,-2.3989,8856.6321,0.0000,8856.6321,115.6710,0.0000,34796.9679,34796.9679,12.3679,14.9815,13.6747,-1.1843,-79939.5490,14.9837,15.0065,14.9951,-0.6539,-1.0441,14.9815,14.9837,14.9826,-0.1832,-3.4429,14.9815,14.9832,14.9823,-0.1771,4.4870,12.9060,12.8263,12.8661,2.4523,1.0441,11.7091,11.6763,11.6927,3.3153,3.4429,12.9060,12.8986,12.9023,1.0012,-4.4870,0.1000,7.8141,109233.3000,-79939.5490
10.0000,14.8292,13.6003,69379.9000,27448.6000,41931.3000,-4.9063,14048.8226,4627.8147,18676.6374,237.6276,32076.4147,55331.0774,23254.6626,14.8217,11.0632,36839.6000,0.0000,36839.6000,-2.0244,7492.3660,0.0000,7492.3660,97.6597,0.0000,29347.2340,29347.2340,12.7772,14.7979,13.7875,-0.8003,-54017.2636,14.8217,14.8828,14.8522,-1.6644,-0.9606,14.7979,14.8217,14.8098,-2.0255,-2.9850,14.7979,14.8162,14.8070,-2.0555,3.9456,13.6003,13.3384,13.4694,7.3398,0.9606,11.7954,11.7818,11.7886,1.2168,2.9850,13.6003,13.5303,13.5653,8.0613,-3.9456,0.1000,7.8141,78770.9000,-54017.2636
