Time,building1_htg_clg:EFT [C],building1_htg_clg:ExFT [C],building1_htg_clg:Q_htg [W],building1_htg_clg:Q_clg [W],building1_htg_clg:Q_net [W],building1_htg_clg:M_flow [kg/s],building1_htg_clg:P_hp_htg [W],building1_htg_clg:P_hp_clg [W],building1_htg_clg:P_hp_tot [W],building1_htg_clg:P_pump [W],building1_htg_clg:Q_src_clg [W],building1_htg_clg:Q_src_htg [W],building1_htg_clg:Q_src_het [W],building1_dhw:EFT [C],building1_dhw:ExFT [C],building1_dhw:Q_htg [W],building1_dhw:Q_clg [W],building1_dhw:Q_net [W],building1_dhw:M_flow [kg/s],building1_dhw:P_hp_htg [W],building1_dhw:P_hp_clg [W],building1_dhw:P_hp_tot [W],building1_dhw:P_pump [W],building1_dhw:Q_src_clg [W],building1_dhw:Q_src_htg [W],building1_dhw:Q_src_het [W],building2_htg_clg:EFT [C],building2_htg_clg:ExFT [C],building2_htg_clg:Q_htg [W],building2_htg_clg:Q_clg [W],building2_htg_clg:Q_net [W],building2_htg_clg:M_flow [kg/s],building2_htg_clg:P_hp_htg [W],building2_htg_clg:P_hp_clg [W],building2_htg_clg:P_hp_tot [W],building2_htg_clg:P_pump [W],building2_htg_clg:Q_src_clg [W],building2_htg_clg:Q_src_htg [W],building2_htg_clg:Q_src_het [W],building2_dhw:EFT [C],building2_dhw:ExFT [C],building2_dhw:Q_htg [W],building2_dhw:Q_clg [W],building2_dhw:Q_net [W],building2_dhw:M_flow [kg/s],building2_dhw:P_hp_htg [W],building2_dhw:P_hp_clg [W],building2_dhw:P_hp_tot [W],building2_dhw:P_pump [W],building2_dhw:Q_src_clg [W],building2_dhw:Q_src_htg [W],building2_dhw:Q_src_het [W],building3_htg_clg:EFT [C],building3_htg_clg:ExFT [C],building3_htg_clg:Q_htg [W],building3_htg_clg:Q_clg [W],building3_htg_clg:Q_net [W],building3_htg_clg:M_flow [kg/s],building3_htg_clg:P_hp_htg [W],building3_htg_clg:P_hp_clg [W],building3_htg_clg:P_hp_tot [W],building3_htg_clg:P_pump [W],building3_htg_clg:Q_src_clg [W],building3_htg_clg:Q_src_htg [W],building3_htg_clg:Q_src_het [W],building3_dhw:EFT [C],building3_dhw:ExFT [C],building3_dhw:Q_htg [W],building3_dhw:Q_clg [W],building3_dhw:Q_net [W],building3_dhw:M_flow [kg/s],building3_dhw:P_hp_htg [W],building3_dhw:P_hp_clg [W],building3_dhw:P_hp_tot [W],building3_dhw:P_pump [W],building3_dhw:Q_src_clg [W],building3_dhw:Q_src_htg [W],building3_dhw:Q_src_het [W],ghe1:EFT [C],ghe1:ExFT [C],ghe1:ExFT Mixed Loop [C],ghe1:MFT [C],ghe1:Q [W/m],ghe1:Q_tot [W],ghe2:EFT [C],ghe2:ExFT [C],ghe2:ExFT Mixed Loop [C],ghe2:MFT [C],ghe2:Q [W/m],ghe2:Q_tot [W],ghe3:EFT [C],ghe3:ExFT [C],ghe3:ExFT Mixed Loop [C],ghe3:MFT [C],ghe3:Q [W/m],ghe3:Q_tot [W],Network:M_flow [kg/s],Network:P_pump [W],Network:Q_net_bldg [W],Network:Q_net_ghe [W]
1.0000,6.3143,3.3932,112007.9000,4691.8000,107316.1000,7.1290,26335.8004,661.8206,26997.6211,348.1677,5353.6206,85672.0996,80318.4789,6.3143,1.8314,15489.4000,0.0000,15489.4000,0.6466,4309.3572,0.0000,4309.3572,31.5790,0.0000,11180.0428,11180.0428,6.3143,3.2364,102058.4000,0.0000,102058.4000,6.5759,23993.9123,0.0000,23993.9123,321.1567,0.0000,78064.4877,78064.4877,6.3143,1.8314,413.1000,0.0000,413.1000,0.0172,114.9299,0.0000,114.9299,0.8422,0.0000,298.1701,298.1701,6.3143,3.2189,19638.0000,0.0000,19638.0000,1.2611,4582.1189,0.0000,4582.1189,61.5883,0.0000,15055.8811,15055.8811,6.3143,1.8314,1744.9000,0.0000,1744.9000,0.0728,485.4544,0.0000,485.4544,3.5574,0.0000,1259.4456,1259.4456,3.2403,6.3143,3.2403,4.7773,-9.3089,-139632.8841,3.2403,6.3142,6.3143,4.7772,-9.3086,-74469.1260,3.2403,6.3144,6.3143,4.7773,-9.3091,-65164.0496,23.5540,1840.5391,246659.9000,-279266.0597
2.0000,5.9656,3.0154,111852.6000,4330.6000,107522.0000,7.0694,26473.3818,607.3251,27080.7069,345.2583,4937.9251,85379.2182,80441.2931,5.9656,1.4736,15502.8000,0.0000,15502.8000,0.6445,4336.6280,0.0000,4336.6280,31.4756,0.0000,11166.1720,11166.1720,5.9656,2.8802,110479.9000,0.0000,110479.9000,7.0869,26144.2382,0.0000,26144.2382,346.1108,0.0000,84335.6618,84335.6618,5.9656,1.4736,400.6000,0.0000,400.6000,0.0167,112.0606,0.0000,112.0606,0.8133,0.0000,288.5394,288.5394,5.9656,2.8622,18991.3000,0.0000,18991.3000,1.2141,4458.6029,0.0000,4458.6029,59.2951,0.0000,14532.6971,14532.6971,5.9656,1.4736,986.4000,0.0000,986.4000,0.0410,275.9276,0.0000,275.9276,2.0027,0.0000,710.4724,710.4724,2.8769,5.9656,2.8769,4.4213,-9.5739,-143607.7927,2.8769,5.9656,5.9656,4.4212,-9.5737,-76589.5862,2.8769,5.9657,5.9656,4.4213,-9.5741,-67018.4129,24.1088,1883.8940,253883.0000,-287215.7919
3.0000,5.7915,2.8428,113448.9000,3979.4000,109469.5000,7.2076,26940.1441,556.4816,27496.6257,352.0058,4535.8816,86508.7559,81972.8743,5.7915,1.3344,15495.6000,0.0000,15495.6000,0.6486,4346.4549,0.0000,4346.4549,31.6742,0.0000,11149.1451,11149.1451,5.7915,2.7315,101812.8000,0.0000,101812.8000,6.5785,24172.4241,0.0000,24172.4241,321.2837,0.0000,77640.3759,77640.3759,5.7915,1.3344,414.4000,0.0000,414.4000,0.0173,116.2376,0.0000,116.2376,0.8471,0.0000,298.1624,298.1624,5.7915,2.7135,20681.2000,0.0000,20681.2000,1.3318,4870.3641,0.0000,4870.3641,65.0423,0.0000,15810.8359,15810.8359,5.7915,1.3344,417.6000,0.0000,417.6000,0.0175,117.1352,0.0000,117.1352,0.8536,0.0000,300.4648,300.4648,2.7203,5.7915,2.7203,4.2559,-9.3586,-140379.2516,2.7203,5.7914,5.7915,4.2559,-9.3585,-74868.0733,2.7203,5.7915,5.7915,4.2559,-9.3588,-65511.3220,23.7018,1852.0959,248291.1000,-280758.6469
4.0000,5.5924,2.6371,114970.4000,3660.8000,111309.6000,7.3162,27405.0785,510.2827,27915.3612,357.3097,4171.0827,87565.3215,83394.2388,5.5924,1.1559,15487.4000,0.0000,15487.4000,0.6504,4357.7505,0.0000,4357.7505,31.7653,0.0000,11129.6495,11129.6495,5.5924,2.5472,111368.0000,0.0000,111368.0000,7.2222,26540.6729,0.0000,26540.6729,352.7202,0.0000,84827.3271,84827.3271,5.5924,1.1559,401.3000,0.0000,401.3000,0.0169,112.9154,0.0000,112.9154,0.8231,0.0000,288.3846,288.3846,5.5924,2.5290,21482.5000,0.0000,21482.5000,1.3884,5077.0102,0.0000,5077.0102,67.8094,0.0000,16405.4898,16405.4898,5.5924,1.1559,417.6000,0.0000,417.6000,0.0175,117.5017,0.0000,117.5017,0.8565,0.0000,300.0983,300.0983,2.5279,5.5924,2.5279,4.0602,-9.8173,-147259.4133,2.5279,5.5924,5.5924,4.0602,-9.8172,-78537.5717,2.5279,5.5925,5.5924,4.0602,-9.8174,-68721.9720,24.9174,1947.0820,260466.4000,-294518.9570
5.0000,5.5130,2.6259,115343.1000,4600.9000,110742.2000,7.4147,27535.5908,640.5090,28176.0998,362.1227,5241.4090,87807.5092,82566.1002,5.5130,1.0960,15493.8000,0.0000,15493.8000,0.6532,4365.0000,0.0000,4365.0000,31.9030,0.0000,11128.8000,11128.8000,5.5130,2.4819,102630.6000,0.0000,102630.6000,6.6835,24495.2456,0.0000,24495.2456,326.4096,0.0000,78135.3544,78135.3544,5.5130,1.0960,413.1000,0.0000,413.1000,0.0174,116.3808,0.0000,116.3808,0.8506,0.0000,296.7192,296.7192,5.5130,2.4637,21221.6000,0.0000,21221.6000,1.3773,5022.4564,0.0000,5022.4564,67.2668,0.0000,16199.1436,16199.1436,5.5130,1.0960,986.4000,0.0000,986.4000,0.0416,277.8941,0.0000,277.8941,2.0311,0.0000,708.5059,708.5059,2.4853,5.5130,2.4853,3.9992,-9.4517,-141776.0089,2.4853,5.5130,5.5130,3.9992,-9.4517,-75613.2776,2.4853,5.5130,5.5130,3.9992,-9.4518,-66162.8302,24.2816,1897.4011,251487.7000,-283552.1167
6.0000,5.3698,2.4936,115987.1000,4680.8000,111306.3000,7.4719,27765.1147,650.1524,28415.2671,364.9171,5330.9524,88221.9853,82891.0329,5.3698,0.9636,15503.3000,0.0000,15503.3000,0.6547,4377.5317,0.0000,4377.5317,31.9726,0.0000,11125.7683,11125.7683,5.3698,2.3464,112261.5000,0.0000,112261.5000,7.3229,26866.7660,0.0000,26866.7660,357.6379,0.0000,85394.7340,85394.7340,5.3698,0.9636,553.3000,0.0000,553.3000,0.0234,156.2305,0.0000,156.2305,1.1411,0.0000,397.0695,397.0695,5.3698,2.3280,20178.7000,0.0000,20178.7000,1.3118,4787.8554,0.0000,4787.8554,64.0684,0.0000,15390.8446,15390.8446,5.3698,0.9636,5347.5000,0.0000,5347.5000,0.2258,1509.9270,0.0000,1509.9270,11.0282,0.0000,3837.5730,3837.5730,2.3362,5.3698,2.3362,3.8530,-9.9519,-149278.0222,2.3362,5.3698,5.3698,3.8530,-9.9518,-79614.2791,2.3362,5.3699,5.3698,3.8530,-9.9520,-69663.8541,25.5158,1993.8368,265150.6000,-298556.1554
7.0000,5.1359,2.7305,139565.0000,15868.2000,123696.8000,9.4789,33559.0769,2196.0009,35755.0777,462.9329,18064.2009,106005.9231,87941.7223,5.1359,0.7486,15502.3000,0.0000,15502.3000,0.6565,4393.4325,0.0000,4393.4325,32.0613,0.0000,11108.8675,11108.8675,5.1359,2.1259,103352.7000,0.0000,103352.7000,6.7622,24845.0156,0.0000,24845.0156,330.2531,0.0000,78507.6844,78507.6844,5.1359,0.7486,417.7000,0.0000,417.7000,0.0177,118.3784,0.0000,118.3784,0.8639,0.0000,299.3216,299.3216,5.1359,2.1073,18311.9000,0.0000,18311.9000,1.1941,4363.1411,0.0000,4363.1411,58.3174,0.0000,13948.7589,13948.7589,5.1359,0.7486,18051.5000,0.0000,18051.5000,0.7644,5115.8890,0.0000,5115.8890,37.3335,0.0000,12935.6110,12935.6110,2.3234,5.1359,2.3234,3.7297,-10.2372,-153557.3597,2.3234,5.1359,5.1359,3.7296,-10.2371,-81896.5775,2.3234,5.1360,5.1359,3.7297,-10.2373,-71660.8958,28.3106,2212.2291,279332.9000,-307114.8330
8.0000,5.1198,3.2192,111259.5000,22487.2000,88772.3000,8.0348,26761.1803,3111.2239,29872.4041,392.4076,25598.4239,84498.3197,58899.8959,5.1198,0.7533,15489.8000,0.0000,15489.8000,0.6590,4391.0124,0.0000,4391.0124,32.1851,0.0000,11098.7876,11098.7876,5.1198,2.1249,112729.0000,0.0000,112729.0000,7.4123,27107.3513,0.0000,27107.3513,362.0032,0.0000,85621.6487,85621.6487,5.1198,0.7533,400.6000,0.0000,400.6000,0.0170,113.5612,0.0000,113.5612,0.8324,0.0000,287.0388,287.0388,5.1198,2.1064,17271.6000,0.0000,17271.6000,1.1319,4116.4649,0.0000,4116.4649,55.2781,0.0000,13155.1351,13155.1351,5.1198,0.7533,19189.2000,0.0000,19189.2000,0.8164,5439.7097,0.0000,5439.7097,39.8718,0.0000,13749.4903,13749.4903,2.4970,5.1198,2.4970,3.8084,-9.1406,-137108.9710,2.4970,5.1197,5.1198,3.8084,-9.1406,-73124.4166,2.4970,5.1198,5.1198,3.8084,-9.1407,-63984.6158,27.1071,2118.1879,253852.5000,-274218.0034
9.0000,5.1742,3.3151,105891.5000,22245.2000,83646.3000,7.6874,25443.4811,3080.3433,28523.8245,375.4390,25325.5433,80448.0189,55122.4755,5.1742,0.8076,20582.1000,0.0000,20582.1000,0.8759,5829.5531,0.0000,5829.5531,42.7799,0.0000,14752.5469,14752.5469,5.1742,2.1793,98884.5000,0.0000,98884.5000,6.5042,23753.5910,0.0000,23753.5910,317.6539,0.0000,75130.9090,75130.9090,5.1742,0.8076,414.4000,0.0000,414.4000,0.0176,117.3722,0.0000,117.3722,0.8613,0.0000,297.0278,297.0278,5.1742,2.1609,16408.2000,0.0000,16408.2000,1.0756,3906.8725,0.0000,3906.8725,52.5328,0.0000,12501.3275,12501.3275,5.1742,0.8076,18430.7000,0.0000,18430.7000,0.7844,5220.2032,0.0000,5220.2032,38.3082,0.0000,13210.4968,13210.4968,2.5576,5.1742,2.5576,3.8659,-8.5507,-128261.1128,2.5576,5.1742,5.1742,3.8659,-8.5507,-68405.6668,2.5576,5.1742,5.1742,3.8659,-8.5508,-59855.4893,25.4178,1986.1806,238366.2000,-256522.2688
10.0000,5.2104,3.7706,89432.9000,26393.3000,63039.6000,6.8261,21473.9160,3656.8054,25130.7215,333.3765,30050.1054,67958.9840,37908.8785,5.2104,0.8381,25656.0000,0.0000,25656.0000,1.0907,7262.4966,0.0000,7262.4966,53.2680,0.0000,18393.5034,18393.5034,5.2104,2.2115,99330.9000,0.0000,99330.9000,6.5260,23844.3530,0.0000,23844.3530,318.7196,0.0000,75486.5470,75486.5470,5.2104,0.8381,401.3000,0.0000,401.3000,0.0171,113.5968,0.0000,113.5968,0.8332,0.0000,287.7032,287.7032,5.2104,2.1931,15507.2000,0.0000,15507.2000,1.0154,3689.9430,0.0000,3689.9430,49.5907,0.0000,11817.2570,11817.2570,5.2104,0.8381,16155.4000,0.0000,16155.4000,0.6868,4573.1422,0.0000,4573.1422,33.5425,0.0000,11582.2578,11582.2578,2.7163,5.2104,2.7163,3.9634,-7.7738,-116607.1185,2.7163,5.2104,5.2104,3.9634,-7.7738,-62190.3207,2.7163,5.2104,5.2104,3.9634,-7.7738,-54416.8215,24.2431,1894.3934,220090.4000,-233214.2607
