Time,building1_htg_clg:EFT [C],building1_htg_clg:ExFT [C],building1_htg_clg:Q_htg [W],building1_htg_clg:Q_clg [W],building1_htg_clg:Q_net [W],building1_htg_clg:M_flow [kg/s],building1_htg_clg:P_hp_htg [W],building1_htg_clg:P_hp_clg [W],building1_htg_clg:P_hp_tot [W],building1_htg_clg:P_pump [W],building1_htg_clg:Q_src_clg [W],building1_htg_clg:Q_src_htg [W],building1_htg_clg:Q_src_het [W],building1_dhw:EFT [C],building1_dhw:ExFT [C],building1_dhw:Q_htg [W],building1_dhw:Q_clg [W],building1_dhw:Q_net [W],building1_dhw:M_flow [kg/s],building1_dhw:P_hp_htg [W],building1_dhw:P_hp_clg [W],building1_dhw:P_hp_tot [W],building1_dhw:P_pump [W],building1_dhw:Q_src_clg [W],building1_dhw:Q_src_htg [W],building1_dhw:Q_src_het [W],building2_htg_clg:EFT [C],building2_htg_clg:ExFT [C],building2_htg_clg:Q_htg [W],building2_htg_clg:Q_clg [W],building2_htg_clg:Q_net [W],building2_htg_clg:M_flow [kg/s],building2_htg_clg:P_hp_htg [W],building2_htg_clg:P_hp_clg [W],building2_htg_clg:P_hp_tot [W],building2_htg_clg:P_pump [W],building2_htg_clg:Q_src_clg [W],building2_htg_clg:Q_src_htg [W],building2_htg_clg:Q_src_het [W],building2_dhw:EFT [C],building2_dhw:ExFT [C],building2_dhw:Q_htg [W],building2_dhw:Q_clg [W],building2_dhw:Q_net [W],building2_dhw:M_flow [kg/s],building2_dhw:P_hp_htg [W],building2_dhw:P_hp_clg [W],building2_dhw:P_hp_tot [W],building2_dhw:P_pump [W],building2_dhw:Q_src_clg [W],building2_dhw:Q_src_htg [W],building2_dhw:Q_src_het [W],building3_htg_clg:EFT [C],building3_htg_clg:ExFT [C],building3_htg_clg:Q_htg [W],building3_htg_clg:Q_clg [W],building3_htg_clg:Q_net [W],building3_htg_clg:M_flow [kg/s],building3_htg_clg:P_hp_htg [W],building3_htg_clg:P_hp_clg [W],building3_htg_clg:P_hp_tot [W],building3_htg_clg:P_pump [W],building3_htg_clg:Q_src_clg [W],building3_htg_clg:Q_src_htg [W],building3_htg_clg:Q_src_het [W],building3_dhw:EFT [C],building3_dhw:ExFT [C],building3_dhw:Q_htg [W],building3_dhw:Q_clg [W],building3_dhw:Q_net [W],building3_dhw:M_flow [kg/s],building3_dhw:P_hp_htg [W],building3_dhw:P_hp_clg [W],building3_dhw:P_hp_tot [W],building3_dhw:P_pump [W],building3_dhw:Q_src_clg [W],building3_dhw:Q_src_htg [W],building3_dhw:Q_src_het [W],ghe1:EFT [C],ghe1:ExFT [C],ghe1:ExFT Mixed Loop [C],ghe1:MFT [C],ghe1:Q [W/m],ghe1:Q_tot [W],ghe2:EFT [C],ghe2:ExFT [C],ghe2:ExFT Mixed Loop [C],ghe2:MFT [C],ghe2:Q [W/m],ghe2:Q_tot [W],ghe3:EFT [C],ghe3:ExFT [C],ghe3:ExFT Mixed Loop [C],ghe3:MFT [C],ghe3:Q [W/m],ghe3:Q_tot [W],Network:M_flow [kg/s],Network:P_pump [W],Network:Q_net_bldg [W],Network:Q_net_ghe [W]
0.0000,6.1000,6.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1000,6.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1000,6.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1000,6.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1000,6.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1000,6.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1000,6.1000,6.1000,6.1000,0.0000,0.0000,6.1000,6.1000,6.1000,6.1000,0.0000,0.0000,6.1000,6.1000,6.1000,6.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,5.4330,4.5537,112007.9000,4691.8000,107316.1000,7.1290,26780.2130,652.3329,27432.5459,348.1677,5344.1329,85227.6870,79883.5541,4.5537,4.4319,15489.4000,0.0000,15489.4000,0.6466,4430.4764,0.0000,4430.4764,31.5790,0.0000,11058.9236,11058.9236,4.4319,3.5820,102058.4000,0.0000,102058.4000,6.5759,24867.1151,0.0000,24867.1151,321.1567,0.0000,77191.2849,77191.2849,3.5820,3.5788,413.1000,0.0000,413.1000,0.0172,120.0094,0.0000,120.0094,0.8422,0.0000,293.0906,293.0906,3.5788,3.4155,19638.0000,0.0000,19638.0000,1.2611,4812.9670,0.0000,4812.9670,61.5883,0.0000,14825.0330,14825.0330,3.4155,3.4019,1744.9000,0.0000,1744.9000,0.0728,508.2682,0.0000,508.2682,3.5574,0.0000,1236.6318,1236.6318,3.4019,6.3022,4.8520,4.8520,-8.7828,-131742.0569,4.8520,6.1935,5.2097,5.5228,-4.0623,-32498.1151,5.2097,6.1667,5.4330,5.6882,-2.8980,-20286.0811,23.5540,1840.5391,246659.9000,-184526.2531
2.0000,5.2193,4.3856,111852.6000,4330.6000,107522.0000,7.2104,26852.5947,600.0900,27452.6847,352.1446,4930.6900,85000.0053,80069.3153,4.3856,4.2705,15502.8000,0.0000,15502.8000,0.6674,4446.1872,0.0000,4446.1872,32.5930,0.0000,11056.6128,11056.6128,4.2705,3.4013,110479.9000,0.0000,110479.9000,7.3745,27003.0047,0.0000,27003.0047,360.1597,0.0000,83476.8953,83476.8953,3.4013,3.3984,400.6000,0.0000,400.6000,0.0176,116.7166,0.0000,116.7166,0.8593,0.0000,283.8834,283.8834,3.3984,3.2492,18991.3000,0.0000,18991.3000,1.2872,4669.8751,0.0000,4669.8751,62.8628,0.0000,14321.4249,14321.4249,3.2492,3.2420,986.4000,0.0000,986.4000,0.0435,288.0965,0.0000,288.0965,2.1234,0.0000,698.3035,698.3035,3.2420,5.9204,4.5812,4.5812,-8.5749,-128623.1938,4.5812,6.0262,4.9665,5.3037,-4.6261,-37008.7754,4.9665,6.0498,5.2193,5.5082,-3.4679,-24275.1475,24.9008,1945.7827,253883.0000,-189907.1167
3.0000,5.1177,4.2502,113448.9000,3979.4000,109469.5000,7.3304,27288.8535,550.5539,27839.4074,358.0072,4529.9539,86160.0465,81630.0926,4.2502,4.1328,15495.6000,0.0000,15495.6000,0.6693,4453.7259,0.0000,4453.7259,32.6899,0.0000,11041.8741,11041.8741,4.1328,3.3160,101812.8000,0.0000,101812.8000,6.8197,24950.9109,0.0000,24950.9109,333.0623,0.0000,76861.8891,76861.8891,3.3160,3.3128,414.4000,0.0000,414.4000,0.0183,120.9033,0.0000,120.9033,0.8923,0.0000,293.4967,293.4967,3.3128,3.1472,20681.2000,0.0000,20681.2000,1.4073,5093.3968,0.0000,5093.3968,68.7290,0.0000,15587.8032,15587.8032,3.1472,3.1440,417.6000,0.0000,417.6000,0.0185,122.1687,0.0000,122.1687,0.9021,0.0000,295.4313,295.4313,3.1440,5.7733,4.4587,4.4587,-8.2464,-123696.5513,4.4587,5.9407,4.8539,5.1997,-4.6484,-37187.5592,4.8539,5.9847,5.1177,5.4193,-3.5467,-24826.7436,24.3952,1906.2787,248291.1000,-185710.8541
4.0000,4.9971,4.1565,114970.4000,3660.8000,111309.6000,7.4294,27718.8783,505.5342,28224.4125,362.8403,4166.3342,87251.5217,83085.1875,4.1565,4.0449,15487.4000,0.0000,15487.4000,0.6709,4458.0315,0.0000,4458.0315,32.7636,0.0000,11029.3685,11029.3685,4.0449,3.1947,111368.0000,0.0000,111368.0000,7.4819,27339.0714,0.0000,27339.0714,365.4059,0.0000,84028.9286,84028.9286,3.1947,3.1918,401.3000,0.0000,401.3000,0.0177,117.3103,0.0000,117.3103,0.8657,0.0000,283.9897,283.9897,3.1918,3.0281,21482.5000,0.0000,21482.5000,1.4646,5302.5149,0.0000,5302.5149,71.5268,0.0000,16179.9851,16179.9851,3.0281,3.0251,417.6000,0.0000,417.6000,0.0185,122.4037,0.0000,122.4037,0.9041,0.0000,295.1963,295.1963,3.0251,5.6029,4.3140,4.3140,-8.4925,-127386.9290,4.3140,5.8389,4.7206,5.0764,-5.0236,-40189.1788,4.7206,5.9056,4.9971,5.3131,-3.9038,-27326.7705,25.6245,2002.3354,260466.4000,-194902.8783
5.0000,4.9567,4.1005,115343.1000,4600.9000,110742.2000,7.5158,27830.3098,634.9631,28465.2729,367.0579,5235.8631,87512.7902,82276.9271,4.1005,3.9857,15493.8000,0.0000,15493.8000,0.6724,4463.8626,0.0000,4463.8626,32.8405,0.0000,11029.9374,11029.9374,3.9857,3.1802,102630.6000,0.0000,102630.6000,6.9081,25223.0737,0.0000,25223.0737,337.3801,0.0000,77407.5263,77407.5263,3.1802,3.1771,413.1000,0.0000,413.1000,0.0183,120.7880,0.0000,120.7880,0.8934,0.0000,292.3120,292.3120,3.1771,3.0108,21221.6000,0.0000,21221.6000,1.4507,5239.5309,0.0000,5239.5309,70.8476,0.0000,15982.0691,15982.0691,3.0108,3.0035,986.4000,0.0000,986.4000,0.0438,289.2068,0.0000,289.2068,2.1410,0.0000,697.1932,697.1932,3.0035,5.5435,4.2735,4.2735,-8.1358,-122036.8993,4.2735,5.7945,4.6791,5.0340,-4.8718,-38974.2592,4.6791,5.8688,4.9567,5.2740,-3.8107,-26674.8522,24.9136,1946.7851,251487.7000,-187686.0107
6.0000,4.8661,4.0476,115987.1000,4680.8000,111306.3000,7.5672,28034.4526,645.0984,28679.5510,369.5679,5325.8984,87952.6474,82626.7490,4.0476,3.9384,15503.3000,0.0000,15503.3000,0.6736,4470.3743,0.0000,4470.3743,32.8986,0.0000,11032.9257,11032.9257,3.9384,3.0999,112261.5000,0.0000,112261.5000,7.5661,27615.3648,0.0000,27615.3648,369.5140,0.0000,84646.1352,84646.1352,3.0999,3.0960,553.3000,0.0000,553.3000,0.0245,161.9913,0.0000,161.9913,1.1970,0.0000,391.3087,391.3087,3.0960,2.9455,20178.7000,0.0000,20178.7000,1.3798,4989.4809,0.0000,4989.4809,67.3878,0.0000,15189.2191,15189.2191,2.9455,2.9081,5347.5000,0.0000,5347.5000,0.2377,1569.5105,0.0000,1569.5105,11.6109,0.0000,3777.9895,3777.9895,2.9081,5.4245,4.1663,4.1663,-8.4676,-127014.3202,4.1663,5.7173,4.5799,4.9418,-5.2191,-41752.4520,4.5799,5.8067,4.8661,5.1933,-4.1282,-28897.6598,26.1734,2045.2229,265150.6000,-197664.4321
7.0000,4.7775,3.9921,139565.0000,15868.2000,123696.8000,9.5820,33790.8677,2183.9913,35974.8590,467.9715,18052.1913,105774.1323,87721.9410,3.9921,3.8934,15502.3000,0.0000,15502.3000,0.6743,4474.0578,0.0000,4474.0578,32.9325,0.0000,11028.2422,11028.2422,3.8934,3.1959,103352.7000,0.0000,103352.7000,6.9728,25446.0767,0.0000,25446.0767,340.5403,0.0000,77906.6233,77906.6233,3.1959,3.1932,417.7000,0.0000,417.7000,0.0185,122.1021,0.0000,122.1021,0.9052,0.0000,295.5979,295.5979,3.1932,3.0697,18311.9000,0.0000,18311.9000,1.2544,4519.7998,0.0000,4519.7998,61.2637,0.0000,13792.1002,13792.1002,3.0697,2.9555,18051.5000,0.0000,18051.5000,0.8037,5287.5626,0.0000,5287.5626,39.2497,0.0000,12763.9374,12763.9374,2.9555,5.2380,4.0967,4.0967,-8.4981,-127471.0005,4.0967,5.5918,4.4954,4.8442,-5.5662,-44529.9049,4.4954,5.7043,4.7775,5.0999,-4.5011,-31507.6755,28.9587,2262.8709,279332.9000,-203508.5808
8.0000,4.8146,4.2636,111259.5000,22487.2000,88772.3000,8.0930,26918.4332,3096.7212,30015.1544,395.2499,25583.9212,84341.0668,58757.1456,4.2636,4.1600,15489.8000,0.0000,15489.8000,0.6745,4451.1082,0.0000,4451.1082,32.9439,0.0000,11038.6918,11038.6918,4.1600,3.3618,112729.0000,0.0000,112729.0000,7.6128,27611.5691,0.0000,27611.5691,371.7980,0.0000,85117.4309,85117.4309,3.3618,3.3591,400.6000,0.0000,400.6000,0.0177,116.7908,0.0000,116.7908,0.8664,0.0000,283.8092,283.8092,3.3591,3.2370,17271.6000,0.0000,17271.6000,1.1806,4250.0635,0.0000,4250.0635,57.6588,0.0000,13021.5365,13021.5365,3.2370,3.1096,19189.2000,0.0000,19189.2000,0.8520,5605.6673,0.0000,5605.6673,41.6125,0.0000,13583.5327,13583.5327,3.1096,5.2382,4.1739,4.1739,-7.5656,-113483.7723,4.1739,5.5781,4.5483,4.8760,-4.9910,-39927.9731,4.5483,5.6894,4.8146,5.1189,-4.0559,-28391.1803,27.6462,2160.3108,253852.5000,-181802.9256
9.0000,4.8491,4.2971,105891.5000,22245.2000,83646.3000,7.7344,25602.7023,3064.9956,28667.6979,377.7378,25310.1956,80288.7977,54978.6021,4.2971,4.1498,20582.1000,0.0000,20582.1000,0.8913,5911.2551,0.0000,5911.2551,43.5294,0.0000,14670.8449,14670.8449,4.1498,3.4003,98884.5000,0.0000,98884.5000,6.6394,24225.3183,0.0000,24225.3183,324.2557,0.0000,74659.1817,74659.1817,3.4003,3.3973,414.4000,0.0000,414.4000,0.0183,120.7393,0.0000,120.7393,0.8931,0.0000,293.6607,293.6607,3.3973,3.2731,16408.2000,0.0000,16408.2000,1.1175,4034.7784,0.0000,4034.7784,54.5759,0.0000,12373.4216,12373.4216,3.2731,3.1421,18430.7000,0.0000,18430.7000,0.8155,5380.9607,0.0000,5380.9607,39.8253,0.0000,13049.7393,13049.7393,3.1421,5.2935,4.2178,4.2178,-7.1432,-107148.0422,4.2178,5.6047,4.5876,4.9112,-4.6046,-36836.8872,4.5876,5.7081,4.8491,5.1479,-3.7201,-26040.5379,25.8245,2017.9613,238366.2000,-170025.4673
