Time,building1_htg_clg:EFT [C],building1_htg_clg:ExFT [C],building1_htg_clg:Q_htg [W],building1_htg_clg:Q_clg [W],building1_htg_clg:Q_net [W],building1_htg_clg:M_flow [kg/s],building1_htg_clg:P_hp_htg [W],building1_htg_clg:P_hp_clg [W],building1_htg_clg:P_hp_tot [W],building1_htg_clg:P_pump [W],building1_htg_clg:Q_src_clg [W],building1_htg_clg:Q_src_htg [W],building1_htg_clg:Q_src_het [W],building1_dhw:EFT [C],building1_dhw:ExFT [C],building1_dhw:Q_htg [W],building1_dhw:Q_clg [W],building1_dhw:Q_net [W],building1_dhw:M_flow [kg/s],building1_dhw:P_hp_htg [W],building1_dhw:P_hp_clg [W],building1_dhw:P_hp_tot [W],building1_dhw:P_pump [W],building1_dhw:Q_src_clg [W],building1_dhw:Q_src_htg [W],building1_dhw:Q_src_het [W],building2_htg_clg:EFT [C],building2_htg_clg:ExFT [C],building2_htg_clg:Q_htg [W],building2_htg_clg:Q_clg [W],building2_htg_clg:Q_net [W],building2_htg_clg:M_flow [kg/s],building2_htg_clg:P_hp_htg [W],building2_htg_clg:P_hp_clg [W],building2_htg_clg:P_hp_tot [W],building2_htg_clg:P_pump [W],building2_htg_clg:Q_src_clg [W],building2_htg_clg:Q_src_htg [W],building2_htg_clg:Q_src_het [W],building2_dhw:EFT [C],building2_dhw:ExFT [C],building2_dhw:Q_htg [W],building2_dhw:Q_clg [W],building2_dhw:Q_net [W],building2_dhw:M_flow [kg/s],building2_dhw:P_hp_htg [W],building2_dhw:P_hp_clg [W],building2_dhw:P_hp_tot [W],building2_dhw:P_pump [W],building2_dhw:Q_src_clg [W],building2_dhw:Q_src_htg [W],building2_dhw:Q_src_het [W],building3_htg_clg:EFT [C],building3_htg_clg:ExFT [C],building3_htg_clg:Q_htg [W],building3_htg_clg:Q_clg [W],building3_htg_clg:Q_net [W],building3_htg_clg:M_flow [kg/s],building3_htg_clg:P_hp_htg [W],building3_htg_clg:P_hp_clg [W],building3_htg_clg:P_hp_tot [W],building3_htg_clg:P_pump [W],building3_htg_clg:Q_src_clg [W],building3_htg_clg:Q_src_htg [W],building3_htg_clg:Q_src_het [W],building3_dhw:EFT [C],building3_dhw:ExFT [C],building3_dhw:Q_htg [W],building3_dhw:Q_clg [W],building3_dhw:Q_net [W],building3_dhw:M_flow [kg/s],building3_dhw:P_hp_htg [W],building3_dhw:P_hp_clg [W],building3_dhw:P_hp_tot [W],building3_dhw:P_pump [W],building3_dhw:Q_src_clg [W],building3_dhw:Q_src_htg [W],building3_dhw:Q_src_het [W],ghe1:EFT [C],ghe1:ExFT [C],ghe1:ExFT Mixed Loop [C],ghe1:MFT [C],ghe1:Q [W/m],ghe1:Q_tot [W],ghe2:EFT [C],ghe2:ExFT [C],ghe2:ExFT Mixed Loop [C],ghe2:MFT [C],ghe2:Q [W/m],ghe2:Q_tot [W],ghe3:EFT [C],ghe3:ExFT [C],ghe3:ExFT Mixed Loop [C],ghe3:MFT [C],ghe3:Q [W/m],ghe3:Q_tot [W],Network:M_flow [kg/s],Network:P_pump [W],Network:Q_net_bldg [W],Network:Q_net_ghe [W]
0.0000,6.1000,6.1000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1000,6.1000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1000,6.1000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1000,6.1000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1000,6.1000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1000,6.1000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1000,6.1000,6.1000,6.1000,0.0000,0.0000,6.1000,6.1000,6.1000,6.1000,0.0000,0.0000,6.1000,6.1000,6.1000,6.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.2969,5.3545,5.2263,139565.0000,80538.2032,59026.7968,12.2442,33418.9833,11183.8717,44602.8550,597.9854,91722.0749,106146.0167,14423.9417,5.2263,5.0686,24767.8281,0.0000,24767.8281,1.0339,7009.3208,0.0000,7009.3208,50.4953,0.0000,17758.5073,17758.5073,5.0686,4.6559,65609.2807,2927.3366,62681.9440,4.3790,15792.1349,440.5376,16232.6725,213.8648,3367.8742,49817.1458,46449.2715,4.6559,4.6488,1122.1471,0.0000,1122.1471,0.0468,320.4499,0.0000,320.4499,2.2878,0.0000,801.6972,801.6972,4.6488,4.5100,20571.6236,5.0385,20566.5851,1.3213,4944.7005,0.7974,4945.4979,64.5299,5.8359,15626.9231,15621.0872,4.5100,4.4442,10372.4817,0.0000,10372.4817,0.4330,2968.9323,0.0000,2968.9323,21.1469,0.0000,7403.5494,7403.5494,4.4442,5.5819,5.0130,5.0130,-4.2691,-64036.6547,5.0130,5.7599,5.2122,5.3865,-2.8025,-22419.7801,5.2122,5.8222,5.3545,5.5172,-2.2890,-16023.2467,29.1874,2280.7441,178537.7829,-102479.6815
13.0000,5.3233,5.1976,139565.0000,80538.2032,59026.7968,12.3808,33438.9494,11178.3664,44617.3158,604.6576,91716.5696,106126.0506,14409.4810,5.1976,5.0426,24767.8281,0.0000,24767.8281,1.0518,7012.5046,0.0000,7012.5046,51.3705,0.0000,17755.3236,17755.3236,5.0426,4.6374,65609.2807,2927.3366,62681.9440,4.4715,15799.9572,440.4919,16240.4492,218.3824,3367.8286,49809.3234,46441.4949,4.6374,4.6304,1122.1471,0.0000,1122.1471,0.0482,320.5443,0.0000,320.5443,2.3543,0.0000,801.6028,801.6028,4.6304,4.5025,20571.6236,841.7000,19729.9236,1.4086,4946.3442,133.2028,5079.5470,68.7958,974.9028,15625.2794,14650.3766,4.5025,4.4379,10372.4817,0.0000,10372.4817,0.4469,2969.2851,0.0000,2969.2851,21.8265,0.0000,7403.1967,7403.1967,4.4379,5.5313,4.9846,4.9846,-4.1766,-62648.9045,4.9846,5.7221,5.1813,5.3534,-2.8172,-22537.7770,5.1813,5.7899,5.3233,5.4856,-2.3250,-16274.8170,29.7119,2321.7289,177701.1214,-101461.4985
16.3658,5.2844,5.1585,139565.0000,80538.2032,59026.7968,12.3866,33463.8531,11171.5291,44635.3822,604.9435,91709.7323,106101.1469,14391.4146,5.1585,5.0034,24767.8281,0.0000,24767.8281,1.0525,7016.8252,0.0000,7016.8252,51.4000,0.0000,17751.0030,17751.0030,5.0034,4.5975,65609.2807,2927.3366,62681.9440,4.4739,15811.8052,440.4236,16252.2288,218.4985,3367.7602,49797.4755,46429.7152,4.5975,4.5905,1122.1471,0.0000,1122.1471,0.0482,320.7476,0.0000,320.7476,2.3552,0.0000,801.3995,801.3995,4.5905,4.4539,20571.6236,5.0385,20566.5851,1.3630,4949.9102,0.7974,4950.7076,66.5690,5.8359,15621.7134,15615.8776,4.4539,4.3892,10372.4817,0.0000,10372.4817,0.4470,2971.5820,0.0000,2971.5820,21.8298,0.0000,7400.8998,7400.8998,4.3892,5.4891,4.9392,4.9392,-4.1937,-62905.9807,4.9392,5.6893,5.1392,5.3142,-2.8600,-22880.1948,5.1392,5.7613,5.2844,5.4503,-2.3720,-16604.1759,29.6569,2317.4304,178537.7829,-102390.3514
199.7537,5.8323,6.6822,35175.8189,80538.2032,-45362.3843,5.8230,8346.5532,11270.0065,19616.5596,284.3854,91808.2097,26829.2657,-64978.9440,6.6822,6.4478,24767.8281,0.0000,24767.8281,1.0533,6851.4417,0.0000,6851.4417,51.4400,0.0000,17916.3864,17916.3864,6.4478,5.8348,65609.2807,2927.3366,62681.9440,4.4775,15386.3015,443.5319,15829.8334,218.6744,3370.8686,50222.9792,46852.1106,5.8348,5.8242,1122.1471,0.0000,1122.1471,0.0483,314.5442,0.0000,314.5442,2.3571,0.0000,807.6029,807.6029,5.8242,5.6185,20571.6236,5.0385,20566.5851,1.3642,4841.7435,0.7986,4842.5421,66.6261,5.8371,15729.8801,15724.0430,5.6185,5.5210,10372.4817,0.0000,10372.4817,0.4474,2917.3498,0.0000,2917.3498,21.8515,0.0000,7455.1319,7455.1319,5.5210,5.9074,5.7142,5.7142,-0.9848,-14772.0017,5.7142,5.9717,5.7829,5.8430,-0.6562,-5249.5309,5.7829,5.9946,5.8323,5.8887,-0.5394,-3775.9100,19.8205,1548.8028,74148.6018,-23797.4427
210.2463,4.9060,5.3872,35175.8189,80538.2032,-45362.3843,5.8052,8495.5913,11106.3521,19601.9434,283.5175,91644.5554,26680.2276,-64964.3277,5.3872,5.2555,24767.8281,0.0000,24767.8281,1.0224,6991.5572,0.0000,6991.5572,49.9334,0.0000,17776.2709,17776.2709,5.2555,4.0004,227276.3000,2927.3366,224348.9634,14.6903,54510.7829,440.8782,54951.6611,717.4522,3368.2149,172765.5171,169397.3022,4.0004,3.9945,1122.1471,0.0000,1122.1471,0.0471,323.8156,0.0000,323.8156,2.2996,0.0000,798.3315,798.3315,3.9945,3.8791,20571.6236,5.0385,20566.5851,1.3289,5003.6878,0.7973,5004.4850,64.9031,5.8358,15567.9359,15562.1001,3.8791,3.8245,10372.4817,0.0000,10372.4817,0.4371,2998.9779,0.0000,2998.9779,21.3468,0.0000,7373.5038,7373.5038,3.8245,5.1218,4.4731,4.4731,-5.8370,-87555.2659,4.4731,5.4046,4.7215,4.9389,-4.1912,-33529.3163,4.7215,5.5122,4.9060,5.1169,-3.5575,-24902.8021,34.9966,2734.6865,235815.6211,-145987.3843
441.6276,5.8059,6.6552,35175.8189,80538.2032,-45362.3843,5.8358,8350.7417,11265.1504,19615.8921,285.0119,91803.3537,26825.0772,-64978.2764,6.6552,6.4210,24767.8281,0.0000,24767.8281,1.0485,6854.3156,0.0000,6854.3156,51.2063,0.0000,17913.5125,17913.5125,6.4210,5.8085,65609.2807,2927.3366,62681.9440,4.4545,15394.0093,443.4631,15837.4724,217.5495,3370.7997,50215.2714,46844.4717,5.8085,5.7979,1122.1471,0.0000,1122.1471,0.0489,314.6738,0.0000,314.6738,2.3862,0.0000,807.4733,807.4733,5.7979,5.5924,20571.6236,5.0385,20566.5851,1.3819,4844.0024,0.7986,4844.8010,67.4910,5.8371,15727.6212,15721.7842,5.5924,5.4949,10372.4817,0.0000,10372.4817,0.4528,2918.5484,0.0000,2918.5484,22.1122,0.0000,7453.9334,7453.9334,5.4949,5.8760,5.6855,5.6855,-0.9719,-14577.9636,5.6855,5.9467,5.7551,5.8161,-0.6662,-5329.4572,5.7551,5.9725,5.8059,5.8638,-0.5544,-3880.4634,19.8335,1549.8169,74148.6018,-23787.8842
448.3724,5.6651,6.4229,35175.8189,80538.2032,-45362.3843,5.8061,8373.1281,11239.4541,19612.5822,283.5583,91777.6574,26802.6908,-64974.9665,6.4229,6.2143,24767.8281,0.0000,24767.8281,1.0229,6879.0919,0.0000,6879.0919,49.9591,0.0000,17888.7363,17888.7363,6.2143,5.6686,65609.2807,2927.3366,62681.9440,4.3510,15453.6284,442.9467,15896.5751,212.4969,3370.2833,50155.6523,46785.3689,5.6686,5.6592,1122.1471,0.0000,1122.1471,0.0471,315.3651,0.0000,315.3651,2.3008,0.0000,806.7820,806.7820,5.6592,5.2243,48826.1000,5.0385,48821.0615,3.1555,11525.4730,0.7983,11526.2713,154.1118,5.8369,37300.6270,37294.7902,5.2243,5.1375,10372.4817,0.0000,10372.4817,0.4373,2935.5186,0.0000,2935.5186,21.3578,0.0000,7436.9631,7436.9631,5.1375,5.7999,5.4687,5.4687,-1.8931,-28396.5780,5.4687,5.8987,5.5834,5.6837,-1.2288,-9830.6817,5.5834,5.9338,5.6651,5.7586,-1.0016,-7011.0876,22.2300,1737.0834,102403.0782,-45238.3473
465.9618,5.7964,6.6584,35175.8189,80538.2032,-45362.3843,5.8105,8352.2461,11263.4099,19615.6561,283.7774,91801.6132,26823.5728,-64978.0404,6.6584,6.4208,24767.8281,0.0000,24767.8281,1.0275,6853.9674,0.0000,6853.9674,50.1816,0.0000,17913.8607,17913.8607,6.4208,5.7993,65609.2807,2927.3366,62681.9440,4.3690,15394.0628,443.4626,15837.5253,213.3757,3370.7992,50215.2179,46844.4187,5.7993,5.7886,1122.1471,0.0000,1122.1471,0.0472,314.7193,0.0000,314.7193,2.3071,0.0000,807.4279,807.4279,5.7886,5.5800,20571.6236,5.0385,20566.5851,1.3336,4844.8078,0.7985,4845.6064,65.1285,5.8371,15726.8158,15720.9788,5.5800,5.4811,10372.4817,0.0000,10372.4817,0.4405,2919.1150,0.0000,2919.1150,21.5142,0.0000,7453.3667,7453.3667,5.4811,5.8656,5.6734,5.6734,-0.9660,-14490.6124,5.6734,5.9399,5.7445,5.8067,-0.6697,-5357.7084,5.7445,5.9670,5.7964,5.8557,-0.5592,-3914.2932,19.5426,1527.0828,74148.6018,-23762.6140
467.7691,6.5193,8.5298,35175.8189,219744.9000,-184569.0811,12.0608,8238.7827,31105.2800,39344.0627,589.0289,250850.1800,26937.0362,-223913.1438,8.5298,8.3672,24767.8281,0.0000,24767.8281,1.0229,6660.2455,0.0000,6660.2455,49.9560,0.0000,18107.5826,18107.5826,8.3672,7.9415,65609.2807,2927.3366,62681.9440,4.3510,14854.1876,449.5523,15303.7398,212.4976,3376.8889,50755.0931,47378.2042,7.9415,7.9342,1122.1471,0.0000,1122.1471,0.0471,304.4610,0.0000,304.4610,2.3012,0.0000,817.6861,817.6861,7.9342,7.7914,20571.6236,5.0385,20566.5851,1.3299,4666.6262,0.8043,4667.4305,64.9517,5.8428,15904.9975,15899.1546,7.7914,7.7235,10372.4817,0.0000,10372.4817,0.4374,2820.7210,0.0000,2820.7210,21.3630,0.0000,7551.7607,7551.7607,7.7235,6.0651,6.8943,6.8943,6.1566,92349.3893,6.8943,6.0382,6.6660,6.4663,3.1780,25423.8273,6.6660,6.0373,6.5193,6.3517,2.3339,16337.0142,28.8738,2256.2363,-65058.0950,134110.2309
470.2309,6.9477,8.8075,35175.8189,219744.9000,-184569.0811,12.0629,8172.7858,31337.4789,39510.2647,589.1319,251082.3789,27003.0331,-224079.3458,8.8075,8.6570,24767.8281,0.0000,24767.8281,0.9880,6632.3940,0.0000,6632.3940,48.2543,0.0000,18135.4342,18135.4342,8.6570,8.6030,65609.2807,38418.4000,27190.8807,6.0368,14777.1418,5914.3191,20691.4609,294.8261,44332.7191,50832.1389,6499.4198,8.6030,8.5962,1122.1471,0.0000,1122.1471,0.0452,301.4196,0.0000,301.4196,2.2097,0.0000,820.7275,820.7275,8.5962,8.4638,20571.6236,5.0385,20566.5851,1.2726,4614.2497,0.8070,4615.0568,62.1507,5.8455,15957.3739,15951.5284,8.4638,8.4009,10372.4817,0.0000,10372.4817,0.4194,2792.0202,0.0000,2792.0202,20.4817,0.0000,7580.4615,7580.4615,8.4009,6.5187,7.4598,7.4598,7.5589,113382.8364,7.4598,6.3213,7.1562,6.8906,4.5722,36577.6904,7.1562,6.2625,6.9477,6.7094,3.5893,25124.9560,31.2374,2440.9307,-100549.1583,175085.4829
472.0382,6.8637,8.9095,35175.8189,219744.9000,-184569.0811,12.0652,8185.6568,31291.3034,39476.9602,589.2425,251036.2034,26990.1621,-224046.0413,8.9095,8.7438,24767.8281,0.0000,24767.8281,0.9831,6622.2174,0.0000,6622.2174,48.0148,0.0000,18145.6107,18145.6107,8.7438,8.3103,65609.2807,2927.3366,62681.9440,4.1654,14754.2155,450.9870,15205.2025,203.4320,3378.3236,50855.0652,47476.7416,8.3103,8.3028,1122.1471,0.0000,1122.1471,0.0447,302.7581,0.0000,302.7581,2.1834,0.0000,819.3890,819.3890,8.3028,8.1574,20571.6236,5.0385,20566.5851,1.2559,4637.3097,0.8058,4638.1154,61.3337,5.8443,15934.3140,15928.4697,8.1574,8.0883,10372.4817,0.0000,10372.4817,0.4143,2805.0287,0.0000,2805.0287,20.2324,0.0000,7567.4530,7567.4530,8.0883,6.5172,7.3028,7.3028,5.7349,86023.4769,7.3028,6.3305,7.0435,6.8166,3.5492,28393.7541,7.0435,6.2729,6.8637,6.6582,2.8130,19690.7314,28.3928,2218.6531,-65058.0950,134107.9624
731.1786,5.7984,6.6869,35175.8189,80538.2032,-45362.3843,5.7743,8351.9204,11263.7866,19615.7070,282.0064,91801.9899,26823.8985,-64978.0913,6.6869,6.4418,24767.8281,0.0000,24767.8281,0.9814,6850.9429,0.0000,6850.9429,47.9276,0.0000,17916.8852,17916.8852,6.4418,5.8007,65609.2807,2927.3366,62681.9440,4.1585,15388.0320,443.5164,15831.5484,203.0954,3370.8531,50221.2487,46850.3956,5.8007,5.7896,1122.1471,0.0000,1122.1471,0.0449,314.7125,0.0000,314.7125,2.1949,0.0000,807.4346,807.4346,5.7896,5.5745,20571.6236,5.0385,20566.5851,1.2632,4844.7192,0.7985,4845.5178,61.6931,5.8371,15726.9044,15721.0673,5.5745,5.4725,10372.4817,0.0000,10372.4817,0.4166,2919.3683,0.0000,2919.3683,20.3450,0.0000,7453.1134,7453.1134,5.4725,5.8735,5.6730,5.6730,-0.9774,-14661.1777,5.6730,5.9456,5.7457,5.8093,-0.6643,-5314.5370,5.7457,5.9717,5.7984,5.8587,-0.5510,-3856.8309,18.9583,1481.4299,74148.6018,-23832.5457
