Time,building1_htg_clg:EFT [C],building1_htg_clg:ExFT [C],building1_htg_clg:Q_htg [W],building1_htg_clg:Q_clg [W],building1_htg_clg:Q_net [W],building1_htg_clg:M_flow [kg/s],building1_htg_clg:P_hp_htg [W],building1_htg_clg:P_hp_clg [W],building1_htg_clg:P_hp_tot [W],building1_htg_clg:P_pump [W],building1_htg_clg:Q_src_clg [W],building1_htg_clg:Q_src_htg [W],building1_htg_clg:Q_src_het [W],building2_htg_clg:EFT [C],building2_htg_clg:ExFT [C],building2_htg_clg:Q_htg [W],building2_htg_clg:Q_clg [W],building2_htg_clg:Q_net [W],building2_htg_clg:M_flow [kg/s],building2_htg_clg:P_hp_htg [W],building2_htg_clg:P_hp_clg [W],building2_htg_clg:P_hp_tot [W],building2_htg_clg:P_pump [W],building2_htg_clg:Q_src_clg [W],building2_htg_clg:Q_src_htg [W],building2_htg_clg:Q_src_het [W],ghe1:EFT [C],ghe1:ExFT [C],ghe1:MFT [C],ghe1:Q [W/m],ghe1:Q_tot [W],hp_pir1:EFT [C],hp_pir1:ExFT [C],hp_pir1:MFT [C],hp_pir1:Q [W/m],hp_pir1:M_flow [kg/s],hp_pir2:EFT [C],hp_pir2:ExFT [C],hp_pir2:MFT [C],hp_pir2:Q [W/m],hp_pir2:M_flow [kg/s],hp_pir3:EFT [C],hp_pir3:ExFT [C],hp_pir3:MFT [C],hp_pir3:Q [W/m],hp_pir3:M_flow [kg/s],hp_por1:EFT [C],hp_por1:ExFT [C],hp_por1:MFT [C],hp_por1:Q [W/m],hp_por1:M_flow [kg/s],hp_por2:EFT [C],hp_por2:ExFT [C],hp_por2:MFT [C],hp_por2:Q [W/m],hp_por2:M_flow [kg/s],hp_por3:EFT [C],hp_por3:ExFT [C],hp_por3:MFT [C],hp_por3:Q [W/m],hp_por3:M_flow [kg/s],Network:M_flow [kg/s],Network:P_pump [W],Network:Q_net_bldg [W],Network:Q_net_ghe [W]
1.0000,15.0307,11.4744,86966.0000,4051.1000,82914.9000,-4.7153,17553.5888,686.3641,18239.9530,230.2888,4737.4641,69412.4112,64674.9470,15.2705,11.5053,66470.3000,0.0000,66470.3000,-3.6527,13428.3664,0.0000,13428.3664,178.3920,0.0000,53041.9336,53041.9336,11.5116,16.1217,13.8167,-2.2043,-148791.2514,15.2705,11.3010,13.2858,20.4402,-0.3542,16.1217,15.2705,15.6961,49.5275,-4.0069,16.1217,15.3336,15.7277,49.9083,4.3611,11.4744,11.6048,11.5396,-0.6325,0.3542,11.5141,11.5293,11.5217,-0.8488,4.0069,11.4744,11.4954,11.4849,-1.2924,-4.3611,0.1000,7.8141,149385.2000,-148791.2514
2.0000,15.4966,11.8989,87715.2000,3735.3000,83979.9000,-4.7394,17575.5266,640.1213,18215.6479,228.4472,4375.4213,70139.6734,65764.2521,15.6598,11.8894,70954.0000,0.0000,70954.0000,-3.8991,14252.4428,0.0000,14252.4428,187.1336,0.0000,56701.5572,56701.5572,11.8141,15.6522,13.7331,-1.8945,-127878.8547,15.6598,12.8205,14.2402,11.5775,-0.2801,15.6522,15.6598,15.6560,-0.4240,-4.1792,15.6522,15.6647,15.6584,-0.7750,4.4593,11.8989,11.4673,11.6831,1.7919,0.2801,11.8611,11.7993,11.8302,3.7835,4.1792,11.8989,11.8280,11.8634,4.6281,-4.4593,0.1000,7.8141,154933.9000,-127878.8547
3.0000,15.4630,11.8200,90227.9000,3372.7000,86855.2000,-4.8529,18088.4901,577.5047,18665.9948,231.9683,3950.2047,72139.4099,68189.2052,15.5724,11.8032,67845.6000,0.0000,67845.6000,-3.7283,13645.4714,0.0000,13645.4714,177.7016,0.0000,54200.1286,54200.1286,11.8133,15.5539,13.6836,-1.8342,-123806.9792,15.5724,14.1692,14.8708,7.6706,-0.3749,15.5539,15.5724,15.5631,-1.0601,-4.1032,15.5539,15.5714,15.5626,-1.0959,4.4781,11.8200,11.6740,11.7470,0.8319,0.3749,11.7914,11.7982,11.7948,-0.3669,4.1032,11.8200,11.8271,11.8236,-0.4209,-4.4781,0.1000,7.8141,154700.8000,-123806.9792
4.0000,15.4516,11.7722,91910.5000,3056.8000,88853.7000,-4.9255,18429.1010,523.2664,18952.3674,235.5537,3580.0664,73481.3990,69901.3326,15.4922,11.7241,75829.6000,0.0000,75829.6000,-4.1670,15269.1822,0.0000,15269.1822,198.9215,0.0000,60560.4178,60560.4178,11.7591,15.4778,13.6185,-1.9321,-130416.6136,15.4922,14.7170,15.1046,2.8817,-0.2528,15.4778,15.4922,15.4850,-0.8827,-4.4199,15.4778,15.4914,15.4846,-0.8815,4.6727,11.7722,11.7386,11.7554,0.1609,0.2528,11.7250,11.7367,11.7308,-0.7120,4.4199,11.7722,11.7803,11.7762,-0.5109,-4.6727,0.1000,7.8141,164683.3000,-130416.6136
5.0000,15.4149,11.8155,91984.3000,3886.8000,88097.5000,-4.9686,18454.4997,664.7465,19119.2462,237.7157,4551.5465,73529.8003,68978.2538,15.4424,11.6750,70193.3000,0.0000,70193.3000,-3.8573,14144.5895,0.0000,14144.5895,184.3983,0.0000,56048.7105,56048.7105,11.7519,15.4335,13.5927,-1.8567,-125327.0865,15.4424,15.0831,15.2627,1.9687,-0.3704,15.4335,15.4424,15.4379,-0.5079,-4.2277,15.4335,15.4416,15.4376,-0.5075,4.5982,11.8155,11.7499,11.7827,0.3902,0.3704,11.6816,11.6901,11.6858,-0.4826,4.2277,11.8155,11.8087,11.8121,0.4932,-4.5982,0.1000,7.8141,158290.8000,-125327.0865
6.0000,15.3810,11.7822,93034.3000,3932.6000,89101.7000,-5.0254,18675.0825,672.0192,19347.1017,240.5884,4604.6192,74359.2175,69754.5983,15.3901,11.6235,76208.7000,0.0000,76208.7000,-4.1878,15368.5609,0.0000,15368.5609,200.3782,0.0000,60840.1391,60840.1391,11.7165,15.3807,13.5486,-1.9290,-130207.1854,15.3901,15.2355,15.3128,0.6641,-0.2792,15.3807,15.3901,15.3854,-0.5737,-4.4670,15.3807,15.3895,15.3851,-0.5728,4.7462,11.7822,11.7806,11.7814,0.0442,0.2792,11.6333,11.6420,11.6376,-0.5215,4.4670,11.7822,11.7867,11.7845,-0.2734,-4.7462,0.1000,7.8141,165310.4000,-130207.1854
7.0000,15.1730,12.1981,121863.8000,14356.8000,107507.0000,-7.0177,24542.2420,2440.8843,26983.1263,336.7328,16797.6843,97321.5580,80523.8737,15.1665,11.4030,69679.6000,0.0000,69679.6000,-3.8291,14098.4430,0.0000,14098.4430,183.3814,0.0000,55581.1570,55581.1570,11.8724,15.1261,13.4993,-2.0166,-136122.9720,15.1665,15.2477,15.2071,-1.2154,-1.0629,15.1261,15.1665,15.1463,-2.8252,-4.8919,15.1261,15.1597,15.1429,-2.8626,5.9548,12.1981,11.9627,12.0804,3.6680,1.0629,11.5246,11.5420,11.5333,-1.1989,4.8919,12.1981,12.1438,12.1710,4.7240,-5.9548,0.1000,7.8141,177186.6000,-136122.9720
8.0000,15.0394,12.8726,91537.4000,21265.9000,70271.5000,-5.7667,18473.7444,3603.7760,22077.5204,278.1210,24869.6760,73063.6556,48193.9796,15.0269,11.2654,71003.9000,0.0000,71003.9000,-3.9018,14396.2985,0.0000,14396.2985,187.6132,0.0000,56607.6015,56607.6015,12.1376,15.0031,13.5703,-1.5831,-106858.7734,15.0269,15.1698,15.0983,-1.2522,-0.6216,15.0031,15.0269,15.0150,-1.5251,-4.5234,15.0031,15.0237,15.0134,-1.5034,5.1451,12.8726,12.2360,12.5543,5.7798,0.6216,11.3988,11.4211,11.4099,-1.4287,4.5234,12.8726,12.7674,12.8200,7.8931,-5.1451,0.1000,7.8141,141275.4000,-106858.7734
9.0000,15.0042,12.9224,86930.6000,21350.9000,65579.7000,-5.5311,17553.8128,3615.0773,21168.8900,267.3056,24965.9773,69376.7872,44410.8100,14.9943,11.2333,43653.6000,0.0000,43653.6000,-2.3989,8855.2287,0.0000,8855.2287,115.6339,0.0000,34798.3713,34798.3713,12.3481,14.9892,13.6686,-1.1967,-80778.7456,14.9943,15.0525,15.0234,-0.8441,-1.0441,14.9892,14.9943,14.9918,-0.2199,-3.4429,14.9892,14.9930,14.9911,-0.2090,4.4870,12.9224,12.7117,12.8171,3.2306,1.0441,11.6816,11.6227,11.6522,2.9831,3.4429,12.9224,12.9048,12.9136,1.1892,-4.4870,0.1000,7.8141,109233.3000,-80778.7456
10.0000,14.8718,13.6426,69379.9000,27448.6000,41931.3000,-4.9063,14039.3107,4632.5913,18671.9020,237.5805,32081.1913,55340.5893,23259.3980,14.8602,11.1011,36839.6000,0.0000,36839.6000,-2.0244,7488.0300,0.0000,7488.0300,97.6412,0.0000,29351.5700,29351.5700,12.7403,14.8182,13.7793,-0.8229,-55547.5851,14.8602,14.9577,14.9090,-1.3213,-0.9606,14.8182,14.8602,14.8392,-1.7805,-2.9850,14.8182,14.8508,14.8345,-1.8289,3.9456,13.6426,13.1427,13.3927,7.0062,0.9606,11.7581,11.7318,11.7449,1.1798,2.9850,13.6426,13.5033,13.5729,8.0169,-3.9456,0.1000,7.8141,78770.9000,-55547.5851
