Time,building1_htg_clg:EFT [C],building1_htg_clg:ExFT [C],building1_htg_clg:Q_htg [W],building1_htg_clg:Q_clg [W],building1_htg_clg:Q_net [W],building1_htg_clg:M_flow [kg/s],building1_htg_clg:P_hp_htg [W],building1_htg_clg:P_hp_clg [W],building1_htg_clg:P_hp_tot [W],building1_htg_clg:P_pump [W],building1_htg_clg:Q_src_clg [W],building1_htg_clg:Q_src_htg [W],building1_htg_clg:Q_src_het [W],building2_htg_clg:EFT [C],building2_htg_clg:ExFT [C],building2_htg_clg:Q_htg [W],building2_htg_clg:Q_clg [W],building2_htg_clg:Q_net [W],building2_htg_clg:M_flow [kg/s],building2_htg_clg:P_hp_htg [W],building2_htg_clg:P_hp_clg [W],building2_htg_clg:P_hp_tot [W],building2_htg_clg:P_pump [W],building2_htg_clg:Q_src_clg [W],building2_htg_clg:Q_src_htg [W],building2_htg_clg:Q_src_het [W],ghe1:EFT [C],ghe1:ExFT [C],ghe1:MFT [C],ghe1:Q [W/m],ghe1:Q_tot [W],hp_pir1:EFT [C],hp_pir1:ExFT [C],hp_pir1:MFT [C],hp_pir1:Q [W/m],hp_pir1:M_flow [kg/s],hp_pir2:EFT [C],hp_pir2:ExFT [C],hp_pir2:MFT [C],hp_pir2:Q [W/m],hp_pir2:M_flow [kg/s],hp_pir3:EFT [C],hp_pir3:ExFT [C],hp_pir3:MFT [C],hp_pir3:Q [W/m],hp_pir3:M_flow [kg/s],hp_por1:EFT [C],hp_por1:ExFT [C],hp_por1:MFT [C],hp_por1:Q [W/m],hp_por1:M_flow [kg/s],hp_por2:EFT [C],hp_por2:ExFT [C],hp_por2:MFT [C],hp_por2:Q [W/m],hp_por2:M_flow [kg/s],hp_por3:EFT [C],hp_por3:ExFT [C],hp_por3:MFT [C],hp_por3:Q [W/m],hp_por3:M_flow [kg/s],Network:M_flow [kg/s],Network:P_pump [W],Network:Q_net_bldg [W],Network:Q_net_ghe [W]
1.0000,15.2789,11.7189,86966.0000,4051.1000,82914.9000,-4.7153,17484.9812,690.5373,18175.5185,230.2888,4741.6373,69481.0188,64739.3815,15.1705,11.4067,66470.3000,0.0000,66470.3000,-3.6527,13448.3002,0.0000,13448.3002,178.3920,0.0000,53021.9998,53021.9998,11.5813,16.0762,13.8287,-2.1493,-145076.2362,15.1705,8.7318,11.9511,4.3339,-0.0460,16.0762,15.1705,15.6233,48.6494,-3.6987,16.0762,15.3434,15.7098,49.6925,4.6693,11.7189,11.5852,11.6521,0.7246,0.3542,11.4225,11.4549,11.4387,-1.8501,4.0069,11.7189,11.6973,11.7081,1.4010,-4.3611,0.1000,7.8141,149385.2000,-145076.2362
2.0000,15.6443,12.0445,87715.2000,3735.3000,83979.9000,-4.7394,17535.1295,642.4561,18177.5857,227.4432,4377.7561,70180.0705,65802.3143,15.5589,11.7899,70954.0000,0.0000,70954.0000,-3.8991,14273.4643,0.0000,14273.4643,187.4680,0.0000,56680.5357,56680.5357,11.8549,15.6321,13.7435,-1.8645,-125853.8382,15.6443,8.9231,12.2837,4.0736,0.0414,15.6321,15.6301,15.6311,0.1540,-3.8577,15.6321,15.6443,15.6382,-0.8035,4.7808,12.0445,11.5733,11.8089,1.9528,0.2801,11.7754,11.7141,11.7447,3.7532,4.1792,12.0445,11.9868,12.0156,3.7714,-4.4593,0.1000,7.8141,154933.9000,-125853.8382
3.0000,15.4918,11.8484,90227.9000,3372.7000,86855.2000,-4.8529,18080.3511,577.9141,18658.2652,231.3631,3950.6141,72147.5489,68196.9348,15.5640,11.7949,67845.6000,0.0000,67845.6000,-3.7283,13647.1493,0.0000,13647.1493,178.0199,0.0000,54198.4507,54198.4507,11.8333,15.5479,13.6906,-1.8214,-122944.5014,15.5640,9.8185,12.6912,4.9782,-0.0593,15.5479,15.5640,15.5559,-0.8472,-3.7875,15.5479,15.5620,15.5549,-0.9449,4.7937,11.8484,11.8049,11.8266,0.2745,0.3749,11.7958,11.7861,11.7910,0.6183,4.1032,11.8484,11.8765,11.8625,-1.7882,-4.4781,0.1000,7.8141,154700.8000,-122944.5014
4.0000,15.4986,11.8185,91910.5000,3056.8000,88853.7000,-4.9255,18415.5760,523.8715,18939.4476,235.4329,3580.6715,73494.9240,69914.2524,15.4036,11.6368,75829.6000,0.0000,75829.6000,-4.1670,15289.0671,0.0000,15289.0671,198.9512,0.0000,60540.5329,60540.5329,11.7508,15.4887,13.6198,-1.9421,-131089.5846,15.4986,10.8536,13.1761,5.9116,0.0871,15.4887,15.5008,15.4948,-0.6774,-4.0799,15.4887,15.4986,15.4937,-0.6789,5.0127,11.8185,11.8263,11.8224,0.0089,0.2528,11.6477,11.6720,11.6598,-1.5222,4.4199,11.8185,11.8254,11.8219,-0.4290,-4.6727,0.1000,7.8141,164683.3000,-131089.5846
5.0000,15.4081,11.8088,91984.3000,3886.8000,88097.5000,-4.9686,18456.4702,664.6351,19121.1053,237.5191,4551.4351,73527.8298,68976.3947,15.4476,11.6802,70193.3000,0.0000,70193.3000,-3.8573,14143.4928,0.0000,14143.4928,184.6889,0.0000,56049.8072,56049.8072,11.7511,15.4369,13.5940,-1.8588,-125467.0988,15.4476,11.3468,13.3972,2.7289,-0.0452,15.4369,15.4476,15.4422,-0.5738,-3.9025,15.4369,15.4454,15.4411,-0.5739,4.9234,11.8088,11.8212,11.8150,-0.0289,0.3704,11.6926,11.6864,11.6895,0.4181,4.2277,11.8088,11.8107,11.8097,-0.0867,-4.5982,0.1000,7.8141,158290.8000,-125467.0988
6.0000,15.3964,11.7974,93034.3000,3932.6000,89101.7000,-5.0254,18670.5785,672.2732,19342.8517,240.6173,4604.8732,74363.7215,69758.8483,15.3449,11.5789,76208.7000,0.0000,76208.7000,-4.1878,15378.8181,0.0000,15378.8181,200.3594,0.0000,60829.8819,60829.8819,11.7073,15.3888,13.5480,-1.9381,-130823.1490,15.3964,11.9313,13.6639,3.2775,0.0644,15.3888,15.3982,15.3935,-0.5284,-4.1234,15.3888,15.3964,15.3926,-0.5259,5.0898,11.7974,11.8162,11.8068,-0.0387,0.2792,11.5937,11.6097,11.6017,-0.9990,4.4670,11.7974,11.7991,11.7982,-0.0787,-4.7462,0.1000,7.8141,165310.4000,-130823.1490
7.0000,15.0701,12.0964,121863.8000,14356.8000,107507.0000,-7.0177,24582.1628,2434.7620,27016.9249,336.6493,16791.5620,97281.6372,80490.0751,15.1930,11.4292,69679.6000,0.0000,69679.6000,-3.8291,14092.8866,0.0000,14092.8866,183.5292,0.0000,55586.7134,55586.7134,11.8276,15.1527,13.4902,-2.0609,-139109.1193,15.1930,14.0380,14.6155,11.5447,-0.6866,15.1527,15.1930,15.1729,-2.6021,-4.5156,15.1527,15.1821,15.1674,-2.6571,6.3311,12.0964,11.9325,12.0144,2.5658,1.0629,11.5385,11.5481,11.5433,-0.6444,4.8919,12.0964,12.0572,12.0768,3.4219,-5.9548,0.1000,7.8141,177186.6000,-139109.1193
8.0000,15.0086,12.8421,91537.4000,21265.9000,70271.5000,-5.7667,18482.7754,3601.0695,22083.8449,278.5279,24866.9695,73054.6246,48187.6551,15.0399,11.2782,71003.9000,0.0000,71003.9000,-3.9018,14393.4993,0.0000,14393.4993,187.5243,0.0000,56610.4007,56610.4007,12.1182,15.0109,13.5645,-1.5981,-107873.1643,15.0399,14.5258,14.7828,2.0791,-0.2737,15.0109,15.0399,15.0254,-1.7199,-4.1755,15.0109,15.0326,15.0218,-1.6975,5.4930,12.8421,12.1771,12.5096,6.0356,0.6216,11.4018,11.4253,11.4135,-1.5066,4.5234,12.8421,12.7274,12.7847,8.6029,-5.1451,0.1000,7.8141,141275.4000,-107873.1643
9.0000,14.9788,12.8973,86930.6000,21350.9000,65579.7000,-5.5311,17560.8846,3612.8435,21173.7281,267.4215,24963.7435,69369.7154,44405.9719,15.0027,11.2416,43653.6000,0.0000,43653.6000,-2.3989,8854.1233,0.0000,8854.1233,115.6070,0.0000,34799.4767,34799.4767,12.3314,14.9964,13.6639,-1.2076,-81510.2453,15.0027,14.8484,14.9255,1.7822,-0.7792,14.9964,15.0027,14.9995,-0.2517,-3.1781,14.9964,15.0002,14.9983,-0.2231,4.7518,12.8973,12.6754,12.7863,3.3994,1.0441,11.6764,11.6193,11.6478,2.8878,3.4429,12.8973,12.8779,12.8876,1.3012,-4.4870,0.1000,7.8141,109233.3000,-81510.2453
10.0000,14.8609,13.6318,69379.9000,27448.6000,41931.3000,-4.9063,14041.7336,4631.3728,18673.1064,237.6526,32079.9728,55338.1664,23258.1936,14.8672,11.1080,36839.6000,0.0000,36839.6000,-2.0244,7487.2426,0.0000,7487.2426,97.6266,0.0000,29352.3574,29352.3574,12.7312,14.8208,13.7760,-0.8276,-55860.8267,14.8672,14.9081,14.8877,-0.3967,-0.7310,14.8208,14.8672,14.8440,-1.8167,-2.7554,14.8208,14.8527,14.8368,-1.8895,4.1753,13.6318,13.1198,13.3758,7.1744,0.9606,11.7555,11.7287,11.7421,1.1973,2.9850,13.6318,13.4896,13.5607,8.1835,-3.9456,0.1000,7.8141,78770.9000,-55860.8267
