Time,building1_htg_clg:EFT [C],building1_htg_clg:ExFT [C],building1_htg_clg:Q_htg [W],building1_htg_clg:Q_clg [W],building1_htg_clg:Q_net [W],building1_htg_clg:M_flow [kg/s],building1_htg_clg:P_hp_htg [W],building1_htg_clg:P_hp_clg [W],building1_htg_clg:P_hp_tot [W],building1_htg_clg:P_pump [W],building1_htg_clg:Q_src_clg [W],building1_htg_clg:Q_src_htg [W],building1_htg_clg:Q_src_het [W],building1_dhw:EFT [C],building1_dhw:ExFT [C],building1_dhw:Q_htg [W],building1_dhw:Q_clg [W],building1_dhw:Q_net [W],building1_dhw:M_flow [kg/s],building1_dhw:P_hp_htg [W],building1_dhw:P_hp_clg [W],building1_dhw:P_hp_tot [W],building1_dhw:P_pump [W],building1_dhw:Q_src_clg [W],building1_dhw:Q_src_htg [W],building1_dhw:Q_src_het [W],building2_htg_clg:EFT [C],building2_htg_clg:ExFT [C],building2_htg_clg:Q_htg [W],building2_htg_clg:Q_clg [W],building2_htg_clg:Q_net [W],building2_htg_clg:M_flow [kg/s],building2_htg_clg:P_hp_htg [W],building2_htg_clg:P_hp_clg [W],building2_htg_clg:P_hp_tot [W],building2_htg_clg:P_pump [W],building2_htg_clg:Q_src_clg [W],building2_htg_clg:Q_src_htg [W],building2_htg_clg:Q_src_het [W],building2_dhw:EFT [C],building2_dhw:ExFT [C],building2_dhw:Q_htg [W],building2_dhw:Q_clg [W],building2_dhw:Q_net [W],building2_dhw:M_flow [kg/s],building2_dhw:P_hp_htg [W],building2_dhw:P_hp_clg [W],building2_dhw:P_hp_tot [W],building2_dhw:P_pump [W],building2_dhw:Q_src_clg [W],building2_dhw:Q_src_htg [W],building2_dhw:Q_src_het [W],building3_htg_clg:EFT [C],building3_htg_clg:ExFT [C],building3_htg_clg:Q_htg [W],building3_htg_clg:Q_clg [W],building3_htg_clg:Q_net [W],building3_htg_clg:M_flow [kg/s],building3_htg_clg:P_hp_htg [W],building3_htg_clg:P_hp_clg [W],building3_htg_clg:P_hp_tot [W],building3_htg_clg:P_pump [W],building3_htg_clg:Q_src_clg [W],building3_htg_clg:Q_src_htg [W],building3_htg_clg:Q_src_het [W],building3_dhw:EFT [C],building3_dhw:ExFT [C],building3_dhw:Q_htg [W],building3_dhw:Q_clg [W],building3_dhw:Q_net [W],building3_dhw:M_flow [kg/s],building3_dhw:P_hp_htg [W],building3_dhw:P_hp_clg [W],building3_dhw:P_hp_tot [W],building3_dhw:P_pump [W],building3_dhw:Q_src_clg [W],building3_dhw:Q_src_htg [W],building3_dhw:Q_src_het [W],ghe1:EFT [C],ghe1:ExFT [C],ghe1:MFT [C],ghe1:Q [W/m],ghe1:Q_tot [W],ghe2:EFT [C],ghe2:ExFT [C],ghe2:MFT [C],ghe2:Q [W/m],ghe2:Q_tot [W],ghe3:EFT [C],ghe3:ExFT [C],ghe3:MFT [C],ghe3:Q [W/m],ghe3:Q_tot [W],hp_pir1:EFT [C],hp_pir1:ExFT [C],hp_pir1:MFT [C],hp_pir1:Q [W/m],hp_pir1:M_flow [kg/s],hp_pir2:EFT [C],hp_pir2:ExFT [C],hp_pir2:MFT [C],hp_pir2:Q [W/m],hp_pir2:M_flow [kg/s],hp_pir3:EFT [C],hp_pir3:ExFT [C],hp_pir3:MFT [C],hp_pir3:Q [W/m],hp_pir3:M_flow [kg/s],hp_pir4:EFT [C],hp_pir4:ExFT [C],hp_pir4:MFT [C],hp_pir4:Q [W/m],hp_pir4:M_flow [kg/s],hp_pir5:EFT [C],hp_pir5:ExFT [C],hp_pir5:MFT [C],hp_pir5:Q [W/m],hp_pir5:M_flow [kg/s],hp_pir6:EFT [C],hp_pir6:ExFT [C],hp_pir6:MFT [C],hp_pir6:Q [W/m],hp_pir6:M_flow [kg/s],hp_pir7:EFT [C],hp_pir7:ExFT [C],hp_pir7:MFT [C],hp_pir7:Q [W/m],hp_pir7:M_flow [kg/s],hp_pir8:EFT [C],hp_pir8:ExFT [C],hp_pir8:MFT [C],hp_pir8:Q [W/m],hp_pir8:M_flow [kg/s],hp_pir9:EFT [C],hp_pir9:ExFT [C],hp_pir9:MFT [C],hp_pir9:Q [W/m],hp_pir9:M_flow [kg/s],hp_por1:EFT [C],hp_por1:ExFT [C],hp_por1:MFT [C],hp_por1:Q [W/m],hp_por1:M_flow [kg/s],hp_por2:EFT [C],hp_por2:ExFT [C],hp_por2:MFT [C],hp_por2:Q [W/m],hp_por2:M_flow [kg/s],hp_por3:EFT [C],hp_por3:ExFT [C],hp_por3:MFT [C],hp_por3:Q [W/m],hp_por3:M_flow [kg/s],hp_por4:EFT [C],hp_por4:ExFT [C],hp_por4:MFT [C],hp_por4:Q [W/m],hp_por4:M_flow [kg/s],hp_por5:EFT [C],hp_por5:ExFT [C],hp_por5:MFT [C],hp_por5:Q [W/m],hp_por5:M_flow [kg/s],hp_por6:EFT [C],hp_por6:ExFT [C],hp_por6:MFT [C],hp_por6:Q [W/m],hp_por6:M_flow [kg/s],hp_por7:EFT [C],hp_por7:ExFT [C],hp_por7:MFT [C],hp_por7:Q [W/m],hp_por7:M_flow [kg/s],hp_por8:EFT [C],hp_por8:ExFT [C],hp_por8:MFT [C],hp_por8:Q [W/m],hp_por8:M_flow [kg/s],hp_por9:EFT [C],hp_por9:ExFT [C],hp_por9:MFT [C],hp_por9:Q [W/m],hp_por9:M_flow [kg/s],Network:M_flow [kg/s],Network:P_pump [W],Network:Q_net_bldg [W],Network:Q_net_ghe [W]
1.0000,14.6814,11.1303,86966.0000,4051.1000,82914.9000,-4.7153,17651.4458,680.5751,18332.0209,230.2888,4731.6751,69314.5542,64582.8791,15.9732,10.5524,12970.6000,0.0000,12970.6000,-0.4703,3138.8643,0.0000,3138.8643,22.9706,0.0000,9831.7357,9831.7357,15.1534,11.3899,66470.3000,0.0000,66470.3000,-3.6527,13451.7119,0.0000,13451.7119,178.3920,0.0000,53018.5881,53018.5881,15.8698,10.4514,369.3000,0.0000,369.3000,-0.0134,89.4911,0.0000,89.4911,0.6540,0.0000,279.8089,279.8089,14.7404,12.0565,19638.0000,0.0000,19638.0000,-1.5108,3998.8375,0.0000,3998.8375,73.7858,0.0000,15639.1625,15639.1625,15.7007,10.2864,369.3000,0.0000,369.3000,-0.0134,89.6901,0.0000,89.6901,0.6540,0.0000,279.6099,279.6099,11.2081,16.2906,13.7494,-2.5111,-101701.1255,11.4217,16.2205,13.8211,-2.1339,-51212.6493,11.8227,15.9529,13.8878,-1.8366,-38567.8600,15.9732,15.6868,15.8300,51.1435,-3.6896,16.2906,15.9732,16.1319,54.7868,-4.1599,16.2906,13.9948,15.1427,42.8496,1.0281,15.8698,15.6072,15.7385,50.0391,-2.6246,16.2205,15.8698,16.0451,53.7397,-2.6380,16.2205,9.4420,12.8312,14.9550,0.1289,15.7007,15.2346,15.4677,46.7707,-1.3819,15.9529,15.7007,15.8268,51.1050,-1.3953,15.9529,11.0651,13.5090,23.1341,1.0258,11.1303,11.1611,11.1457,-5.3858,3.6433,11.0915,11.1353,11.1134,-5.7756,4.1136,11.3899,11.4869,11.4384,-1.8538,-1.0744,11.3899,11.4027,11.3963,-2.3621,2.5783,11.3978,11.4188,11.4083,-2.2173,2.5917,12.0565,11.4657,11.7611,2.0403,-0.1752,12.0565,12.0024,12.0295,5.2790,1.3356,11.9854,11.9401,11.9627,4.4736,1.3490,11.1303,11.6751,11.4027,-2.2843,-1.0720,0.1000,7.8141,182732.4000,-191481.6348
2.0000,15.2589,11.6645,87715.2000,3735.3000,83979.9000,-4.7394,17641.1649,636.3950,18277.5599,229.8776,4371.6950,70074.0351,65702.3401,15.8198,10.4037,12989.3000,0.0000,12989.3000,-0.4710,3149.7124,0.0000,3149.7124,22.4400,0.0000,9839.5876,9839.5876,15.6574,11.8870,70954.0000,0.0000,70954.0000,-3.8991,14252.9350,0.0000,14252.9350,187.5251,0.0000,56701.0650,56701.0650,15.7213,10.3074,362.7000,0.0000,362.7000,-0.0132,88.0633,0.0000,88.0633,0.6275,0.0000,274.6367,274.6367,15.4184,12.7275,18991.3000,0.0000,18991.3000,-1.4611,3828.2708,0.0000,3828.2708,70.7913,0.0000,15163.0292,15163.0292,15.5911,10.1802,362.7000,0.0000,362.7000,-0.0132,88.2145,0.0000,88.2145,0.6291,0.0000,274.4855,274.4855,11.5085,15.7973,13.6529,-2.1641,-87645.7883,11.7866,15.6962,13.7414,-1.7755,-42611.4776,12.0228,15.5771,13.8000,-1.6141,-33896.2552,15.8198,15.8203,15.8201,-0.0597,-3.6940,15.7973,15.8198,15.8086,-3.8419,-4.1651,15.7973,15.4994,15.6484,6.1622,1.1334,15.7213,15.7222,15.7217,-0.1423,-2.7657,15.6962,15.7213,15.7087,-3.9993,-2.7789,15.6962,10.6348,13.1655,4.0943,0.0469,15.5911,15.5772,15.5842,1.4661,-1.4141,15.5771,15.5911,15.5841,-2.8689,-1.4273,15.5771,13.2747,14.4259,11.1248,1.0453,11.6645,11.6300,11.6473,6.1128,3.6478,11.4898,11.4569,11.4734,4.4040,4.1188,11.8870,11.6888,11.7879,4.2781,-1.1796,11.8870,11.8578,11.8724,5.8058,2.7195,11.8503,11.8054,11.8279,5.1237,2.7326,12.7275,11.2365,11.9820,2.7264,-0.0932,12.7275,12.6473,12.6874,8.0006,1.3679,12.6238,12.5485,12.5862,7.5839,1.3810,11.6645,11.3578,11.5111,1.3685,-1.0916,0.1000,7.8141,187639.9000,-164153.5211
3.0000,15.3559,11.7144,90227.9000,3372.7000,86855.2000,-4.8529,18118.8680,575.9864,18694.8545,232.9506,3948.6864,72109.0320,68160.3455,15.6322,10.2203,12989.5000,0.0000,12989.5000,-0.4710,3157.5454,0.0000,3157.5454,22.4904,0.0000,9831.9546,9831.9546,15.5995,11.8299,67845.6000,0.0000,67845.6000,-3.7283,13640.0644,0.0000,13640.0644,177.7091,0.0000,54205.5356,54205.5356,15.5778,10.1672,373.6000,0.0000,373.6000,-0.0135,90.8816,0.0000,90.8816,0.6478,0.0000,282.7184,282.7184,15.1599,12.4717,20681.2000,0.0000,20681.2000,-1.5911,4184.8886,0.0000,4184.8886,76.1614,0.0000,16496.3114,16496.3114,15.4730,10.0649,373.6000,0.0000,373.6000,-0.0135,91.0075,0.0000,91.0075,0.6490,0.0000,282.5925,282.5925,11.5942,15.6199,13.6071,-2.0454,-82839.0962,11.8284,15.5674,13.6979,-1.7098,-41034.5305,12.0416,15.4666,13.7541,-1.5662,-32890.0152,15.6322,15.6440,15.6381,-2.1361,-3.8073,15.6199,15.6322,15.6260,-2.1427,-4.2783,15.6199,15.6326,15.6262,-0.2067,1.0569,15.5778,15.5863,15.5821,-1.6251,-2.6714,15.5674,15.5778,15.5726,-1.5831,-2.6850,15.5674,12.2612,13.9143,9.0960,0.1605,15.4730,15.4850,15.4790,-1.2082,-1.4306,15.4666,15.4730,15.4698,-1.3190,-1.4441,15.4666,14.3071,14.8868,5.6228,1.0456,11.7144,11.7100,11.7122,0.8442,3.7589,11.5441,11.5380,11.5410,0.8770,4.2299,11.8299,11.8096,11.8198,0.4450,-1.1053,11.8299,11.8324,11.8312,-0.4368,2.6230,11.8239,11.8241,11.8240,0.0136,2.6366,12.4717,11.8829,12.1773,2.4173,-0.2089,12.4717,12.4960,12.4839,-2.3963,1.3822,12.4724,12.4850,12.4787,-1.2366,1.3957,11.7144,11.4760,11.5952,1.0748,-1.0940,0.1000,7.8141,189118.7000,-156763.6420
4.0000,15.3773,11.6989,91910.5000,3056.8000,88853.7000,-4.9255,18450.5691,522.3113,18972.8804,236.0046,3579.1113,73459.9309,69880.8196,15.5176,10.1084,12988.6000,0.0000,12988.6000,-0.4710,3162.1062,0.0000,3162.1062,22.5504,0.0000,9826.4938,9826.4938,15.5257,11.7572,75829.6000,0.0000,75829.6000,-4.1670,15261.6881,0.0000,15261.6881,198.8259,0.0000,60567.9119,60567.9119,15.5075,10.0985,364.5000,0.0000,364.5000,-0.0132,88.7502,0.0000,88.7502,0.6333,0.0000,275.7498,275.7498,15.2109,12.5223,21482.5000,0.0000,21482.5000,-1.6527,4343.7380,0.0000,4343.7380,79.4777,0.0000,17138.7620,17138.7620,15.3389,9.9338,364.5000,0.0000,364.5000,-0.0132,88.9488,0.0000,88.9488,0.6343,0.0000,275.5512,275.5512,11.5867,15.5102,13.5484,-2.1005,-85068.8528,11.7754,15.5028,13.6391,-1.7959,-43102.0038,12.1055,15.3319,13.7187,-1.5545,-32645.1269,15.5176,15.5250,15.5213,-1.3487,-3.8672,15.5102,15.5176,15.5139,-1.2927,-4.3381,15.5102,15.5572,15.5337,-1.0564,1.2832,15.5075,15.5116,15.5096,-0.8145,-2.8838,15.5028,15.5075,15.5052,-0.7530,-2.8970,15.5028,13.0290,14.2659,4.3040,0.1010,15.3389,15.3530,15.3460,-1.5458,-1.5517,15.3319,15.3389,15.3354,-1.5616,-1.5649,15.3319,14.8375,15.0847,2.4481,1.0584,11.6989,11.6997,11.6993,-0.0959,3.8148,11.5248,11.5260,11.5254,-0.1288,4.2858,11.7572,11.7814,11.7693,-0.5494,-1.3355,11.7572,11.7613,11.7592,-0.8084,2.8315,11.7536,11.7602,11.7569,-0.7496,2.8447,12.5223,12.0572,12.2898,1.4173,-0.1533,12.5223,12.5181,12.5202,0.4987,1.4994,12.4955,12.4936,12.4945,0.2512,1.5126,11.6989,11.5770,11.6380,0.5761,-1.1107,0.1000,7.8141,199883.4000,-160815.9836
5.0000,15.3700,11.7713,91984.3000,3886.8000,88097.5000,-4.9686,18467.4953,664.0134,19131.5087,238.0279,4550.8134,73516.8047,68965.9913,15.4506,10.0429,12977.5000,0.0000,12977.5000,-0.4706,3162.2079,0.0000,3162.2079,22.5690,0.0000,9815.2921,9815.2921,15.4789,11.7110,70193.3000,0.0000,70193.3000,-3.8573,14137.0085,0.0000,14137.0085,184.2887,0.0000,56056.2915,56056.2915,15.4741,10.0659,371.8000,0.0000,371.8000,-0.0135,90.5678,0.0000,90.5678,0.6467,0.0000,281.2322,281.2322,15.1652,12.4771,21221.6000,0.0000,21221.6000,-1.6326,4293.8960,0.0000,4293.8960,78.4409,0.0000,16927.7040,16927.7040,15.3073,9.9029,371.8000,0.0000,371.8000,-0.0135,90.7684,0.0000,90.7684,0.6483,0.0000,281.0316,281.0316,11.6085,15.4463,13.5274,-2.0022,-81089.4276,11.7490,15.4718,13.6104,-1.7480,-41951.1782,12.0914,15.3058,13.6986,-1.5092,-31693.6779,15.4506,15.4548,15.4527,-0.7677,-3.9004,15.4463,15.4506,15.4485,-0.7297,-4.3710,15.4463,15.4859,15.4661,-0.7558,1.1071,15.4741,15.4760,15.4751,-0.3563,-2.7502,15.4718,15.4741,15.4729,-0.3290,-2.7637,15.4718,13.8022,14.6370,4.5383,0.1579,15.3073,15.3112,15.3092,-0.3832,-1.4747,15.3058,15.3073,15.3065,-0.2887,-1.4882,15.3058,15.0602,15.1830,1.2461,1.0682,11.7713,11.7666,11.7689,0.9007,3.8505,11.5789,11.5743,11.5766,0.6783,4.3211,11.7110,11.7362,11.7236,-0.4909,-1.1569,11.7110,11.7138,11.7124,-0.5047,2.7004,11.7056,11.7106,11.7081,-0.5284,2.7139,12.4771,12.2500,12.3635,0.9503,-0.2078,12.4771,12.4816,12.4794,-0.4327,1.4249,12.4575,12.4613,12.4594,-0.3639,1.4384,11.7713,11.6156,11.6934,0.7295,-1.1181,0.1000,7.8141,193233.5000,-154734.2837
6.0000,15.3494,11.7511,93034.3000,3932.6000,89101.7000,-5.0254,18684.3394,671.4981,19355.8375,240.7793,4604.0981,74349.9606,69745.8625,15.3943,9.9879,12977.8000,0.0000,12977.8000,-0.4706,3164.6401,0.0000,3164.6401,22.5917,0.0000,9813.1599,9813.1599,15.4415,11.6742,76208.7000,0.0000,76208.7000,-4.1878,15356.9434,0.0000,15356.9434,200.2482,0.0000,60851.7566,60851.7566,15.4485,10.0408,489.2000,0.0000,489.2000,-0.0177,119.2060,0.0000,119.2060,0.8513,0.0000,369.9940,369.9940,15.2065,12.5179,20178.7000,0.0000,20178.7000,-1.5524,4080.3817,0.0000,4080.3817,74.6469,0.0000,16098.3183,16098.3183,15.2323,9.8297,489.2000,0.0000,489.2000,-0.0177,119.5487,0.0000,119.5487,0.8534,0.0000,369.6513,369.6513,11.5923,15.3907,13.4915,-2.0388,-82569.5558,11.6885,15.4468,13.5677,-1.8155,-43571.1769,12.1306,15.2282,13.6794,-1.4964,-31423.3869,15.3943,15.3978,15.3961,-0.6236,-3.9235,15.3907,15.3943,15.3925,-0.6149,-4.3941,15.3907,15.4218,15.4063,-0.6620,1.2418,15.4485,15.4498,15.4491,-0.2528,-2.9461,15.4468,15.4485,15.4476,-0.2452,-2.9638,15.4468,13.9958,14.7213,1.0773,0.0420,15.2323,15.2401,15.2362,-0.8211,-1.5104,15.2282,15.2323,15.2303,-0.8600,-1.5282,15.2282,15.1770,15.2026,0.2975,1.1019,11.7511,11.7521,11.7516,-0.1494,3.8740,11.5610,11.5621,11.5616,-0.1215,4.3446,11.6742,11.6937,11.6839,-0.4188,-1.2913,11.6742,11.6762,11.6752,-0.3889,2.8965,11.6663,11.6701,11.6682,-0.4221,2.9143,12.5179,12.2763,12.3971,0.4653,-0.0915,12.5179,12.5135,12.5157,0.4989,1.4609,12.4813,12.4788,12.4801,0.3098,1.4786,11.7511,11.6834,11.7172,0.3475,-1.1514,0.1000,7.8141,199445.3000,-157564.1196
7.0000,15.1285,12.1541,121863.8000,14356.8000,107507.0000,-7.0177,24559.4810,2438.2333,26997.7143,336.9043,16795.0333,97304.3190,80509.2857,15.0940,9.6946,12978.0000,0.0000,12978.0000,-0.4706,3177.3638,0.0000,3177.3638,22.6108,0.0000,9800.6362,9800.6362,15.3605,11.5943,69679.6000,0.0000,69679.6000,-3.8291,14058.0161,0.0000,14058.0161,183.2138,0.0000,55621.5839,55621.5839,15.3600,9.9544,373.8000,0.0000,373.8000,-0.0136,91.1928,0.0000,91.1928,0.6507,0.0000,282.6072,282.6072,15.1434,12.4554,18311.9000,0.0000,18311.9000,-1.4088,3706.3635,0.0000,3706.3635,67.6912,0.0000,14605.5365,14605.5365,15.1804,9.7790,373.8000,0.0000,373.8000,-0.0136,91.4109,0.0000,91.4109,0.6528,0.0000,282.3891,282.3891,11.8933,15.0789,13.4861,-1.9346,-78349.3434,11.6213,15.3544,13.4879,-2.0403,-48967.8819,12.0471,15.1773,13.6122,-1.7108,-35927.8493,15.0940,15.1076,15.1008,-3.5029,-5.3963,15.0789,15.0940,15.0865,-3.6331,-5.8669,15.0789,15.3360,15.2075,-2.3390,0.5097,15.3600,15.3642,15.3621,-0.9901,-3.3193,15.3544,15.3600,15.3572,-1.0311,-3.3329,15.3544,14.2893,14.8219,1.2738,0.0680,15.1804,15.1867,15.1835,-0.5755,-1.3408,15.1773,15.1804,15.1789,-0.5602,-1.3544,15.1773,15.1983,15.1878,-0.1188,1.6214,12.1541,12.1357,12.1449,4.8069,5.3599,11.9387,11.9151,11.9269,4.4690,5.8305,11.5943,11.6607,11.6275,-0.6207,-0.5462,11.5943,11.5982,11.5962,-0.8927,3.2829,11.5914,11.5978,11.5946,-0.8276,3.2964,12.4554,12.3653,12.4103,0.2197,-0.1044,12.4554,12.4624,12.4589,-0.6252,1.3044,12.4348,12.4400,12.4374,-0.4548,1.3179,12.1541,11.7347,11.9444,2.8018,-1.6579,0.1000,7.8141,209224.1000,-163245.0746
8.0000,14.9735,12.8073,91537.4000,21265.9000,70271.5000,-5.7667,18493.0621,3597.9962,22091.0583,278.2967,24863.8962,73044.3379,48180.4417,14.8992,9.5044,12985.5000,0.0000,12985.5000,-0.4709,3187.5032,0.0000,3187.5032,22.7245,0.0000,9797.9968,9797.9968,15.3220,11.5563,71003.9000,0.0000,71003.9000,-3.9018,14333.3382,0.0000,14333.3382,186.9652,0.0000,56670.5618,56670.5618,15.3928,9.9865,366.3000,0.0000,366.3000,-0.0133,89.3241,0.0000,89.3241,0.6385,0.0000,276.9759,276.9759,15.1281,12.4403,17271.6000,0.0000,17271.6000,-1.3288,3496.5977,0.0000,3496.5977,63.9177,0.0000,13775.0023,13775.0023,15.1211,9.7210,366.3000,0.0000,366.3000,-0.0133,89.6477,0.0000,89.6477,0.6402,0.0000,276.6523,276.6523,12.2906,14.8879,13.5893,-1.4216,-57575.1296,11.5622,15.3992,13.4807,-1.8901,-45363.2022,12.1524,15.1175,13.6349,-1.4607,-30674.2156,14.8992,14.9101,14.9047,-2.3067,-4.4399,14.8879,14.8992,14.8936,-2.2680,-4.9108,14.8879,15.0687,14.9783,-2.7055,0.8366,15.3928,15.3911,15.3920,0.4205,-3.0652,15.3955,15.3928,15.3941,0.5058,-3.0785,15.1281,14.5342,14.8312,0.1721,-0.0133,15.1211,15.1281,15.1246,-0.6512,-1.3420,15.1175,15.1211,15.1193,-0.6589,-1.3553,15.1175,15.1855,15.1515,-0.3780,1.3268,12.8073,12.7707,12.7890,7.8327,4.4008,12.4550,12.4158,12.4354,6.1963,4.8717,11.5563,11.5945,11.5754,-0.5686,-0.8757,11.5563,11.5584,11.5574,-0.4093,3.0262,11.5515,11.5553,11.5534,-0.4373,3.0394,12.4403,12.3815,12.4109,0.0669,-0.0258,12.4403,12.4423,12.4413,-0.1522,1.3029,12.4149,12.4173,12.4161,-0.1969,1.3162,12.8073,11.8970,12.3522,4.9806,-1.3659,0.1000,7.8141,172265.1000,-133612.5473
9.0000,14.9689,12.8875,86930.6000,21350.9000,65579.7000,-5.5311,17563.6296,3611.9778,21175.6074,267.5534,24962.8778,69366.9704,44404.0926,14.9145,9.5193,17240.4000,0.0000,17240.4000,-0.6252,4231.0703,0.0000,4231.0703,30.2581,0.0000,13009.3297,13009.3297,15.3788,11.6123,43653.6000,0.0000,43653.6000,-2.3989,8804.8348,0.0000,8804.8348,115.0261,0.0000,34848.7652,34848.7652,15.3870,9.9808,361.7000,0.0000,361.7000,-0.0131,88.2092,0.0000,88.2092,0.6302,0.0000,273.4908,273.4908,15.0146,12.3279,16408.2000,0.0000,16408.2000,-1.2623,3327.4331,0.0000,3327.4331,60.7390,0.0000,13080.7669,13080.7669,15.0783,9.6793,361.7000,0.0000,361.7000,-0.0131,88.5725,0.0000,88.5725,0.6327,0.0000,273.1275,273.1275,12.4307,14.9159,13.6733,-1.1649,-47178.0260,11.6863,15.3865,13.5364,-1.5610,-37462.8225,12.3184,15.0749,13.6967,-1.1628,-24419.6061,14.9145,14.9138,14.9142,0.1746,-4.2416,14.9159,14.9145,14.9152,0.3213,-4.8668,14.9159,15.0197,14.9678,-0.0662,0.0550,15.3870,15.3872,15.3871,0.0014,-2.3438,15.3865,15.3870,15.3868,-0.0290,-2.3570,15.3865,14.7527,15.0696,2.9376,0.2680,15.0783,15.0851,15.0817,-0.4573,-0.9943,15.0749,15.0783,15.0766,-0.4549,-1.0074,15.0749,15.1502,15.1126,-0.4098,1.2894,12.8875,12.8817,12.8846,1.2140,4.2119,12.4472,12.4461,12.4466,0.1961,4.8371,11.6123,11.5505,11.5814,0.1326,-0.0848,11.6123,11.6084,11.6104,0.6999,2.3141,11.5992,11.5936,11.5964,0.5794,2.3272,12.3279,12.4109,12.3694,-0.4406,-0.2978,12.3279,12.3456,12.3368,-1.2018,0.9646,12.3099,12.3262,12.3180,-1.1234,0.9777,12.8875,12.3127,12.6001,3.0521,-1.3192,0.1000,7.8141,143605.3000,-109060.4547
10.0000,14.8478,13.6188,69379.9000,27448.6000,41931.3000,-4.9063,14044.6653,4629.9001,18674.5654,237.6806,32078.5001,55335.2347,23256.7346,14.7546,9.3631,21478.1000,0.0000,21478.1000,-0.7788,5282.4142,0.0000,5282.4142,37.6870,0.0000,16195.6858,16195.6858,15.4282,11.6611,36839.6000,0.0000,36839.6000,-2.0244,7425.0638,0.0000,7425.0638,96.9733,0.0000,29414.5362,29414.5362,15.4318,10.0245,375.0000,0.0000,375.0000,-0.0136,91.3985,0.0000,91.3985,0.6534,0.0000,283.6015,283.6015,15.0696,12.3824,15507.2000,0.0000,15507.2000,-1.1930,3142.1370,0.0000,3142.1370,57.5204,0.0000,12365.0630,12365.0630,15.0813,9.6822,375.0000,0.0000,375.0000,-0.0136,91.8257,0.0000,91.8257,0.6564,0.0000,283.1743,283.1743,12.8084,14.7453,13.7769,-0.8236,-33354.9240,11.7306,15.4367,13.5836,-1.4183,-34038.7773,12.4159,15.0819,13.7489,-1.0203,-21425.7780,14.7546,14.7648,14.7597,-1.8047,-3.7338,14.7440,14.7546,14.7493,-1.9427,-4.5127,15.4282,14.6198,15.0240,0.7381,-0.0478,15.4318,15.4282,15.4300,0.5774,-2.0722,15.4367,15.4318,15.4342,0.6330,-2.0858,15.4367,15.0348,15.2357,2.0648,0.2955,15.0813,15.0811,15.0812,0.0535,-0.8976,15.0819,15.0813,15.0816,0.1204,-0.9112,15.0819,15.1123,15.0971,-0.1265,1.1724,13.6188,13.5709,13.5948,8.6309,3.7057,12.8401,12.8084,12.8243,4.6171,4.4845,12.8084,10.4876,11.6480,0.8638,0.0196,11.6498,11.6466,11.6482,0.5162,2.0441,11.6358,11.6304,11.6331,0.5028,2.0577,12.3824,12.3678,12.3751,0.1287,-0.3236,12.3824,12.3741,12.3783,0.5605,0.8694,12.3326,12.3298,12.3312,0.2191,0.8830,13.6188,12.4791,13.0490,5.4772,-1.2006,0.1000,7.8141,116506.2000,-88819.4793
