Month,Day,Hour,Time (Hours),Loading (W) (Extraction)
1,1,1,0,0
1,1,2,1,0
1,1,3,2,0
1,1,4,3,0
1,1,5,4,0
1,1,6,5,0
1,1,7,6,0
1,1,8,7,0
1,1,9,8,0
1,1,10,9,0
1,1,11,10,0
1,1,12,11,0
1,1,13,12,0
1,1,14,13,0
1,1,15,14,0
1,1,16,15,0
1,1,17,16,0
1,1,18,17,0
1,1,19,18,0
1,1,20,19,0
1,1,21,20,0
1,1,22,21,0
1,1,23,22,0
1,1,24,23,0
1,2,1,24,0
1,2,2,25,0
1,2,3,26,0
1,2,4,27,0
1,2,5,28,0
1,2,6,29,0
1,2,7,30,0
1,2,8,31,0
1,2,9,32,0
1,2,10,33,0
1,2,11,34,0
1,2,12,35,0
1,2,13,36,0
1,2,14,37,0
1,2,15,38,0
1,2,16,39,0
1,2,17,40,0
1,2,18,41,0
1,2,19,42,0
1,2,20,43,0
1,2,21,44,0
1,2,22,45,0
1,2,23,46,0
1,2,24,47,0
1,3,1,48,0
1,3,2,49,0
1,3,3,50,0
1,3,4,51,0
1,3,5,52,0
1,3,6,53,0
1,3,7,54,88964.3734177778
1,3,8,55,122073.202982222
1,3,9,56,63902.6904222222
1,3,10,57,52317.2963288889
1,3,11,58,41514.9882444444
1,3,12,59,29434.3039733333
1,3,13,60,32753.9204488889
1,3,14,61,17284.982448
1,3,15,62,15288.7578817778
1,3,16,63,11017.8325795556
1,3,17,64,8217.36227022222
1,3,18,65,32409.2688222222
1,3,19,66,51278.9453822222
1,3,20,67,55786.086
1,3,21,68,58907.0002622222
1,3,22,69,59597.7688711111
1,3,23,70,0
1,3,24,71,0
1,4,1,72,0
1,4,2,73,0
1,4,3,74,0
1,4,4,75,0
1,4,5,76,0
1,4,6,77,0
1,4,7,78,41261.1886622222
1,4,8,79,94426.0466444445
1,4,9,80,39088.0663733333
1,4,10,81,22820.2751377778
1,4,11,82,3928.03210222222
1,4,12,83,-3923.54811422222
1,4,13,84,13260.5006431111
1,4,14,85,-19509.30426
1,4,15,86,-27926.1600355556
1,4,16,87,-22575.6779884444
1,4,17,88,-14158.1774564444
1,4,18,89,21174.6808488889
1,4,19,90,22526.9402626667
1,4,20,91,39041.1749955556
1,4,21,92,49278.1489066667
1,4,22,93,57193.9996177778
1,4,23,94,0
1,4,24,95,0
1,5,1,96,0
1,5,2,97,0
1,5,3,98,0
1,5,4,99,0
1,5,5,100,0
1,5,6,101,0
1,5,7,102,75889.8850088889
1,5,8,103,129885.599591111
1,5,9,104,69544.6023822222
1,5,10,105,50567.6617955556
1,5,11,106,28604.0042084444
1,5,12,107,9723.54263155556
1,5,13,108,14641.9499395556
1,5,14,109,-15588.188636
1,5,15,110,-24385.9782417778
1,5,16,111,-20769.2755808889
1,5,17,112,-13236.4395048889
1,5,18,113,23332.5927471111
1,5,19,114,44427.2358755555
1,5,20,115,57191.6550488889
1,5,21,116,69121.7007688889
1,5,22,117,77919.1093822222
1,5,23,118,0
1,5,24,119,0
1,6,1,120,0
1,6,2,121,0
1,6,3,122,0
1,6,4,123,0
1,6,5,124,0
1,6,6,125,18264.0158017778
1,6,7,126,86297.7193777778
1,6,8,127,141136.013404444
1,6,9,128,82539.9615911111
1,6,10,129,64681.0872933333
1,6,11,130,51027.4903688889
1,6,12,131,35500.8759733333
1,6,13,132,39895.7703555556
1,6,14,133,23758.6888355556
1,6,15,134,18831.9876151111
1,6,16,135,16533.8411902222
1,6,17,136,14627.9997546667
1,6,18,137,41958.1117644445
1,6,19,138,63313.3244177778
1,6,20,139,69317.4722711111
1,6,21,140,73835.1634488889
1,6,22,141,77274.6460088889
1,6,23,142,0
1,6,24,143,0
1,7,1,144,0
1,7,2,145,0
1,7,3,146,0
1,7,4,147,0
1,7,5,148,0
1,7,6,149,0
1,7,7,150,78453.96416
1,7,8,151,133601.74128
1,7,9,152,119131.355168889
1,7,10,153,104141.94012
1,7,11,154,94641.7469822222
1,7,12,155,86884.1546711111
1,7,13,156,86776.0114311111
1,7,14,157,86429.8944488889
1,7,15,158,85929.6220622222
1,7,16,159,87441.5759244445
1,7,17,160,93968.2695688889
1,7,18,161,0
1,7,19,162,0
1,7,20,163,0
1,7,21,164,0
1,7,22,165,0
1,7,23,166,0
1,7,24,167,0
1,8,1,168,0
1,8,2,169,0
1,8,3,170,0
1,8,4,171,12990.5821497778
1,8,5,172,14682.5989026667
1,8,6,173,14619.2076213333
1,8,7,174,14677.2357013333
1,8,8,175,14371.18154
1,8,9,176,3897.61132088889
1,8,10,177,0
1,8,11,178,0
1,8,12,179,0
1,8,13,180,0
1,8,14,181,0
1,8,15,182,0
1,8,16,183,0
1,8,17,184,0
1,8,18,185,0
1,8,19,186,0
1,8,20,187,0
1,8,21,188,0
1,8,22,189,0
1,8,23,190,0
1,8,24,191,0
1,9,1,192,0
1,9,2,193,8801.13061644444
1,9,3,194,12797.82928
1,9,4,195,13262.9331333333
1,9,5,196,13595.979144
1,9,6,197,68476.9443244444
1,9,7,198,151989.608933333
1,9,8,199,175980.410088889
1,9,9,200,126174.440111111
1,9,10,201,99703.9642844445
1,9,11,202,73253.4172933333
1,9,12,203,55307.2078044444
1,9,13,204,45939.4828088889
1,9,14,205,24878.1032515556
1,9,15,206,11603.1248955556
1,9,16,207,12236.0705742222
1,9,17,208,224.653953293333
1,9,18,209,38597.1722622222
1,9,19,210,57383.6166266667
1,9,20,211,69498.0040755556
1,9,21,212,77745.3182133333
1,9,22,213,84529.3282933333
1,9,23,214,0
1,9,24,215,0
1,10,1,216,0
1,10,2,217,0
1,10,3,218,0
1,10,4,219,0
1,10,5,220,0
1,10,6,221,6933.06604711111
1,10,7,222,99460.7152622222
1,10,8,223,153355.320311111
1,10,9,224,97590.04236
1,10,10,225,75572.1959244444
1,10,11,226,58324.3748933333
1,10,12,227,27107.0848942222
1,10,13,228,21543.3056924445
1,10,14,229,0
1,10,15,230,-21944.5493506667
1,10,16,231,-26846.163684
1,10,17,232,-27160.834136
1,10,18,233,12674.2998066667
1,10,19,234,34262.0643866667
1,10,20,235,50241.1805777778
1,10,21,236,65188.1003155556
1,10,22,237,73411.3826222222
1,10,23,238,0
1,10,24,239,0
1,11,1,240,0
1,11,2,241,0
1,11,3,242,0
1,11,4,243,0
1,11,5,244,0
1,11,6,245,0
1,11,7,246,86810.3007511111
1,11,8,247,138299.37812
1,11,9,248,70408.5760177778
1,11,10,249,41696.1061911111
1,11,11,250,8072.58514133333
1,11,12,251,-1906.89063013333
1,11,13,252,-12989.9080862222
1,11,14,253,-23864.2237426667
1,11,15,254,-32266.8362622222
1,11,16,255,-33333.9081777778
1,11,17,256,-28793.4453746667
1,11,18,257,7430.70079377778
1,11,19,258,16430.5922377778
1,11,20,259,29677.2599244444
1,11,21,260,46644.3188311111
1,11,22,261,60608.2780622222
1,11,23,262,0
1,11,24,263,0
1,12,1,264,0
1,12,2,265,0
1,12,3,266,0
1,12,4,267,0
1,12,5,268,0
1,12,6,269,0
1,12,7,270,79698.3440977778
1,12,8,271,127704.271311111
1,12,9,272,65651.1526711111
1,12,10,273,39199.4333955556
1,12,11,274,15841.1969262222
1,12,12,275,-4769.46856933333
1,12,13,276,13448.0368471111
1,12,14,277,-9911.43052088889
1,12,15,278,-27850.3425391111
