Hour,building1_htg_clg:EFT [C],building1_htg_clg:ExFT [C],building1_htg_clg:Q_htg [W],building1_htg_clg:Q_clg [W],building1_htg_clg:Q_net [W],building1_htg_clg:M_flow [kg/s],building1_htg_clg:P_hp_htg [W],building1_htg_clg:P_hp_clg [W],building1_htg_clg:P_hp_tot [W],building1_htg_clg:P_pump [W],building1_htg_clg:Q_src_clg [W],building1_htg_clg:Q_src_htg [W],building1_htg_clg:Q_src_het [W],building1_dhw:EFT [C],building1_dhw:ExFT [C],building1_dhw:Q_htg [W],building1_dhw:Q_clg [W],building1_dhw:Q_net [W],building1_dhw:M_flow [kg/s],building1_dhw:P_hp_htg [W],building1_dhw:P_hp_clg [W],building1_dhw:P_hp_tot [W],building1_dhw:P_pump [W],building1_dhw:Q_src_clg [W],building1_dhw:Q_src_htg [W],building1_dhw:Q_src_het [W],building2_htg_clg:EFT [C],building2_htg_clg:ExFT [C],building2_htg_clg:Q_htg [W],building2_htg_clg:Q_clg [W],building2_htg_clg:Q_net [W],building2_htg_clg:M_flow [kg/s],building2_htg_clg:P_hp_htg [W],building2_htg_clg:P_hp_clg [W],building2_htg_clg:P_hp_tot [W],building2_htg_clg:P_pump [W],building2_htg_clg:Q_src_clg [W],building2_htg_clg:Q_src_htg [W],building2_htg_clg:Q_src_het [W],building2_dhw:EFT [C],building2_dhw:ExFT [C],building2_dhw:Q_htg [W],building2_dhw:Q_clg [W],building2_dhw:Q_net [W],building2_dhw:M_flow [kg/s],building2_dhw:P_hp_htg [W],building2_dhw:P_hp_clg [W],building2_dhw:P_hp_tot [W],building2_dhw:P_pump [W],building2_dhw:Q_src_clg [W],building2_dhw:Q_src_htg [W],building2_dhw:Q_src_het [W],building3_htg_clg:EFT [C],building3_htg_clg:ExFT [C],building3_htg_clg:Q_htg [W],building3_htg_clg:Q_clg [W],building3_htg_clg:Q_net [W],building3_htg_clg:M_flow [kg/s],building3_htg_clg:P_hp_htg [W],building3_htg_clg:P_hp_clg [W],building3_htg_clg:P_hp_tot [W],building3_htg_clg:P_pump [W],building3_htg_clg:Q_src_clg [W],building3_htg_clg:Q_src_htg [W],building3_htg_clg:Q_src_het [W],building3_dhw:EFT [C],building3_dhw:ExFT [C],building3_dhw:Q_htg [W],building3_dhw:Q_clg [W],building3_dhw:Q_net [W],building3_dhw:M_flow [kg/s],building3_dhw:P_hp_htg [W],building3_dhw:P_hp_clg [W],building3_dhw:P_hp_tot [W],building3_dhw:P_pump [W],building3_dhw:Q_src_clg [W],building3_dhw:Q_src_htg [W],building3_dhw:Q_src_het [W],ghe1:EFT [C],ghe1:ExFT [C],ghe1:ExFT Mixed Loop [C],ghe1:MFT [C],ghe1:Q [W/m],ghe1:Q_tot [W],ghe2:EFT [C],ghe2:ExFT [C],ghe2:ExFT Mixed Loop [C],ghe2:MFT [C],ghe2:Q [W/m],ghe2:Q_tot [W],ghe3:EFT [C],ghe3:ExFT [C],ghe3:ExFT Mixed Loop [C],ghe3:MFT [C],ghe3:Q [W/m],ghe3:Q_tot [W],Network:M_flow [kg/s],Network:P_pump [W],Network:Q_net_bldg [W],Network:Q_net_ghe [W]
0,6.1000,6.1000,112007.9000,4691.8000,107316.1000,0.0000,26442.7212,659.4466,27102.1678,0.0000,5351.2466,85565.1788,80213.9322,6.1000,6.1000,15489.4000,0.0000,15489.4000,0.0000,4323.7874,0.0000,4323.7874,0.0000,0.0000,11165.6126,11165.6126,6.1000,6.1000,102058.4000,0.0000,102058.4000,0.0000,24090.4471,0.0000,24090.4471,0.0000,0.0000,77967.9529,77967.9529,6.1000,6.1000,413.1000,0.0000,413.1000,0.0000,115.3148,0.0000,115.3148,0.0000,0.0000,297.7852,297.7852,6.1000,6.1000,38480.5000,0.0000,38480.5000,0.0000,9012.6441,0.0000,9012.6441,0.0000,0.0000,29467.8559,29467.8559,6.1000,6.1000,1744.9000,0.0000,1744.9000,0.0000,487.0800,0.0000,487.0800,0.0000,0.0000,1257.8200,1257.8200,6.1000,6.1000,6.1000,6.1000,0.0000,0.0000,6.1000,6.1000,6.1000,6.1000,0.0000,0.0000,6.1000,6.1000,6.1000,6.1000,0.0000,0.0000,0.0000,0.0000,265502.4000,0.0000
1,6.1780,3.2381,111852.6000,4330.6000,107522.0000,7.1031,26367.0942,609.4721,26976.5663,346.9054,4940.0721,85485.5058,80545.4337,3.2381,3.1095,15502.8000,0.0000,15502.8000,0.6472,4528.6974,0.0000,4528.6974,31.6063,0.0000,10974.1026,10974.1026,3.1095,3.1062,110479.9000,0.0000,110479.9000,7.1185,27619.9303,0.0000,27619.9303,347.6574,0.0000,82859.9697,82859.9697,3.1062,3.1046,400.6000,0.0000,400.6000,0.0167,117.2729,0.0000,117.2729,0.8167,0.0000,283.3271,283.3271,3.1046,3.1019,37297.6000,0.0000,37297.6000,2.3951,9220.9150,0.0000,9220.9150,116.9720,0.0000,28076.6850,28076.6850,3.1019,3.0986,986.4000,0.0000,986.4000,0.0412,288.7818,0.0000,288.7818,2.0110,0.0000,697.6182,697.6182,3.0986,6.1780,6.1780,4.6383,-10.2870,-154304.9628,6.1780,6.1779,6.1780,4.6383,-10.2867,-82293.9492,6.1780,6.1781,6.1780,4.6383,-10.2873,-72011.3527,25.9827,2030.3253,272189.3000,-308610.2648
2,5.8099,2.8468,113448.9000,3979.4000,109469.5000,7.1734,26930.7157,556.6487,27487.3644,350.3378,4536.0487,86518.1843,81982.1356,2.8468,2.7372,15495.6000,0.0000,15495.6000,0.6856,4555.2816,0.0000,4555.2816,33.4824,0.0000,10940.3184,10940.3184,2.7372,2.8278,101812.8000,0.0000,101812.8000,6.9947,25640.0664,0.0000,25640.0664,341.6120,0.0000,76172.7336,76172.7336,2.8278,2.8263,414.4000,0.0000,414.4000,0.0184,121.8596,0.0000,121.8596,0.8979,0.0000,292.5404,292.5404,2.8263,2.8393,37934.5000,0.0000,37934.5000,2.5981,9426.5930,0.0000,9426.5930,126.8880,0.0000,28507.9070,28507.9070,2.8393,2.8380,417.6000,0.0000,417.6000,0.0185,122.7778,0.0000,122.7778,0.9050,0.0000,294.8222,294.8222,2.8380,5.8099,5.8099,4.3239,-10.0234,-150351.5793,5.8099,5.8098,5.8099,4.3239,-10.0233,-80186.2034,5.8099,5.8100,5.8099,4.3240,-10.0237,-70165.5938,26.2332,2049.8957,265544.4000,-300703.3766
3,5.5385,2.5829,114970.4000,3660.8000,111309.6000,7.3131,27433.2684,509.8418,27943.1102,357.1611,4170.6418,87537.1316,83366.4898,2.5829,2.4775,15487.4000,0.0000,15487.4000,0.6910,4572.3670,0.0000,4572.3670,33.7461,0.0000,10915.0330,10915.0330,2.4775,2.5799,111368.0000,0.0000,111368.0000,7.7146,28190.4655,0.0000,28190.4655,376.7692,0.0000,83177.5345,83177.5345,2.5799,2.5785,401.3000,0.0000,401.3000,0.0179,118.4821,0.0000,118.4821,0.8748,0.0000,282.8179,282.8179,2.5785,2.5909,38337.2000,0.0000,38337.2000,2.6420,9570.3734,0.0000,9570.3734,129.0321,0.0000,28766.8266,28766.8266,2.5909,2.5897,417.6000,0.0000,417.6000,0.0186,123.2727,0.0000,123.2727,0.9101,0.0000,294.3273,294.3273,2.5897,5.5385,5.5385,4.0641,-10.4622,-156933.4859,5.5385,5.5385,5.5385,4.0641,-10.4621,-83696.7807,5.5385,5.5385,5.5385,4.0641,-10.4624,-73236.8852,27.5959,2156.3840,277321.1000,-313867.1518
4,5.4155,2.5336,115343.1000,4600.9000,110742.2000,7.4237,27586.8984,639.5160,28226.4144,362.5638,5240.4160,87756.2016,82515.7856,2.5336,2.4250,15493.8000,0.0000,15493.8000,0.6952,4577.9129,0.0000,4577.9129,33.9534,0.0000,10915.8871,10915.8871,2.4250,2.4983,102630.6000,0.0000,102630.6000,7.1507,26005.7160,0.0000,26005.7160,349.2271,0.0000,76624.8840,76624.8840,2.4983,2.4968,413.1000,0.0000,413.1000,0.0185,122.1276,0.0000,122.1276,0.9053,0.0000,290.9724,290.9724,2.4968,2.5060,38250.0000,0.0000,38250.0000,2.6507,9563.0639,0.0000,9563.0639,129.4545,0.0000,28686.9361,28686.9361,2.5060,2.5030,986.4000,0.0000,986.4000,0.0443,291.5797,0.0000,291.5797,2.1612,0.0000,694.8203,694.8203,2.5030,5.4155,5.4155,3.9592,-10.1007,-151509.7753,5.4155,5.4154,5.4154,3.9592,-10.1006,-80804.4688,5.4154,5.4155,5.4155,3.9592,-10.1008,-70705.4307,26.9746,2107.8369,268516.1000,-303019.6748
5,5.2440,2.3764,115987.1000,4680.8000,111306.3000,7.4884,27831.9856,648.8680,28480.8536,365.7233,5329.6680,88155.1144,82825.4464,2.3764,2.2680,15503.3000,0.0000,15503.3000,0.6964,4592.4275,0.0000,4592.4275,34.0106,0.0000,10910.8725,10910.8725,2.2680,2.3406,112261.5000,0.0000,112261.5000,7.8309,28534.5940,0.0000,28534.5940,382.4473,0.0000,83726.9060,83726.9060,2.3406,2.3387,553.3000,0.0000,553.3000,0.0249,163.9952,0.0000,163.9952,1.2147,0.0000,389.3048,389.3048,2.3387,2.3466,37264.3000,0.0000,37264.3000,2.5871,9343.9657,0.0000,9343.9657,126.3503,0.0000,27920.3343,27920.3343,2.3466,2.3308,5347.5000,0.0000,5347.5000,0.2403,1584.8162,0.0000,1584.8162,11.7382,0.0000,3762.6838,3762.6838,2.3308,5.2440,5.2440,3.7874,-10.6003,-159004.3795,5.2440,5.2440,5.2440,3.7874,-10.6002,-84801.5476,5.2440,5.2441,5.2440,3.7874,-10.6004,-74202.9633,28.3021,2211.5627,282236.2000,-318008.8904
6,5.0076,2.6108,139565.0000,15868.2000,123696.8000,9.5044,33641.7664,2191.6545,35833.4209,464.1791,18059.8545,105923.2336,87863.3791,2.6108,2.4927,15502.3000,0.0000,15502.3000,0.6987,4574.6989,0.0000,4574.6989,34.1254,0.0000,10927.6011,10927.6011,2.4927,2.3689,103352.7000,0.0000,103352.7000,7.2349,26153.6827,0.0000,26153.6827,353.3388,0.0000,77199.0173,77199.0173,2.3689,2.3673,417.7000,0.0000,417.7000,0.0188,123.7473,0.0000,123.7473,0.9202,0.0000,293.9527,293.9527,2.3673,2.3432,35405.5000,0.0000,35405.5000,2.4668,8873.1771,0.0000,8873.1771,120.4760,0.0000,26532.3229,26532.3229,2.3432,2.2862,18051.5000,0.0000,18051.5000,0.8142,5350.1431,0.0000,5350.1431,39.7628,0.0000,12701.3569,12701.3569,2.2862,5.0076,5.0076,3.6469,-10.8839,-163258.1636,5.0076,5.0076,5.0076,3.6469,-10.8838,-87070.2297,5.0076,5.0076,5.0076,3.6469,-10.8840,-76188.0658,31.1068,2430.7255,296426.5000,-326516.4590
7,4.9861,3.0924,111259.5000,22487.2000,88772.3000,8.0555,26829.8657,3104.8210,29934.6867,393.4191,25592.0210,84429.6343,58837.6133,3.0924,2.9140,15489.8000,0.0000,15489.8000,0.6946,4535.5401,0.0000,4535.5401,33.9241,0.0000,10954.2599,10954.2599,2.9140,2.5571,112729.0000,0.0000,112729.0000,7.8516,28290.5737,0.0000,28290.5737,383.4588,0.0000,84438.4263,84438.4263,2.5571,2.5552,400.6000,0.0000,400.6000,0.0181,118.3193,0.0000,118.3193,0.8820,0.0000,282.2807,282.2807,2.5552,2.5036,34905.6000,0.0000,34905.6000,2.4304,8717.4827,0.0000,8717.4827,118.6985,0.0000,26188.1173,26188.1173,2.5036,2.4325,19189.2000,0.0000,19189.2000,0.8655,5672.5502,0.0000,5672.5502,42.2720,0.0000,13516.6498,13516.6498,2.4325,4.9861,4.9861,3.7093,-9.8078,-147116.6470,4.9861,4.9861,4.9861,3.7093,-9.8077,-78461.7544,4.9861,4.9861,4.9861,3.7093,-9.8079,-68654.9688,29.8737,2334.3707,271486.5000,-294233.3702
8,5.0264,3.1745,105891.5000,22245.2000,83646.3000,7.7079,25515.6474,3073.3097,28588.9571,376.4412,25318.5097,80375.8526,55057.3429,3.1745,2.9273,20582.1000,0.0000,20582.1000,0.9135,6018.6358,0.0000,6018.6358,44.6114,0.0000,14563.4642,14563.4642,2.9273,2.5940,98884.5000,0.0000,98884.5000,6.8230,24809.6610,0.0000,24809.6610,333.2252,0.0000,74074.8390,74074.8390,2.5940,2.5919,414.4000,0.0000,414.4000,0.0186,122.3220,0.0000,122.3220,0.9086,0.0000,292.0780,292.0780,2.5919,2.5342,36160.0000,0.0000,36160.0000,2.5072,9024.6341,0.0000,9024.6341,122.4452,0.0000,27135.3659,27135.3659,2.5342,2.4619,18430.7000,0.0000,18430.7000,0.8284,5445.6234,0.0000,5445.6234,40.4591,0.0000,12985.0766,12985.0766,2.4619,5.0264,5.0264,3.7442,-9.2972,-139458.0489,5.0264,5.0264,5.0264,3.7441,-9.2972,-74377.2741,5.0264,5.0264,5.0264,3.7442,-9.2973,-65080.8335,28.1978,2203.4179,258118.0000,-278916.1565
9,5.0539,3.6201,89432.9000,26393.3000,63039.6000,6.8450,21538.4410,3647.9356,25186.3767,334.2971,30041.2356,67894.4590,37853.2233,3.6201,3.2272,25656.0000,0.0000,25656.0000,1.1366,7448.7519,0.0000,7448.7519,55.5117,0.0000,18207.2481,18207.2481,3.2272,2.7522,99330.9000,0.0000,99330.9000,6.8518,24775.5188,0.0000,24775.5188,334.6309,0.0000,74555.3812,74555.3812,2.7522,2.7499,401.3000,0.0000,401.3000,0.0180,118.1519,0.0000,118.1519,0.8792,0.0000,283.1481,283.1481,2.7499,2.6720,35637.6000,0.0000,35637.6000,2.4689,8868.3100,0.0000,8868.3100,120.5769,0.0000,26769.2900,26769.2900,2.6720,2.6014,16155.4000,0.0000,16155.4000,0.7257,4762.7029,0.0000,4762.7029,35.4408,0.0000,11392.6971,11392.6971,2.6014,5.0539,5.0539,3.8276,-8.5349,-128023.4832,5.0539,5.0538,5.0538,3.8276,-8.5349,-68278.9720,5.0538,5.0539,5.0539,3.8276,-8.5349,-59744.5476,27.0690,2115.2078,240220.8000,-256047.0028
