Time [hr],building1_htg_clg:EFT [C],building1_htg_clg:ExFT [C],building1_htg_clg:Q_htg [W],building1_htg_clg:Q_clg [W],building1_htg_clg:Q_net [W],building1_htg_clg:M_flow [kg/s],building1_htg_clg:P_hp_htg [W],building1_htg_clg:P_hp_clg [W],building1_htg_clg:P_hp_tot [W],building1_htg_clg:P_pump [W],building1_htg_clg:Q_src_clg [W],building1_htg_clg:Q_src_htg [W],building1_htg_clg:Q_src_het [W],building2_htg_clg:EFT [C],building2_htg_clg:ExFT [C],building2_htg_clg:Q_htg [W],building2_htg_clg:Q_clg [W],building2_htg_clg:Q_net [W],building2_htg_clg:M_flow [kg/s],building2_htg_clg:P_hp_htg [W],building2_htg_clg:P_hp_clg [W],building2_htg_clg:P_hp_tot [W],building2_htg_clg:P_pump [W],building2_htg_clg:Q_src_clg [W],building2_htg_clg:Q_src_htg [W],building2_htg_clg:Q_src_het [W],ghe1:EFT [C],ghe1:ExFT [C],ghe1:MFT [C],ghe1:Q [W/m],ghe1:Q_tot [W],hp_pir1:EFT [C],hp_pir1:ExFT [C],hp_pir1:MFT [C],hp_pir1:Q [W/m],hp_pir1:M_flow [kg/s],hp_pir2:EFT [C],hp_pir2:ExFT [C],hp_pir2:MFT [C],hp_pir2:Q [W/m],hp_pir2:M_flow [kg/s],hp_pir3:EFT [C],hp_pir3:ExFT [C],hp_pir3:MFT [C],hp_pir3:Q [W/m],hp_pir3:M_flow [kg/s],hp_por1:EFT [C],hp_por1:ExFT [C],hp_por1:MFT [C],hp_por1:Q [W/m],hp_por1:M_flow [kg/s],hp_por2:EFT [C],hp_por2:ExFT [C],hp_por2:MFT [C],hp_por2:Q [W/m],hp_por2:M_flow [kg/s],hp_por3:EFT [C],hp_por3:ExFT [C],hp_por3:MFT [C],hp_por3:Q [W/m],hp_por3:M_flow [kg/s],Network:M_flow [kg/s],Network:P_pump [W],Network:Q_net_bldg [W],Network:Q_net_ghe [W]
1.0000,14.9605,11.4052,86966.0000,4051.1000,82914.9000,4.7153,17573.1484,685.1919,18258.3403,230.2888,4736.2919,69392.8516,64656.5597,15.2442,11.4794,66470.3000,0.0000,66470.3000,3.6527,13433.5944,0.0000,13433.5944,178.3920,0.0000,53036.7056,53036.7056,11.3203,16.2514,13.7859,-2.3578,-159152.6408,15.2442,10.5471,12.8957,24.1800,-0.3542,16.2514,15.2442,15.7478,58.5991,-4.0069,16.2514,15.3189,15.7852,59.0498,4.3611,11.4052,10.8543,11.1298,2.8691,0.3542,11.4241,11.3246,11.3744,5.8210,4.0069,11.4052,11.3164,11.3608,5.6574,-4.3611,0.1000,7.8141,149385.2000,-159152.6408
2.0000,15.5939,11.9518,87715.2000,3735.3000,83979.9000,4.6835,17548.8852,641.6575,18190.5427,228.7332,4376.9575,70166.3148,65789.3573,15.8260,11.9886,70954.0000,0.0000,70954.0000,3.8335,14218.0664,0.0000,14218.0664,187.2213,0.0000,56735.9336,56735.9336,11.8055,16.1854,13.9955,-2.1315,-143879.0640,15.8260,11.5922,13.7091,29.9907,-0.2833,16.1854,15.8260,16.0057,51.9181,-4.1168,16.1854,15.8515,16.0185,51.9966,4.4001,11.9518,10.8832,11.4175,5.9193,0.2833,11.9126,11.7858,11.8492,10.6324,4.1168,11.9518,11.8240,11.8879,11.1272,-4.4001,0.1000,7.8141,154933.9000,-143879.0640
3.0000,15.7070,11.9749,90227.9000,3372.7000,86855.2000,4.7415,18019.8615,580.9912,18600.8526,231.5693,3953.6912,72208.0385,68254.3474,15.9347,12.0561,67845.6000,0.0000,67845.6000,3.6279,13573.8470,0.0000,13573.8470,177.1797,0.0000,54271.7530,54271.7530,11.9037,16.2555,14.0796,-2.0812,-140478.6509,15.9347,12.7134,14.3241,33.8183,-0.3712,16.2555,15.9347,16.0951,47.6938,-3.9991,16.2555,15.9613,16.1084,47.7913,4.3703,11.9749,11.2163,11.5956,7.2981,0.3712,11.9782,11.8996,11.9389,10.3219,3.9991,11.9749,11.9075,11.9412,10.2845,-4.3703,0.1000,7.8141,154700.8000,-140478.6509
4.0000,15.8240,12.0446,91910.5000,3056.8000,88853.7000,4.8022,18322.6633,528.1011,18850.7644,234.5341,3584.9011,73587.8367,70002.9356,15.9797,12.0930,75829.6000,0.0000,75829.6000,4.0470,15161.3748,0.0000,15161.3748,197.6501,0.0000,60668.2252,60668.2252,11.9754,16.2505,14.1129,-2.1617,-145914.3120,15.9797,12.7306,14.3551,30.9258,-0.2517,16.2505,15.9797,16.1151,44.4988,-4.2988,16.2505,15.9951,16.1228,44.5289,4.5505,12.0446,11.2310,11.6378,7.0559,0.2517,12.0425,11.9725,12.0075,10.2386,4.2988,12.0446,11.9782,12.0114,10.2506,-4.5505,0.1000,7.8141,164683.3000,-145914.3120
5.0000,15.8453,12.1408,91984.3000,3886.8000,88097.5000,4.8357,18331.3280,671.8496,19003.1776,236.1665,4558.6496,73652.9720,69094.3224,16.0322,12.1417,70193.3000,0.0000,70193.3000,3.7432,14023.8571,0.0000,14023.8571,182.8139,0.0000,56169.4429,56169.4429,12.0392,16.3092,14.1742,-2.0932,-141288.7976,16.0322,13.2836,14.6579,32.5464,-0.3641,16.3092,16.0322,16.1707,42.7626,-4.1074,16.3092,16.0539,16.1815,42.8402,4.4715,12.1408,11.3868,11.7638,8.0695,0.3641,12.0748,12.0077,12.0413,9.9474,4.1074,12.1408,12.0681,12.1044,10.6810,-4.4715,0.1000,7.8141,158290.8000,-141288.7976
6.0000,15.9067,12.2000,93034.3000,3932.6000,89101.7000,4.8891,18523.0143,680.8031,19203.8175,238.7766,4613.4031,74511.2857,69897.8825,16.0519,12.1576,76208.7000,0.0000,76208.7000,4.0603,15221.3562,0.0000,15221.3562,198.2970,0.0000,60987.3438,60987.3438,12.0905,16.2969,14.1937,-2.1511,-145198.0077,16.0519,13.2337,14.6428,30.3344,-0.2763,16.2969,16.0519,16.1744,40.9028,-4.3366,16.2969,16.0668,16.1819,40.9361,4.6128,12.2000,11.3952,11.7976,7.9000,0.2763,12.1090,12.0458,12.0774,9.8558,4.3366,12.2000,12.1325,12.1663,10.7823,-4.6128,0.1000,7.8141,165310.4000,-145198.0077
7.0000,15.7441,12.6836,121863.8000,14356.8000,107507.0000,6.8371,24324.0225,2475.4156,26799.4382,333.9131,16832.2156,97539.7775,80707.5618,15.9056,12.0119,69679.6000,0.0000,69679.6000,3.7111,13946.6286,0.0000,13946.6286,181.2451,0.0000,55732.9714,55732.9714,12.3057,16.0898,14.1977,-2.2808,-153954.6852,15.9056,14.6695,15.2876,36.7757,-1.0420,16.0898,15.9056,15.9977,37.2982,-4.7531,16.0898,15.9373,16.0135,37.4386,5.7951,12.6836,12.0452,12.3644,14.3172,1.0420,12.0192,11.9814,12.0003,8.4835,4.7531,12.6836,12.5716,12.6276,15.7979,-5.7951,0.1000,7.8141,177186.6000,-153954.6852
8.0000,15.6915,13.4737,91537.4000,21265.9000,70271.5000,5.6492,18285.7863,3661.9226,21947.7089,275.8971,24927.8226,73251.6137,48323.7911,15.8105,11.9282,71003.9000,0.0000,71003.9000,3.7914,14231.2507,0.0000,14231.2507,185.1669,0.0000,56772.6493,56772.6493,12.6490,16.0083,14.3286,-1.8121,-122318.9300,15.8105,14.5276,15.1690,33.0142,-0.6193,16.0083,15.8105,15.9094,35.4047,-4.4107,16.0083,15.8348,15.9215,35.4853,5.0299,13.4737,12.2598,12.8667,18.9441,0.6193,11.9748,11.9345,11.9546,7.7727,4.4107,13.4737,13.2756,13.3746,23.4983,-5.0299,0.1000,7.8141,141275.4000,-122318.9300
9.0000,15.6206,13.4922,86930.6000,21350.9000,65579.7000,5.4239,17384.6890,3670.1178,21054.8067,264.8957,25021.0178,69545.9110,44524.8933,15.7454,11.8706,43653.6000,0.0000,43653.6000,2.3349,8757.7229,0.0000,8757.7229,114.0331,0.0000,34895.8771,34895.8771,12.7966,16.0049,14.4007,-1.4224,-96012.2542,15.7454,14.8436,15.2945,33.3064,-1.0297,16.0049,15.7454,15.8752,34.3586,-3.3646,16.0049,15.8026,15.9038,34.6379,4.3943,13.4922,12.8248,13.1585,20.6699,1.0297,12.1626,12.0640,12.1133,9.6122,3.3646,13.4922,13.3574,13.4248,21.8422,-4.3943,0.1000,7.8141,109233.3000,-96012.2542
10.0000,15.4417,14.1898,69379.9000,27448.6000,41931.3000,4.8294,13913.6104,4697.5400,18611.1504,235.8595,32146.1400,55466.2896,23320.1496,15.5458,11.6782,36839.6000,0.0000,36839.6000,1.9727,7412.2613,0.0000,7412.2613,96.3443,0.0000,29427.3387,29427.3387,13.1309,15.7857,14.4583,-1.0319,-69650.3994,15.5458,14.7849,15.1654,30.5272,-0.9522,15.7857,15.5458,15.6657,31.2595,-2.9249,15.7857,15.6031,15.6944,31.5046,3.8772,14.1898,13.2017,13.6957,25.5403,0.9522,12.1742,12.0877,12.1310,9.3992,2.9249,14.1898,13.9179,14.0538,28.0699,-3.8772,0.1000,7.8141,78770.9000,-69650.3994
