Time [hr],building1_htg_clg:EFT [C],building1_htg_clg:ExFT [C],building1_htg_clg:Q_htg [W],building1_htg_clg:Q_clg [W],building1_htg_clg:Q_net [W],building1_htg_clg:M_flow [kg/s],building1_htg_clg:P_hp_htg [W],building1_htg_clg:P_hp_clg [W],building1_htg_clg:P_hp_tot [W],building1_htg_clg:P_pump [W],building1_htg_clg:Q_src_clg [W],building1_htg_clg:Q_src_htg [W],building1_htg_clg:Q_src_het [W],building2_htg_clg:EFT [C],building2_htg_clg:ExFT [C],building2_htg_clg:Q_htg [W],building2_htg_clg:Q_clg [W],building2_htg_clg:Q_net [W],building2_htg_clg:M_flow [kg/s],building2_htg_clg:P_hp_htg [W],building2_htg_clg:P_hp_clg [W],building2_htg_clg:P_hp_tot [W],building2_htg_clg:P_pump [W],building2_htg_clg:Q_src_clg [W],building2_htg_clg:Q_src_htg [W],building2_htg_clg:Q_src_het [W],ghe1:EFT [C],ghe1:ExFT [C],ghe1:MFT [C],ghe1:Q [W/m],ghe1:Q_tot [W],hp_pir1:EFT [C],hp_pir1:ExFT [C],hp_pir1:MFT [C],hp_pir1:Q [W/m],hp_pir1:M_flow [kg/s],hp_pir2:EFT [C],hp_pir2:ExFT [C],hp_pir2:MFT [C],hp_pir2:Q [W/m],hp_pir2:M_flow [kg/s],hp_pir3:EFT [C],hp_pir3:ExFT [C],hp_pir3:MFT [C],hp_pir3:Q [W/m],hp_pir3:M_flow [kg/s],hp_por1:EFT [C],hp_por1:ExFT [C],hp_por1:MFT [C],hp_por1:Q [W/m],hp_por1:M_flow [kg/s],hp_por2:EFT [C],hp_por2:ExFT [C],hp_por2:MFT [C],hp_por2:Q [W/m],hp_por2:M_flow [kg/s],hp_por3:EFT [C],hp_por3:ExFT [C],hp_por3:MFT [C],hp_por3:Q [W/m],hp_por3:M_flow [kg/s],Network:M_flow [kg/s],Network:P_pump [W],Network:Q_net_bldg [W],Network:Q_net_ghe [W]
1.0000,14.9605,11.4052,86966.0000,4051.1000,82914.9000,4.7153,17573.1484,685.1919,18258.3403,230.2888,4736.2919,69392.8516,64656.5597,15.2442,11.4794,66470.3000,0.0000,66470.3000,3.6527,13433.5944,0.0000,13433.5944,178.3920,0.0000,53036.7056,53036.7056,11.3203,16.2514,13.7859,-2.3578,-159152.6408,15.2442,10.5471,12.8957,24.1800,-0.3542,16.2514,15.2442,15.7478,58.5991,-4.0069,16.2514,15.3189,15.7852,59.0498,4.3611,11.4052,10.8543,11.1298,2.8691,0.3542,11.4241,11.3246,11.3744,5.8210,4.0069,11.4052,11.3164,11.3608,5.6574,-4.3611,0.1000,7.8141,149385.2000,-159152.6408
2.0000,15.3038,11.6659,87715.2000,3735.3000,83979.9000,4.6835,17628.7149,637.0955,18265.8103,228.7332,4372.3955,70086.4851,65714.0897,15.5175,11.6846,70954.0000,0.0000,70954.0000,3.8335,14282.1203,0.0000,14282.1203,187.2213,0.0000,56671.8797,56671.8797,11.5731,15.8076,13.6904,-2.0608,-139104.1893,15.5175,11.6507,13.5841,28.4820,-0.2833,15.8076,15.5175,15.6626,47.7771,-4.1168,15.8076,15.5390,15.6733,47.8310,4.4001,11.6659,10.9374,11.3017,4.5214,0.2833,11.6332,11.5576,11.5954,7.5699,4.1168,11.6659,11.5876,11.6267,7.9755,-4.4001,0.1000,7.8141,154933.9000,-139104.1893
3.0000,15.2648,11.5583,90227.9000,3372.7000,86855.2000,4.7660,18144.8205,574.7012,18719.5218,232.7644,3947.4012,72083.0795,68135.6782,15.4642,11.6135,67845.6000,0.0000,67845.6000,3.6478,13667.1122,0.0000,13667.1122,178.1508,0.0000,54178.4878,54178.4878,11.5343,15.7290,13.6317,-2.0167,-136126.1888,15.4642,12.6548,14.0595,30.8795,-0.3728,15.7290,15.4642,15.5966,42.3746,-4.0205,15.7290,15.4862,15.6076,42.4484,4.3933,11.5583,11.1566,11.3574,4.6591,0.3728,11.5711,11.5365,11.5538,6.1899,4.0205,11.5583,11.5322,11.5452,6.0364,-4.3933,0.1000,7.8141,154700.8000,-136126.1888
4.0000,15.2717,11.5301,91910.5000,3056.8000,88853.7000,4.8402,18481.1852,520.9606,19002.1457,236.3897,3577.7606,73429.3148,69851.5543,15.4039,11.5576,75829.6000,0.0000,75829.6000,4.0809,15288.9985,0.0000,15288.9985,199.3038,0.0000,60540.6015,60540.6015,11.5044,15.6250,13.5647,-2.1006,-141787.4543,15.4039,12.6465,14.0252,27.6058,-0.2531,15.6250,15.4039,15.5145,38.6038,-4.3340,15.6250,15.4166,15.5208,38.6236,4.5871,11.5301,11.1499,11.3400,4.0607,0.2531,11.5338,11.5057,11.5198,5.3861,4.3340,11.5301,11.5031,11.5166,5.3428,-4.5871,0.1000,7.8141,164683.3000,-141787.4543
5.0000,15.2053,11.5458,91984.3000,3886.8000,88097.5000,4.8829,18515.3665,661.3392,19176.7057,238.4728,4548.1392,73468.9335,68920.7943,15.3604,11.5189,70193.3000,0.0000,70193.3000,3.7816,14161.6717,0.0000,14161.6717,184.6879,0.0000,56031.6283,56031.6283,11.4911,15.5815,13.5363,-2.0251,-136696.2173,15.3604,13.0837,14.2220,28.2976,-0.3671,15.5815,15.3604,15.4709,36.2479,-4.1487,15.5815,15.3778,15.4796,36.3056,4.5158,11.5458,11.1990,11.3724,4.2606,0.3671,11.4906,11.4664,11.4785,4.6876,4.1487,11.5458,11.5138,11.5298,5.3081,-4.5158,0.1000,7.8141,158290.8000,-136696.2173
6.0000,15.1954,11.5405,93034.3000,3932.6000,89101.7000,4.9445,18729.6347,668.9705,19398.6052,241.4822,4601.5705,74304.6653,69703.0948,15.3141,11.4762,76208.7000,0.0000,76208.7000,4.1089,15385.8059,0.0000,15385.8059,200.6706,0.0000,60822.8941,60822.8941,11.4758,15.5091,13.4924,-2.0865,-140838.6996,15.3141,13.0096,14.1618,25.9640,-0.2785,15.5091,15.3141,15.4116,34.1790,-4.3874,15.5091,15.3259,15.4175,34.2021,4.6660,11.5405,11.1876,11.3640,3.9590,0.2785,11.4579,11.4366,11.4472,4.2323,4.3874,11.5405,11.5126,11.5266,5.0848,-4.6660,0.1000,7.8141,165310.4000,-140838.6996
7.0000,14.9746,11.9581,121863.8000,14356.8000,107507.0000,6.9155,24619.3918,2429.1051,27048.4969,337.7432,16785.9051,97244.4082,80458.5031,15.1027,11.2710,69679.6000,0.0000,69679.6000,3.7599,14111.8184,0.0000,14111.8184,183.6298,0.0000,55567.7816,55567.7816,11.6324,15.2400,13.4362,-2.2006,-148542.9645,15.1027,14.1285,14.6156,30.4429,-1.0519,15.2400,15.1027,15.1714,30.2842,-4.8118,15.2400,15.1264,15.1832,30.3838,5.8637,11.9581,11.5536,11.7559,8.5740,1.0519,11.3328,11.3301,11.3314,2.8129,4.8118,11.9581,11.8805,11.9193,9.6943,-5.8637,0.1000,7.8141,177186.6000,-148542.9645
8.0000,14.8642,12.6778,91537.4000,21265.9000,70271.5000,5.7108,18525.2115,3588.4553,22113.6668,278.9074,24854.3553,73012.1885,48157.8332,14.9560,11.1408,71003.9000,0.0000,71003.9000,3.8459,14411.5646,0.0000,14411.5646,187.8270,0.0000,56592.3354,56592.3354,11.9166,15.1031,13.5099,-1.7401,-117453.5282,14.9560,13.9654,14.4607,26.8506,-0.6216,15.1031,14.9560,15.0295,28.1887,-4.4675,15.1031,14.9740,15.0385,28.2442,5.0892,12.6778,11.7465,12.2122,13.2002,0.6216,11.2251,11.2273,11.2262,1.7341,4.4675,12.6778,12.5218,12.5998,17.0058,-5.0892,0.1000,7.8141,141275.4000,-117453.5282
9.0000,14.8159,12.7191,86930.6000,21350.9000,65579.7000,5.4868,17606.4142,3598.5875,21205.0016,267.9659,24949.4875,69324.1858,44374.6984,14.9156,11.1111,43653.6000,0.0000,43653.6000,2.3707,8865.6682,0.0000,8865.6682,115.7808,0.0000,34787.9318,34787.9318,12.0836,15.1262,13.6049,-1.3661,-92209.8765,14.9156,14.1911,14.5534,27.1739,-1.0387,15.1262,14.9156,15.0209,27.8594,-3.4094,15.1262,14.9618,15.0440,28.0861,4.4481,12.7191,12.2186,12.4688,14.9166,1.0387,11.4485,11.3865,11.4175,4.3283,3.4094,12.7191,12.6179,12.6685,15.9797,-4.4481,0.1000,7.8141,109233.3000,-92209.8765
10.0000,14.6884,13.4526,69379.9000,27448.6000,41931.3000,4.8756,14080.4323,4612.0763,18692.5086,238.1170,32060.6763,55299.4677,23238.7914,14.7741,10.9744,36839.6000,0.0000,36839.6000,2.0021,7497.7403,0.0000,7497.7403,97.7790,0.0000,29341.8597,29341.8597,12.4538,14.9738,13.7138,-0.9904,-66849.6734,14.7741,14.1440,14.4591,25.1652,-0.9578,14.9738,14.7741,14.8740,25.7429,-2.9599,14.9738,14.8215,14.8977,25.9479,3.9178,13.4526,12.5995,13.0260,20.3702,0.9578,11.5002,11.4485,11.4744,4.7660,2.9599,13.4526,13.2133,13.3330,22.8683,-3.9178,0.1000,7.8141,78770.9000,-66849.6734
