Load Multiplier,Field,Field Depth,Excess Temperature,FieldLength
0.01,N/A,73.0708052,5.74E-09,1
0.1299,2X2,250.2599847,2.15E-06,4
0.2498,2X3,335.8656928,1.83E-06,6
0.3697,3X3,365.6552294,-3.06E-06,9
0.4896,4X4,333.8663181,-1.19E-06,16
0.6095,4X5,355.2656634,7.84E-06,20
0.7294,5X5,367.2301147,-4.44E-06,25
0.8493,5X6,378.6441843,6.42E-07,30
0.9692,6X7,345.326743,6.09E-06,42
1.0891,7X7,351.6641227,4.14E-06,49
1.209,7X8,356.5005849,6.05E-06,56
1.3289,8X8,357.6995142,8.43E-06,64
1.4488,8X9,358.798361,4.81E-06,72
1.5687,9X9,357.1880272,7.07E-06,81
1.6886,9X10,357.5558602,-7.00E-06,90
1.8085,10X10,353.2453471,4.40E-06,100
1.9284,10X10,378.7632541,6.01E-06,100
2.0483,10X11,374.7266339,-4.95E-06,110
2.1682,11X11,370.2310224,-5.29E-07,121
2.2881,11X12,365.5876023,7.32E-06,132
2.408,12X12,360.6586895,-8.05E-06,144
2.5279,12X13,356.6349609,-7.98E-06,156
2.6478,12X13,374.5838002,4.65E-06,156
2.7677,13X13,368.1544822,2.75E-07,169
2.8876,13X14,361.5890464,1.01E-05,182
3.0075,13X14,381.4672258,-2.82E-06,182
3.1274,14X14,371.5782168,9.07E-07,196
3.2473,14X15,363.3487123,-6.67E-06,210
3.3672,14X15,383.4944457,1.66E-06,210
3.4871,15X15,370.7411876,-5.84E-06,225
3.607,15X16,362.3684931,8.91E-06,240
3.7269,15X16,377.4323581,1.87E-06,240
3.8468,16X16,370.3026146,4.45E-06,256
3.9667,16X17,361.813221,9.19E-06,272
4.0866,16X17,375.3381331,1.45E-06,272
4.2065,17X17,364.8142956,6.20E-06,289
4.3264,17X17,379.4398827,-2.65E-06,289
4.4463,17X18,371.1497869,-5.08E-06,306
4.5662,18X18,361.6833857,1.01E-05,324
4.6861,18X18,373.7283862,-3.46E-06,324
4.806,18X19,365.7080733,4.00E-06,342
4.9259,18X19,378.5116439,2.24E-06,342
5.0458,19X19,365.7105176,3.98E-06,361
5.1657,19X19,377.6651633,1.61E-06,361
5.2856,19X20,368.2550352,2.22E-06,380
5.4055,19X20,379.9834656,1.64E-06,380
5.5254,20X20,370.4560527,5.55E-06,400
5.6453,20X21,361.7120375,1.91E-06,420
5.7652,20X21,372.090675,-3.14E-06,420
5.8851,21X21,361.5050601,-1.01E-05,441
6.005,21X21,371.3052532,2.80E-06,441
6.1249,21X22,361.6523411,1.06E-05,462
6.2448,21X22,371.2469513,5.12E-06,462
6.3647,22X22,362.5677169,-7.64E-06,484
6.4846,22X22,372.3466878,-6.67E-06,484
6.6045,22X23,361.1841427,-9.68E-06,506
6.7244,22X23,369.5255348,-1.71E-06,506
6.8443,22X23,377.8370152,2.82E-06,506
6.9642,23X23,370.3920414,3.18E-07,529
7.0841,23X23,378.4583486,2.73E-06,529
7.204,23X24,368.9504996,3.40E-06,552
7.3239,23X24,376.6722961,-5.47E-06,552
7.4438,24X24,365.4097752,6.25E-06,576
7.5637,24X24,374.1155123,3.64E-07,576
7.6836,24X25,364.5487926,7.22E-06,600
7.8035,24X25,373.3420986,-7.04E-06,600
7.9234,25X25,362.2145429,8.16E-06,625
8.0433,25X25,370.0766232,2.24E-06,625
8.1632,25X25,376.7479825,2.87E-06,625
8.2831,25X26,370.5967276,-5.33E-06,650
8.403,25X26,377.0337929,4.08E-06,650
8.5229,26X26,364.1667266,6.69E-06,676
8.6428,26X26,372.3706778,6.79E-06,676
8.7627,26X26,378.8671284,2.13E-06,676
8.8826,26X27,369.1202361,-1.67E-06,702
9.0025,26X27,375.3359492,2.51E-06,702
9.1224,27X27,365.5171497,6.11E-06,729
9.2423,27X27,373.3044189,5.56E-06,729
9.3622,27X27,381.200195,-1.10E-06,729
9.4821,27X28,370.7276854,1.95E-06,756
9.602,27X28,376.1504635,-5.35E-06,756
9.7219,28X28,368.6082615,-4.34E-06,784
9.8418,28X28,374.4928376,-7.38E-06,784
9.9617,28X29,365.9140304,-3.61E-06,812
10.0816,28X29,373.2021555,-3.67E-06,812
10.2015,28X29,378.9238301,-6.83E-07,812
10.3214,29X29,365.3441987,6.03E-06,841
10.4413,29X29,372.5956999,-2.05E-07,841
10.5612,29X29,377.4811855,3.04E-07,841
10.6811,29X30,372.0281741,8.01E-06,870
10.801,29X30,376.7013559,-5.88E-06,870
10.9209,30X30,364.5788579,7.15E-06,900
11.0408,30X30,371.6548579,-5.34E-07,900
11.1607,30X30,376.0888325,6.00E-06,900
11.2806,30X31,369.5213361,-2.76E-06,930
11.4005,30X31,374.4511869,-4.58E-06,930
11.5204,31X31,362.9213697,-7.92E-06,961
11.6403,31X31,368.7362348,5.82E-07,961
11.7602,31X31,373.8569695,-7.10E-06,961
11.8801,31X31,379.1824031,5.54E-07,961
12,31X32,372.6715065,5.96E-06,992
